"Location","Capacity","14-Sep-05","15-Sep-05","16-Sep-05","17-Sep-05","18-Sep-05","19-Sep-05","20-Sep-05","21-Sep-05","22-Sep-05","23-Sep-05","24-Sep-05","25-Sep-05","26-Sep-05"
"Mississippi State Penitentiary","4,730","4,356","4,333","4,303","4,296","4,294","4,287","4,302","4,288","4,296","4,319","4,316","4,315","4,322"
"Central Mississippi Correctional Facility","3,219","3,136","3,156","3,193","3,191","3,191","3,196","3,197","3,213","3,210","3,199","3,193","3,192","3,169"
"South Mississippi Correctional Institution","2,306","2,197","2,218","2,231","2,229","2,229","2,241","2,240","2,241","2,240","2,223","2,221","2,221","2,243"
"County Jails","2,240","1,673","1,659","1,613","1,613","1,613","1,629","1,617","1,612","1,600","1,602","1,602","1,602","1,615"
"COMMUNITY WORK CENTERS","1,816","1,645","1,644","1,576","1,573","1,574","1,636","1,644","1,659","1,662","1,582","1,578","1,577","1,638"
"Alcorn Satellite Facility","92","89","89","83","83","83","90","90","90","90","84","83","84","88"
"Bolivar Satellite Facility","102","95","95","88","88","88","95","101","101","101","91","91","91","96"
"Forrest Satellite Facility","96","85","85","80","80","80","87","87","91","91","88","88","88","90"
"George Satellite Facility","102","84","88","89","89","89","87","86","87","86","78","78","78","86"
"Harrison Satellite Facility","102","93","93","92","91","91","91","91","91","90","82","81","82","89"
"Jackson Satellite Facility","102","95","95","92","92","92","95","95","96","96","90","90","89","92"
"Jefferson Satellite Facility","102","85","83","76","76","76","82","82","81","80","77","77","77","79"
"Leflore Satellite Facility","102","97","93","89","89","89","92","92","93","99","95","94","94","97"
"Madison Satellite Facility","102","100","100","92","92","92","98","100","93","87","85","85","85","86"
"Noxubee Satellite Facility","92","81","80","72","72","72","80","86","86","86","75","75","75","84"
"Pike Satellite Facility","93","70","71","73","73","73","74","71","76","77","75","75","75","75"
"Quitman Satellite Facility","93","78","78","73","72","72","77","76","75","78","79","78","78","81"
"Rankin Satellite Facility","228","222","224","221","221","221","223","223","225","227","226","226","226","226"
"Simpson Satellite Facility","102","88","88","87","87","88","88","88","88","88","84","84","84","89"
"Washington Satellite Facility","102","101","100","97","96","96","100","100","100","100","96","96","95","97"
"Wilkinson Satellite Facility","102","93","93","87","87","87","89","89","89","90","86","86","86","89"
"Yazoo Satellite Facility","102","89","89","85","85","85","88","87","97","96","91","91","90","94"
"REGIONAL CORRECTIONAL FACILITIES","2,998","2,952","2,966","2,989","2,986","2,986","2,986","2,988","2,990","2,989","2,990","2,988","2,987","2,990"
"Bolivar County","294","286","288","294","294","294","292","291","291","293","293","293","293","293"
"Carroll County","250","246","250","250","250","250","250","250","250","249","249","249","249","250"
"George County","280","250","262","278","278","278","277","277","280","279","280","279","278","278"
"Holmes County","280","279","280","280","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","273","273","273","272","272","272","273","271","270","271","270","270","273"
"Jefferson County","250","251","250","250","249","249","248","249","249","249","248","248","248","249"
"Kemper County","280","279","279","280","280","280","280","280","280","280","280","280","280","279"
"Leake County","280","280","278","280","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","280","279","279","279","279","280","280","280","280","280","280"
"Stone County","280","279","277","277","277","277","280","280","280","280","280","280","280","279"
"Winston County","250","249","249","247","247","247","248","249","249","249","249","249","249","249"
"PRIVATE PRISONS","5,100","4,864","4,854","4,872","4,862","4,859","4,859","4,863","4,869","4,870","4,869","4,862","4,862","4,863"
"Delta","972","968","966","970","965","963","965","963","969","968","968","968","968","970"
"East Mississippi","1,000","870","873","873","873","873","872","872","872","872","870","868","868","867"
"Marshall County","1,000","995","993","993","992","992","994","995","994","993","995","993","993","995"
"Tallahatchie County","128","128","128","128","128","128","127","127","128","128","128","128","128","128"
"Walnut Grove","1,000","916","904","919","917","917","916","921","917","922","920","918","918","917"
"Wilkinson County","1,000","987","990","989","987","986","985","985","989","987","988","987","987","986"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","9","70","69","67","5","6","8","8","80","83","81","6"
"TOTALS","22,431","20,846","20,856","20,864","20,836","20,830","20,856","20,874","20,897","20,892","20,881","20,860","20,854","20,863"
