"Location","Capacity","18-Sep-19","19-Sep-19","20-Sep-19","21-Sep-19","22-Sep-19","23-Sep-19","24-Sep-19","25-Sep-19","26-Sep-19","27-Sep-19","28-Sep-19","29-Sep-19","30-Sep-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,257","3,256","3,256","3,251","3,250","3,247","3,249","3,243","3,246","3,259","3,258","3,257","3,251","3,251"
"Central Mississippi Correctional Facility","4,131","3,469","3,477","3,477","3,476","3,477","3,503","3,545","3,560","3,567","3,563","3,562","3,563","3,556","3531"
"Youthful Offender Unit","58","25","25","25","24","24","24","23","23","23","26","23","23","23","24"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,663","2,660","2,658","2,658","2,658","2,657","2,662","2,655","2,660","2,657","2,656","2,656","2,660","2658"
"County Jails","1,793","1,318","1,300","1,321","1,321","1,321","1,350","1,302","1,283","1,292","1,314","1,314","1,314","1,318","1317"
"COMMUNITY WORK CENTERS","1,372","998","992","984","981","978","991","972","981","977","963","962","959","981","984"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","88","88","88","88","88","86","85","85","85","84","84","84","84","88"
"Delta TVC","324","258","251","253","252","248","261","252","262","259","255","254","251","266","257"
"Forrest Satellite Facility","96","74","74","65","65","65","67","66","63","63","61","61","61","65","73"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","48","48","47","47","48","48","47","47","48","47","47","47","48","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","85","85","92","91","91","88","88","88","87","87","87","87","87","82"
"Noxubee Satellite Facility","58","51","52","50","50","50","52","52","52","53","52","52","52","53","47"
"Pike Satellite Facility","93","87","87","85","85","85","86","84","84","83","81","81","81","83","85"
"Quitman Satellite Facility","93","62","62","61","61","61","61","60","62","62","62","62","62","62","62"
"Rankin Satellite Facility","178","138","138","136","136","136","137","137","137","137","136","136","136","135","139"
"Rankin RID","28","17","17","17","17","17","17","15","15","15","15","15","15","15","16"
"Flowood TVC","50","32","31","31","30","30","29","27","27","27","26","26","26","26","29"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","58","59","59","59","59","59","59","59","58","57","57","57","57","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,330","4,324","4,336","4,328","4,327","4,324","4,322","4,330","4,323","4,317","4,316","4,316","4,323","4323"
"Alcorn County","300","299","298","298","298","298","297","296","299","299","297","297","297","297","298"
"Bolivar County","369","293","293","293","293","293","293","293","293","293","293","293","293","291","292"
"Carroll County","280","270","268","272","272","272","272","272","272","272","272","272","272","272","274"
"Chickasaw County","310","309","309","309","308","308","307","307","307","306","310","310","310","310","309"
"George County","342","340","337","337","337","336","337","335","339","339","337","336","336","336","341"
"Holmes County","280","278","278","278","278","278","280","280","278","280","280","280","280","279","279"
"Issaquena County","297","328","328","327","326","326","322","322","322","320","320","320","320","320","319"
"Jefferson County","280","277","276","278","278","278","279","279","280","279","279","279","279","280","279"
"Kemper County","355","350","352","353","353","353","352","352","353","347","348","348","348","352","347"
"Leake County","280","278","277","278","277","277","279","279","280","278","278","278","278","280","277"
"Marion County","280","280","280","279","278","278","277","278","279","280","280","280","280","280","279"
"Stone County","326","280","280","280","278","278","278","280","280","280","279","279","279","279","279"
"Washington County","300","176","174","173","172","172","172","172","172","174","174","174","174","174","176"
"Winston County","280","272","273","280","279","279","279","279","278","277","274","274","274","273","276"
"Yazoo County","300","300","301","301","301","301","300","298","298","299","296","296","296","300","299"
"PRIVATE PRISONS","5,472","3,208","3,223","3,219","3,218","3,218","3,210","3,208","3,204","3,204","3,205","3,204","3,203","3,196","3203"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,275","1,291","1,289","1,289","1,289","1,284","1,283","1,282","1,279","1,281","1,280","1,279","1,275","1271"
"Marshall County","1,000","990","989","989","988","988","986","985","984","985","984","984","984","983","992"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","943","943","941","941","941","940","940","938","940","940","940","940","938","941"
"RESTITUTION CENTERS","10","8","8","8","9","9","9","7","8","8","8","8","8","9","8"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","6","6","6","5","5","5","5","5","5","6","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","42","41","41","41","41","41","","43","39","37","38","37","35","41"
"Madison","40","9","8","8","8","8","8","8","9","8","6","6","6","5","8"
"Noxubee","34","32","32","32","32","32","32","32","32","29","29","29","29","28","31"
"Rankin/Flowood","8","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Washington","42","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"TOTALS","24,179","19,318","19,306","19,325","19,307","19,303","19,356","19,290","19,330","19,339","19,349","19,341","19,336","19,352","19341"
