"Location","Capacity","11-Jul-01","12-Jul-01","13-Jul-01","14-Jul-01","15-Jul-01","16-Jul-01","17-Jul-01","18-Jul-01","19-Jul-01","20-Jul-01"
"MS STATE PENITENTIARY  (capacity decreased by 80 7/27)","5,692","5,244","5,277","5,268","5,277","5,275","5,263","5,293","5,284","5,275","5,294"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,018","3,000","3,004","3,005","3,006","3,015","3,002","3,001","2,981","2,973"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,933","1,931","1,932","1,932","1,931","1,966","1,964","1,962","1,992","1,980"
"COUNTY JAILS","2,122","1,454","1,450","1,460","1,459","1,459","1,430","1,430","1,457","1,473","1,462"
"COMMUNITY WORK CENTERS","1,320","1,273","1,273","1,197","1,186","1,186","1,256","1,261","1,259","1,258","1,232"
"Alcorn Satellite Facility","75","74","74","67","67","67","73","74","74","74","67"
"Bolivar Satellite Facility","75","74","74","70","70","70","73","73","72","73","69"
"Forrest Satellite Facility","75","75","75","74","74","74","75","75","75","75","75"
"George Satellite Facility","75","71","70","70","70","70","71","69","69","69","69"
"Harrison Satellite Facility","75","73","73","72","72","72","72","72","72","70","69"
"Jackson Satellite Facility","75","75","75","69","69","69","73","72","72","72","72"
"Jefferson Satellite Facility","75","74","74","71","71","71","75","75","75","75","73"
"Leflore Satellite Facility","75","74","74","67","67","67","72","72","72","72","70"
"Madison Satellite Facility","75","75","75","72","72","72","75","75","75","75","70"
"Noxubee Satellite Facility","75","74","74","71","71","71","74","73","72","72","71"
"Pike Satellite Facility","75","67","66","65","64","64","64","64","64","65","68"
"Quitman Satellite Facility","75","60","58","56","56","56","57","57","57","57","57"
"Rankin Satellite Facility","120","112","114","110","110","110","113","113","113","113","110"
"Simpson Satellite Facility","75","74","74","55","55","55","75","75","75","75","74"
"Washington Satellite Facility","75","75","75","68","58","58","65","74","74","73","73"
"Wilikinson Satellite Facility","75","73","73","74","74","74","74","73","73","73","72"
"Yazoo Satellite Facility","75","73","75","66","66","66","75","75","75","75","73"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,027","2,026","2,026","2,025","2,024","2,019","2,012","2,011","2,011","2,025"
"Bolivar County","250","206","206","206","206","206","206","206","207","207","210"
"Carroll County","250","201","201","201","201","201","201","200","200","200","199"
"Holmes County","250","200","200","200","200","200","199","199","199","199","200"
"Issaquena County","250","195","194","193","193","193","192","192","191","191","190"
"Jefferson County","250","211","211","211","211","211","210","210","210","210","212"
"Kemper County","250","224","224","226","225","224","224","220","220","220","219"
"Leake County","250","199","199","199","199","199","198","198","198","198","200"
"Marion County","250","196","196","195","195","195","194","193","193","193","200"
"Stone County","250","197","197","197","197","197","197","196","196","196","196"
"Winston County","250","198","198","198","198","198","198","198","197","197","199"
"PRIVATE PRISONS","3,900","3,463","3,460","3,457","3,457","3,456","3,456","3,447","3,446","3,443","3,446"
"Delta","1,000","842","842","841","841","841","841","839","836","838","837"
"East MS","500","497","497","497","497","496","496","495","494","494","499"
"Marshall County","1,000","867","867","866","866","866","866","863","863","861","861"
"Walnut Grove","500","388","388","388","388","388","388","387","390","390","390"
"Wilkinson County","900","869","866","865","865","865","865","863","863","860","859"
"RESITITUTION CENTERS","24","17","17","18","18","18","18","18","18","18","18"
"Greenwood","6","5","5","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","5","5","5","6","6","6","6","5"
"TOTALS","20,827","18,435","18,440","18,367","18,364","18,360","18,429","18,433","18,444","18,457","18,435"
"","","11-Jul","12-Jul","13-Jul","14-Jul","15-Jul","16-Jul","17-Jul","18-Jul","19-Jul","20-Jul"
