Location,Capacity,28-May-09,29-May-09,30-May-09,31-May-09,Avg Population
Mississippi State Penitentiary,"4,435","3,559","3,557","3,556","3,552","3,592"
Central Mississippi Correctional Facility,"3,449","3,248","3,241","3,241","3,240","3,275"
South Mississippi Correctional Institution,"3,204","3,150","3,149","3,148","3,143","3,136"
County Jails,"1,492","1,486","1,486","1,486","1,487","1,526"
COMMUNITY WORK CENTERS,"1,848","1,595","1,593","1,589","1,589","1,579"
Alcorn Satellite Facility,92,77,77,77,77,74
Bolivar Satellite Facility,102,73,73,73,73,81
Forrest Satellite Facility,96,79,79,79,79,79
George Satellite Facility,102,83,82,81,81,84
Harrison Satellite Facility,102,75,75,75,75,77
Jackson Satellite Facility,102,78,78,78,78,78
Jefferson Satellite Facility,102,97,97,97,97,94
Leflore Satellite Facility,102,77,77,77,77,71
Madison Satellite Facility,102,100,100,99,99,98
Noxubee Satellite Facility,92,89,89,89,89,86
Pike Satellite Facility,93,85,85,85,85,73
Quitman Satellite Facility,93,79,79,79,79,87
Rankin Satellite Facility,260,239,239,237,237,239
Simpson Satellite Facility,102,99,99,99,99,94
Washington Satellite Facility,102,78,78,78,78,79
Wilkinson Satellite Facility,102,93,93,93,93,90
Yazoo Satellite Facility,102,94,93,93,93,94
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,534","2,533","2,531","2,528","2,525"
Bolivar County,294,235,235,235,235,233
Carroll County,280,225,225,224,224,225
George County,280,224,223,223,223,221
Holmes County,280,224,224,224,224,224
Issaquena County,274,219,219,219,218,219
Jefferson County,280,224,224,224,224,224
Kemper County,355,285,285,284,284,284
Leake County,280,225,225,225,225,224
Marion County,280,224,224,224,224,224
Stone County,280,224,224,224,223,224
Winston County,280,225,225,225,224,224
PRIVATE PRISONS,"5,972","5,310","5,309","5,306","5,303","5,305"
Delta,972,900,899,899,898,900
East Mississippi,"1,500","1,358","1,358","1,358","1,357","1,359"
Marshall County,"1,000",900,900,899,899,900
Walnut Grove,"1,500","1,200","1,200","1,198","1,197","1,196"
Wilkinson County,"1,000",952,952,952,952,950
RESTITUTION CENTERS,16,8,8,8,8,8
Greenwood,6,3,3,3,3,3
Hinds,6,3,3,3,3,3
Pascagoula,4,2,2,2,2,2
GOVERNOR'S MANSION,6,6,6,6,6,6
E-CODE,0,7,10,10,10,21
TOTALS,"23,585","20,903","20,892","20,881","20,866","20,973"
