"Location","Capacity","10-Aug-09","11-Aug-09","12-Aug-09","13-Aug-09","14-Aug-09","15-Aug-09","16-Aug-09","17-Aug-09","18-Aug-09"
"Mississippi State Penitentiary","4,435","3,900","3,908","3,919","3,919","3,907","3,906","3,904","3,897","3,904"
"Central Mississippi Correctional Facility","3,665","3,174","3,200","3,186","3,168","3,158","3,156","3,157","3,146","3,167"
"South Mississippi Correctional Institution","3,204","3,024","3,025","3,028","3,032","3,033","3,037","3,037","3,010","3,012"
"County Jails","1,525","1,517","1,513","1,524","1,501","1,515","1,515","1,515","1,510","1,496"
"COMMUNITY WORK CENTERS","1,848","1,590","1,584","1,582","1,562","1,543","1,537","1,537","1,588","1,586"
"Alcorn Satellite Facility","92","73","72","72","74","74","74","74","74","73"
"Bolivar Satellite Facility","102","73","72","71","68","73","73","73","76","76"
"Forrest Satellite Facility","96","77","77","74","74","72","71","71","73","73"
"George Satellite Facility","102","89","87","93","93","89","90","90","87","87"
"Harrison Satellite Facility","102","72","71","71","71","70","70","70","70","65"
"Jackson Satellite Facility","102","90","89","89","89","88","88","88","99","99"
"Jefferson Satellite Facility","102","96","95","94","92","88","85","85","93","93"
"Leflore Satellite Facility","102","66","66","66","65","63","62","62","71","71"
"Madison Satellite Facility","102","95","94","93","93","92","92","92","97","97"
"Noxubee Satellite Facility","92","91","90","90","87","86","86","86","86","85"
"Pike Satellite Facility","93","88","91","91","87","87","86","86","86","91"
"Quitman Satellite Facility","93","71","71","71","69","68","68","68","69","69"
"Rankin Satellite Facility","260","250","250","250","245","244","243","243","245","246"
"Simpson Satellite Facility","102","96","96","96","96","94","94","94","96","96"
"Washington Satellite Facility","102","75","75","74","73","72","72","72","73","73"
"Wilkinson Satellite Facility","102","96","96","96","95","93","93","93","95","94"
"Yazoo Satellite Facility","102","92","92","91","91","90","90","90","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,909","2,910","2,914","2,921","2,925","2,920","2,917","2,923","2,928"
"Bolivar County","294","279","280","279","279","281","281","280","277","277"
"Carroll County","280","264","264","264","264","265","265","264","266","266"
"George County","280","265","266","265","263","263","263","263","264","265"
"Holmes County","280","249","249","257","264","265","264","264","266","266"
"Issaquena County","274","260","260","259","260","260","258","258","258","258"
"Jefferson County","280","265","266","265","265","266","266","266","267","267"
"Kemper County","355","266","266","266","266","266","265","265","266","266"
"Leake County","280","265","264","263","266","265","264","264","266","266"
"Marion County","280","265","265","266","267","266","266","266","266","266"
"Stone County","280","266","265","265","262","262","262","261","261","265"
"Winston County","280","265","265","265","265","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,504","5,503","5,501","5,503","5,500","5,498","5,496","5,496","5,499"
"Delta","972","955","956","956","954","954","953","953","955","956"
"East Mississippi","1,500","1,361","1,362","1,361","1,359","1,361","1,360","1,360","1,362","1,362"
"Marshall County","1,000","983","981","981","983","981","981","981","982","982"
"Walnut Grove","1,500","1,229","1,229","1,228","1,227","1,227","1,227","1,225","1,224","1,223"
"Wilkinson County","1,000","976","975","975","980","977","977","977","973","976"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","11","11","10","14","36","33","35","13","12"
"TOTALS","23,834","21,644","21,669","21,679","21,635","21,632","21,617","21,613","21,598","21,619"
