"Location","Capacity","28-Apr-06","29-Apr-06","30-Apr-06"
"Mississippi State Penitentiary","4,529","4,480","4,478","4,476"
"Central Mississippi Correctional Facility","3,293","3,298","3,294","3,294"
"South Mississippi Correctional Institution","2,066","1,937","1,937","1,936"
"County Jails","2,107","1,688","1,688","1,688"
"COMMUNITY WORK CENTERS","1,816","1,771","1,772","1,771"
"Alcorn Satellite Facility","92","87","87","87"
"Bolivar Satellite Facility","102","97","97","97"
"Forrest Satellite Facility","96","94","94","94"
"George Satellite Facility","102","101","101","101"
"Harrison Satellite Facility","102","101","101","101"
"Jackson Satellite Facility","102","102","102","101"
"Jefferson Satellite Facility","102","99","99","99"
"Leflore Satellite Facility","102","102","102","102"
"Madison Satellite Facility","102","101","101","101"
"Noxubee Satellite Facility","92","89","89","89"
"Pike Satellite Facility","93","88","88","88"
"Quitman Satellite Facility","93","89","89","89"
"Rankin Satellite Facility","228","219","220","220"
"Simpson Satellite Facility","102","101","101","101"
"Washington Satellite Facility","102","101","101","101"
"Wilkinson Satellite Facility","102","98","98","98"
"Yazoo Satellite Facility","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,042","3,040","3,038"
"Bolivar County","294","292","291","290"
"Carroll County","280","277","277","277"
"George County","280","278","278","278"
"Holmes County","280","280","280","280"
"Issaquena County","274","272","272","272"
"Jefferson County","250","248","248","248"
"Kemper County","280","279","279","279"
"Leake County","280","280","280","280"
"Marion County","280","279","278","278"
"Stone County","280","280","280","279"
"Winston County","280","277","277","277"
"PRIVATE PRISONS","5,100","4,803","4,803","4,799"
"Delta","972","956","956","956"
"East Mississippi","1,000","851","851","851"
"Marshall County","1,000","993","993","993"
"Tallahatchie County","128","128","128","127"
"Walnut Grove","1,000","937","937","937"
"Wilkinson County","1,000","938","938","935"
"RESTITUTION CENTERS","16","12","12","12"
"Greenwood","6","3","3","3"
"Hinds","6","5","5","5"
"Pascagoula","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5"
"E-CODE","","28","28","28"
"TOTALS","21,991","21,064","21,057","21,047"
"","","28-Apr-06","29-Apr-06","30-Apr-06"
