"Location","Capacity","1-Jun-09","2-Jun-09","3-Jun-09","4-Jun-09","5-Jun-09","6-Jun-09","7-Jun-09","8-Jun-09","9-Jun-09"
"Mississippi State Penitentiary","4,627","4,108","4,111","4,115","4,126","4,119","4,109","4,108","4,102","4,115"
"Central Mississippi Correctional Facility","3,665","3,392","3,373","3,382","3,396","3,342","3,340","3,340","3,361","3,384"
"South Mississippi Correctional Institution","3,204","3,040","3,035","3,036","3,034","3,059","3,058","3,056","3,042","3,034"
"County Jails","1,558","1,598","1,585","1,570","1,548","1,559","1,559","1,559","1,560","1,568"
"COMMUNITY WORK CENTERS","1,848","1,593","1,581","1,575","1,559","1,543","1,539","1,538","1,573","1,569"
"Alcorn Satellite Facility","92","78","75","75","79","76","75","75","80","78"
"Bolivar Satellite Facility","102","83","83","83","83","80","80","80","83","81"
"Forrest Satellite Facility","96","75","80","80","78","79","79","79","81","87"
"George Satellite Facility","102","85","83","83","82","81","81","81","83","83"
"Harrison Satellite Facility","102","70","69","69","68","67","66","66","67","66"
"Jackson Satellite Facility","102","90","92","91","91","91","91","91","91","91"
"Jefferson Satellite Facility","102","78","74","74","74","75","74","74","75","77"
"Leflore Satellite Facility","102","80","77","77","76","87","87","87","87","87"
"Madison Satellite Facility","102","86","87","86","83","78","78","78","82","83"
"Noxubee Satellite Facility","92","79","80","80","79","70","70","70","78","78"
"Pike Satellite Facility","93","90","93","93","90","89","89","89","90","90"
"Quitman Satellite Facility","93","85","83","84","83","82","82","81","80","78"
"Rankin Satellite Facility","260","249","249","248","245","246","246","246","249","248"
"Simpson Satellite Facility","102","96","93","91","90","86","86","86","91","86"
"Washington Satellite Facility","102","90","88","87","84","83","83","83","83","83"
"Wilkinson Satellite Facility","102","81","78","78","78","78","77","77","76","76"
"Yazoo Satellite Facility","102","98","97","96","96","95","95","95","97","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,924","2,925","2,925","2,915","2,917","2,917","2,916","2,921","2,911"
"Bolivar County","294","280","280","280","278","278","278","278","279","280"
"Carroll County","280","265","265","265","263","266","266","266","267","268"
"George County","280","265","263","264","265","260","260","260","261","261"
"Holmes County","280","263","266","263","260","260","260","260","260","255"
"Issaquena County","274","257","260","259","256","256","256","256","258","260"
"Jefferson County","280","269","266","266","266","266","266","266","266","261"
"Kemper County","280","266","266","266","265","265","265","265","266","266"
"Leake County","280","266","263","266","267","267","267","266","266","266"
"Marion County","280","266","266","265","265","266","266","266","266","266"
"Stone County","280","264","266","265","263","265","265","265","266","263"
"Winston County","280","263","264","266","267","268","268","268","266","265"
"PRIVATE PRISONS","5,972","5,490","5,490","5,494","5,484","5,496","5,495","5,487","5,493","5,491"
"Delta","972","958","954","956","945","957","957","955","953","952"
"East Mississippi","1,500","1,356","1,360","1,360","1,357","1,358","1,358","1,355","1,361","1,361"
"Marshall County","1,000","983","981","981","983","982","981","980","983","982"
"Walnut Grove","1,500","1,222","1,220","1,222","1,222","1,222","1,222","1,221","1,222","1,221"
"Wilkinson County","1,000","971","975","975","977","977","977","976","974","975"
"RESTITUTION CENTERS","16","10","10","10","11","11","11","11","11","10"
"Greenwood","6","4","4","4","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","11","6","9","11","43","43","44","11","14"
"TOTALS","23,984","22,172","22,122","22,122","22,090","22,095","22,077","22,065","22,080","22,102"
"","","1-Jun-09","2-Jun-09","3-Jun-09","4-Jun-09","5-Jun-09","6-Jun-09","7-Jun-09","8-Jun-09","9-Jun-09"
