"Location","Capacity","19-Oct-13","20-Oct-13","21-Oct-13","22-Oct-13","23-Oct-13","24-Oct-13","25-Oct-13","26-Oct-13","27-Oct-13"
"Mississippi State Penitentiary","4,648","3,345","3,343","3,340","3,350","3,342","3,356","3,356","3,350","3,349"
"Central Mississippi Correctional Facility","3,557","3,272","3,273","3,280","3,279","3,306","3,282","3,285","3,284","3,283"
"Youthful Offender Unit","42","39","39","39","39","38","38","38","38","38"
"South Mississippi Correctional Institution","3,282","3,207","3,205","3,208","3,212","3,219","3,213","3,218","3,214","3,214"
"County Jails","1,882","2,227","2,227","2,212","2,224","2,310","2,214","2,227","2,227","2,227"
"COMMUNITY WORK CENTERS","1,848","1,382","1,379","1,401","1,401","1,389","1,385","1,358","1,357","1,357"
"Alcorn Satellite Facility","92","92","92","92","92","90","90","90","89","89"
"Bolivar Satellite Facility","102","63","63","67","67","66","65","65","65","65"
"Forrest Satellite Facility","96","69","69","71","71","72","71","69","69","69"
"George Satellite Facility","102","53","53","58","58","62","62","61","61","61"
"Harrison Satellite Facility","102","80","80","83","82","81","81","81","81","81"
"Jackson Satellite Facility","102","70","70","69","70","71","70","66","66","66"
"Jefferson Satellite Facility","102","70","70","70","69","66","66","64","64","64"
"Leflore Satellite Facility","102","69","68","69","69","68","71","72","72","72"
"Madison Satellite Facility","102","72","72","73","73","70","72","69","69","69"
"Noxubee Satellite Facility","92","70","70","71","72","72","73","68","68","68"
"Pike Satellite Facility","93","90","89","92","92","92","92","92","92","92"
"Quitman Satellite Facility","93","82","82","84","81","81","77","75","75","75"
"Rankin Satellite Facility","260","218","218","221","224","223","220","215","215","215"
"Simpson Satellite Facility","102","100","100","100","100","96","94","95","95","95"
"Washington Satellite Facility","102","71","71","70","70","70","71","70","70","70"
"Wilkinson Satellite Facility","102","51","50","49","49","47","46","46","46","46"
"Yazoo Satellite Facility","102","62","62","62","62","62","64","60","60","60"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,422","4,420","4,423","4,426","4,421","4,419","4,428","4,423","4,418"
"Alcorn County","300","296","296","296","295","295","292","296","296","296"
"Bolivar County","369","368","368","369","369","369","369","369","369","368"
"Carroll County","280","280","280","280","280","280","280","280","279","279"
"Chickasaw County","300","300","300","300","300","300","298","298","297","295"
"George County","280","280","280","279","280","276","276","280","280","280"
"Holmes County","280","280","280","280","280","280","280","280","279","279"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","279","279","279","280","280","280","280","279","278"
"Kemper County","355","354","354","355","355","355","355","355","355","354"
"Leake County","280","276","276","275","278","278","280","280","280","280"
"Marion County","280","279","279","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Washington County","300","299","298","297","296","296","295","299","298","298"
"Winston County","280","277","276","278","278","278","280","277","277","277"
"Yazoo County","300","300","300","301","301","300","300","300","300","300"
"PRIVATE PRISONS","5,972","4,416","4,416","4,416","4,414","4,416","4,415","4,413","4,411","4,409"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,199","1,199","1,200","1,200","1,200","1,203","1,203","1,201","1,201"
"Marshall County","1,000","998","998","998","998","998","998","999","999","999"
"Walnut Grove","1,500","1,322","1,322","1,323","1,322","1,326","1,321","1,318","1,318","1,317"
"Wilkinson County","1,000","897","897","895","894","892","893","893","893","892"
"RESTITUTION CENTERS","16","11","11","11","11","10","9","8","8","8"
"Greenwood","6","5","5","5","5","4","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,321","22,313","22,330","22,356","22,451","22,331","22,331","22,312","22,303"
