"Location","Capacity","10-Jul-13","11-Jul-13","12-Jul-13","13-Jul-13","14-Jul-13","15-Jul-13","16-Jul-13","17-Jul-13","18-Jul-13"
"Mississippi State Penitentiary","4,648","3,382","3,384","3,380","3,380","3,380","3,385","3,390","3,378","3,387"
"Central Mississippi Correctional Facility","3,557","3,399","3,416","3,413","3,408","3,409","3,412","3,412","3,424","3,381"
"Youthful Offender Unit","42","34","35","36","36","36","35","36","36","36"
"South Mississippi Correctional Institution","3,282","3,230","3,237","3,232","3,230","3,229","3,231","3,234","3,231","3,228"
"County Jails","1,872","2,320","2,326","2,341","2,351","2,351","2,341","2,339","2,356","2,341"
"COMMUNITY WORK CENTERS","1,848","1,487","1,481","1,473","1,462","1,462","1,491","1,498","1,496","1,468"
"Alcorn Satellite Facility","92","88","88","89","89","89","92","92","92","92"
"Bolivar Satellite Facility","102","69","69","75","75","75","77","76","77","71"
"Forrest Satellite Facility","96","73","72","64","64","64","71","71","71","70"
"George Satellite Facility","102","70","70","68","68","68","71","71","70","70"
"Harrison Satellite Facility","102","86","85","85","85","85","85","85","88","87"
"Jackson Satellite Facility","102","83","81","81","80","81","84","84","84","80"
"Jefferson Satellite Facility","102","63","63","70","70","70","68","70","70","69"
"Leflore Satellite Facility","102","77","76","74","74","74","75","75","75","72"
"Madison Satellite Facility","102","86","89","87","87","87","87","87","87","83"
"Noxubee Satellite Facility","92","79","77","72","72","72","74","77","77","76"
"Pike Satellite Facility","93","93","93","92","92","92","93","93","91","93"
"Quitman Satellite Facility","93","92","92","88","88","87","88","88","87","83"
"Rankin Satellite Facility","260","232","230","238","228","228","233","233","234","233"
"Simpson Satellite Facility","102","98","100","98","98","98","100","100","97","98"
"Washington Satellite Facility","102","78","76","74","74","74","74","74","74","72"
"Wilkinson Satellite Facility","102","62","62","60","60","60","61","65","65","61"
"Yazoo Satellite Facility","102","58","58","58","58","58","58","57","57","58"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,436","4,429","4,425","4,423","4,421","4,419","4,420","4,435","4,435"
"Alcorn County","300","299","298","298","298","298","293","293","300","300"
"Bolivar County","369","369","368","368","367","367","368","368","369","369"
"Carroll County","280","278","278","279","279","279","278","279","280","279"
"Chickasaw County","300","300","299","299","299","299","299","297","300","299"
"George County","280","280","280","280","279","279","279","279","280","280"
"Holmes County","280","280","280","278","278","278","280","278","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","279","280","280","280","280","279","279","280","280"
"Kemper County","355","355","353","354","354","354","354","355","355","355"
"Leake County","280","281","281","281","281","281","281","280","278","280"
"Marion County","280","280","280","280","280","280","279","280","280","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Washington County","300","301","299","298","298","297","299","299","298","298"
"Winston County","280","280","280","279","279","279","280","281","281","281"
"Yazoo County","300","300","299","297","297","296","296","298","300","300"
"PRIVATE PRISONS","5,972","4,311","4,302","4,298","4,293","4,287","4,296","4,303","4,307","4,313"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,124","1,123","1,122","1,122","1,120","1,123","1,122","1,122","1,125"
"Marshall County","1,000","995","994","998","995","993","993","999","999","999"
"Walnut Grove","1,500","1,298","1,298","1,290","1,289","1,288","1,292","1,294","1,300","1,299"
"Wilkinson County","1,000","894","887","888","887","886","888","888","886","890"
"RESTITUTION CENTERS","16","12","12","11","11","11","11","11","10","12"
"Greenwood","6","5","5","5","5","5","5","5","4","4"
"Hinds","6","4","4","3","3","3","3","3","3","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,611","22,622","22,609","22,594","22,586","22,621","22,643","22,673","22,601"
