"Location","Capacity","10-Jan-13","11-Jan-13","12-Jan-13","13-Jan-13","14-Jan-13","15-Jan-13","16-Jan-13","17-Jan-13","18-Jan-13"
"Mississippi State Penitentiary","4,648","3,361","3,366","3,363","3,363","3,366","3,363","3,359","3,356","3,322"
"Central Mississippi Correctional Facility","3,557","3,401","3,398","3,395","3,395","3,402","3,403","3,402","3,402","3,366"
"Youthful Offender Unit","42","18","18","19","18","18","19","19","19","19"
"South Mississippi Correctional Institution 3,282","","3,236","3,233","3,233","3,233","3,230","3,228","3,223","3,219","3,210"
"County Jails","1,818","2,080","2,103","2,103","2,103","2,129","2,157","2,185","2,204","2,246"
"COMMUNITY WORK CENTERS","1,848","1,445","1,358","1,355","1,353","1,437","1,431","1,428","1,421","1,425"
"Alcorn Satellite Facility","92","90","88","88","87","88","89","89","89","87"
"Bolivar Satellite Facility","102","64","65","65","65","66","66","66","66","64"
"Forrest Satellite Facility","96","76","70","70","70","75","71","70","70","67"
"George Satellite Facility","102","76","71","71","71","76","76","75","73","68"
"Harrison Satellite Facility","102","69","65","64","64","68","68","67","67","62"
"Jackson Satellite Facility","102","61","53","53","53","61","60","60","60","53"
"Jefferson Satellite Facility","102","62","58","58","58","62","62","62","62","73"
"Leflore Satellite Facility","102","71","64","64","63","70","70","70","69","67"
"Madison Satellite Facility","102","83","76","76","76","82","82","82","82","86"
"Noxubee Satellite Facility","92","79","70","70","70","79","79","79","79","74"
"Pike Satellite Facility","93","90","87","87","87","90","90","90","90","92"
"Quitman Satellite Facility","93","91","88","87","87","90","90","89","88","87"
"Rankin Satellite Facility","260","233","225","225","225","232","231","229","228","230"
"Simpson Satellite Facility","102","97","88","88","88","97","96","96","96","95"
"Washington Satellite Facility","102","67","62","62","62","65","65","67","66","73"
"Wilkinson Satellite Facility","102","53","49","49","49","53","53","53","53","59"
"Yazoo Satellite Facility","102","83","79","78","78","83","83","84","83","88"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,337","4,324","4,321","4,320","4,308","4,304","4,295","4,287","4,285"
"Alcorn County","300","299","299","299","299","298","298","298","297","299"
"Bolivar County","369","365","363","363","363","362","362","359","356","355"
"Carroll County","280","273","272","272","272","272","272","272","272","271"
"Chickasaw County","300","298","294","294","294","294","293","292","292","300"
"George County","280","275","275","275","275","274","274","273","273","271"
"Holmes County","280","277","275","274","273","273","272","272","272","272"
"Issaquena County","274","274","274","274","274","274","274","274","274","272"
"Jefferson County","280","278","278","278","278","278","278","278","278","278"
"Kemper County","355","338","337","336","336","333","333","332","332","330"
"Leake County","280","278","278","278","278","277","277","276","275","275"
"Marion County","280","280","280","280","280","280","280","279","278","278"
"Stone County","280","277","276","276","276","275","275","275","275","275"
"Washington County","300","252","252","252","252","251","251","251","250","250"
"Winston County","280","273","271","271","271","268","267","266","266","265"
"Yazoo County","300","300","300","299","299","299","298","298","297","294"
"PRIVATE PRISONS","5,972","4,323","4,302","4,301","4,299","4,293","4,290","4,285","4,279","4,277"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,120","1,120","1,120","1,118","1,118","1,117","1,117","1,117","1,112"
"Marshall County","1,000","997","997","996","996","994","993","992","991","999"
"Walnut Grove","1,500","1,302","1,281","1,281","1,281","1,279","1,279","1,275","1,270","1,265"
"Wilkinson County","1,000","904","904","904","904","902","901","901","901","901"
"RESTITUTION CENTERS","16","13","12","12","12","13","13","12","12","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","4","4","4","5","5","4","4","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","8","91","91","91","7","5","6","7","36"
"TOTALS","25,611","22,222","22,205","22,193","22,187","22,203","22,213","22,214","22,206","22,199"
"","","10-Jan-13","11-Jan-13","12-Jan-13","13-Jan-13","14-Jan-13","15-Jan-13","16-Jan-13","17-Jan-13","18-Jan-13"
