"Location","Capacity","10-Mar-15","11-Mar-15","12-Mar-15","13-Mar-15","14-Mar-15","15-Mar-15","16-Mar-15","17-Mar-15","18-Mar-15"
"Mississippi State Penitentiary","4,648","3,095","3,095","3,101","3,098","3,101","3,195","3,200","3,106","3,100"
"MSP TVC","108","97","97","94","94","94","94","94","92","92"
"Central Mississippi Correctional Facility","3,469","2,358","2,358","2,297","2,286","2,286","2,286","2,286","2,355","2,368"
"Youthful Offender Unit","58","22","22","22","22","22","22","22","22","22"
"CMCF TVC","158","122","122","126","124","124","124","124","125","125"
"South Mississippi Correctional Institution 3,282","","2,443","2,443","2,413","2,406","2,406","2,406","2,406","2,412","2,409"
"SMCI TVC","0","90","90","98","98","98","98","98","96","97"
"County Jails","1,995","1,553","1,553","1,581","1,593","1,615","1,503","1,531","1,525","1,544"
"COMMUNITY WORK CENTERS","1,848","1,041","1,041","1,052","1,033","1,030","1,030","1,039","1,038","1,034"
"Alcorn Satellite Facility","92","48","48","48","46","46","46","46","46","48"
"Bolivar Satellite Facility","102","54","54","54","52","52","52","54","52","52"
"Forrest Satellite Facility","96","48","48","51","53","53","53","52","52","52"
"George Satellite Facility","102","50","50","50","49","49","49","54","54","54"
"Harrison Satellite Facility","102","47","47","46","44","44","44","45","43","43"
"Jackson Satellite Facility","102","52","52","52","51","51","51","50","50","50"
"Jefferson Satellite Facility","102","42","42","42","42","42","42","42","42","42"
"Leflore Satellite Facility","102","50","50","49","46","46","46","48","49","48"
"Madison Satellite Facility","102","52","52","55","54","54","54","53","53","52"
"Noxubee Satellite Facility","92","60","60","60","54","54","54","58","58","57"
"Pike Satellite Facility","93","74","74","74","75","75","75","75","75","73"
"Quitman Satellite Facility","93","50","50","50","52","49","49","50","51","51"
"Rankin Satellite Facility","260","163","163","169","166","166","166","161","165","164"
"Simpson Satellite Facility","102","100","100","102","101","101","101","101","101","102"
"Washington Satellite Facility","102","51","51","51","50","50","50","51","49","49"
"Wilkinson Satellite Facility","102","52","52","51","50","50","50","51","51","50"
"Yazoo Satellite Facility","102","48","48","48","48","48","48","48","47","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,187","4,187","4,180","3,965","4,176","4,179","4,171","4,187","4,182"
"Alcorn County","300","301","301","300","300","300","300","300","300","300"
"Bolivar County","369","351","351","354","351","351","351","351","354","354"
"Carroll County","280","266","266","264","264","264","264","265","267","267"
"Chickasaw County","300","300","300","293","300","300","300","300","300","299"
"George County","280","261","261","262","261","261","261","259","256","254"
"Holmes County","280","265","265","264","264","264","264","265","266","265"
"Issaquena County","274","257","257","257","257","257","257","255","255","263"
"Jefferson County","280","265","265","260","260","260","260","262","271","269"
"Kemper County","355","336","336","336","335","335","335","335","336","327"
"Leake County","280","258","258","260","260","260","260","255","255","255"
"Marion County","280","265","265","266","265","265","265","264","268","267"
"Stone County","280","275","275","274","274","274","274","275","274","274"
"Washington County","300","251","251","251","251","251","251","248","248","252"
"Winston County","280","252","252","255","254","254","254","254","255","255"
"Yazoo County","300","284","284","284","69","280","283","283","282","281"
"PRIVATE PRISONS","5,972","3,995","3,995","3,984","4,010","4,009","4,009","4,001","4,011","4,008"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,174","1,174","1,168","1,166","1,166","1,166","1,164","1,162","1,162"
"Marshall County","1,000","998","998","996","996","996","996","995","995","995"
"Walnut Grove","1,500","933","933","930","959","958","958","956","960","958"
"Wilkinson County","1,000","890","890","890","889","889","889","886","894","893"
"RESTITUTION CENTERS","16","5","5","5","5","5","5","5","5","5"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,726","19,008","19,008","18,953","18,734","18,966","18,951","18,977","18,974","18,986"
"","","10-Mar-15","11-Mar-15","12-Mar-15","13-Mar-15","14-Mar-15","15-Mar-15","16-Mar-15","17-Mar-15","18-Mar-15"
