"Location","","Capacity 1-May-19","2-May-19","3-May-19","4-May-19","5-May-19","6-May-19","7-May-19","8-May-19","9-May-19","10-May-19","11-May-19","12-May-19","13-May-19","14-May-19","15-May-19","16-May-19","17-May-19"
"Mississippi State Penitentiary","3,560","3,264","3,266","3,272","3,272","3,272","3,272","3,278","3,276","3,270","3,266","3,264","3,262","3,260","3,268","3,252","3,254","3,250"
"Central Mississippi Correctional Facility","4,131","3,725","3,724","3,710","3,712","3,711","3,663","3,632","3,606","3,605","3,646","3,645","3,645","3,650","3,668","3,673","3,669","3,707"
"Youthful Offender Unit","58","29","29","29","29","29","29","29","31","31","31","31","31","27","28","28","28","28"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,664","2,650","2,660","2,657","2,656","2,654","2,656","2,647","2,650","2,652","2,651","2,653","2,654","2,654","2,650","2,655","2,651"
"County Jails","1,793","1,421","1,398","1,399","1,399","1,399","1,430","1,456","1,445","1,477","1,460","1,460","1,460","1,441","1,438","1,423","1,420","1,401"
"COMMUNITY WORK CENTERS","1,372","1,062","1,065","1,060","1,055","1,046","1,054","1,053","1,065","1,065","1,065","1,062","1,063","1,082","1,072","1,088","1,083","1,077"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","87","86","88","85","85","80","80","85","83","85","85","85","77","77","77","77","77"
"Delta TVC","324","311","310","310","308","300","305","300","309","308","305","305","305","307","300","305","300","297"
"Forrest Satellite Facility","96","61","61","59","59","59","61","68","66","65","65","65","65","71","69","69","69","68"
"George Satellite Facility","102","44","43","43","43","43","43","42","42","42","42","42","42","42","43","54","53","53"
"Harrison Satellite Facility","102","44","44","44","44","44","44","44","45","45","44","41","44","54","54","54","54","54"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","68","67","65","65","65","65","65","65","68","67","67","67","69","70","73","73","73"
"Noxubee Satellite Facility","58","46","46","46","46","46","46","44","52","52","52","52","52","51","50","50","50","50"
"Pike Satellite Facility","93","77","77","77","77","77","84","89","83","83","83","83","83","82","82","80","78","79"
"Quitman Satellite Facility","93","58","58","58","58","58","58","57","56","55","56","56","56","66","65","65","65","65"
"Rankin Satellite Facility","178","162","164","163","163","163","163","161","160","159","157","157","157","156","156","156","159","157"
"Rankin RID","28","10","10","9","9","9","9","9","9","9","9","9","9","9","9","9","10","10"
"Flowood TVC","50","39","39","39","39","38","37","35","35","35","41","41","39","39","36","35","35","35"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","55","60","59","59","59","59","59","58","61","59","59","59","59","61","61","60","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,267","4,291","4,287","4,286","4,295","4,295","4,289","4,311","4,303","4,296","4,294","4,293","4,291","4,304","4,314","4,316","4,305"
"Alcorn County","300","300","300","300","300","298","298","298","299","299","299","299","299","299","299","297","297","297"
"Bolivar County","369","289","293","293","293","292","292","293","293","292","290","290","290","290","290","293","292","290"
"Carroll County","280","275","274","274","274","278","278","278","277","275","275","275","275","272","272","277","277","276"
"Chickasaw County","310","307","305","305","305","309","309","309","308","307","305","305","305","310","310","307","306","306"
"George County","342","332","338","339","339","338","338","339","339","337","337","337","337","336","337","337","337","336"
"Holmes County","280","275","279","279","279","278","278","277","275","280","280","280","280","280","279","279","278","278"
"Issaquena County","297","305","305","305","305","304","304","304","313","313","313","312","312","310","310","309","309","309"
