"Location","Capacity","28-Apr-16","29-Apr-16","30-Apr-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,372","3,372","3,371","3,358"
"Central Mississippi Correctional Facility","3,506","2,844","2,844","2,840","2,825"
"Youthful Offender Unit","58","30","30","28","31"
"CMCF TVC","","4","4","2","3"
"South Mississippi Correctional Institution","3,082","3,000","3,000","2,998","2,969"
"County Jails","1,986","1,532","1,526","1,522","1,478"
"COMMUNITY WORK CENTERS","1,848","1,161","1,166","1,153","1,193"
"Alcorn Satellite Facility","92","0","0","0","0"
"Bolivar Satellite Facility","102","27","27","26","30"
"Forrest Satellite Facility","96","80","80","79","78"
"George Satellite Facility","102","89","89","88","86"
"Harrison Satellite Facility","102","75","75","74","79"
"Jackson Satellite Facility","102","0","0","0","25"
"Jefferson Satellite Facility","102","0","0","0","0"
"Lefore TVC Support","20","18","18","17","21"
"Lefore TVC","82","72","72","71","64"
"Madison Satellite Facility","102","89","89","88","91"
"Noxubee Satellite Facility","92","82","82","81","87"
"Pike Satellite Facility","93","81","81","80","85"
"Quitman Satellite Facility","93","86","87","87","89"
"Rankin Satellite Facility","260","173","173","171","173"
"Flowood TVC","","28","28","26","30"
"Simpson TVC support","20","16","17","17","45"
"Simpson TVC","82","86","87","87","45"
"Washington Satellite Facility","102","95","96","96","95"
"Wilkinson Satellite Facility","102","64","65","65","69"
"Yazoo Satellite Facility","102","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,392","3,406","3,404","3,407"
"Alcorn County","240","236","237","237","239"
"Bolivar County","369","289","290","290","291"
"Carroll County","280","237","238","238","239"
"Chickasaw County","300","239","240","240","240"
"George County","280","199","200","200","200"
"Holmes County","280","198","199","199","199"
"Issaquena County","274","238","239","239","239"
"Jefferson County","280","236","237","237","239"
"Kemper County","355","259","260","260","259"
"Leake County","280","199","200","200","198"
"Marion County","280","202","203","203","201"
"Stone County","280","200","201","201","199"
"Washington County","300","225","225","223","231"
"Winston County","280","195","196","196","195"
"Yazoo County","300","240","241","241","238"
"PRIVATE PRISONS","5,972","3,927","3,931","3,931","3,928"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,101","1,102","1,102","1,113"
"Marshall County","1,000","1,000","1,001","1,001","995"
"Walnut Grove","1,500","932","933","933","925"
"Wilkinson County","1,000","894","895","895","895"
"RESTITUTION CENTERS","16","17","22","22","13"
"Greenwood","6","7","8","8","5"
"Hinds","6","6","8","8","6"
"Pascagoula","4","4","6","6","2"
"TOTALS","24,436","19,279","19,301","19,271","19,204"
