"Location","Capacity","27-Aug-04","28-Aug-04","29-Aug-04","30-Aug-04","31-Aug-04"
"MS STATE PENITENTIARY","4,892","4,821","4,818","4,817","4,807","4,800"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,080","3,079","3,081","3,067","3,063"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,142","2,142","2,142","2,163","2,154"
"COUNTY JAILS","2,209","2,149","2,149","2,149","2,159","2,179"
"COMMUNITY WORK CENTERS","1,816","1,650","1,641","1,640","1,662","1,674"
"Alcorn Satellite Facility","92","87","87","86","87","92"
"Bolivar Satellite Facility","102","96","96","96","99","99"
"Forrest Satellite Facility","96","91","90","90","93","95"
"George Satellite Facility","102","94","94","94","94","96"
"Harrison Satellite Facility","102","91","91","91","95","95"
"Jackson Satellite Facility","102","90","90","90","89","94"
"Jefferson Satellite Facility","102","95","95","94","93","93"
"Leflore Satellite Facility","102","95","95","95","97","97"
"Madison Satellite Facility","102","100","100","100","100","100"
"Noxubee Satellite Facility","92","88","88","88","88","88"
"Pike Satellite Facility","93","64","64","64","65","63"
"Quitman Satellite Facility","93","90","90","90","91","90"
"Rankin Satellite Facility","228","215","210","210","209","209"
"Simpson Satellite Facility","102","93","92","92","94","94"
"Washington Satellite Facility","102","88","88","88","88","88"
"Wilkinson Satellite Facility","102","79","78","78","82","83"
"Yazoo Satellite Facility","102","94","93","94","98","98"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,740","2,740","2,736","2,739"
"Bolivar County","250","250","250","250","250","250"
"Carroll County","250","250","250","250","249","250"
"George County","250","249","249","249","248","245"
"Holmes County","250","250","250","250","250","250"
"Issaquena County","250","248","247","247","245","249"
"Jefferson County","250","249","248","248","247","247"
"Kemper County","250","248","247","247","248","250"
"Leake County","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250"
"Stone County","250","250","250","250","250","250"
"Winston County","250","250","249","249","249","248"
"PRIVATE PRISONS","4,960","4,560","4,555","4,553","4,558","4,564"
"Delta       (Reopened 04-01-04)","960","958","955","955","957","955"
"East MS","1,000","863","863","863","863","863"
"Marshall County","1,000","992","991","990","989","993"
"Walnut Grove","1,000","755","754","754","761","759"
"Wilkinson County","1,000","992","992","991","988","994"
"RESITITUTION CENTERS","24","12","12","12","13","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4"
"Pascagoula","6","2","2","2","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","","37","35","35","4","2"
"TOTALS","22,104","21,201","21,177","21,175","21,175","21,194"
