"Location","Capacity","22-Mar-17","23-Mar-17","24-Mar-17","25-Mar-17","26-Mar-17","27-Mar-17","28-Mar-17","29-Mar-17","30-Mar-17","31-Mar-17","Avg Population"
"Mississippi State Penitentiary","3590","3345","3340","3340","3,340","3,339","3,347","3,353","3,367","3,388","3,387","3351"
"Central Mississippi Correctional Facility","3,882","3,404","3,392","3,400","3,400","3,404","3,436","3,451","3,418","3,427","3,429","3414"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","31","31","30"
"CMCF TVC","","10","10","14","14","14","12","12","14","12","12","15"
"South Mississippi Correctional Institution","3,082","3,068","3,071","3,070","3,070","3,070","3,068","3,067","3,078","3,073","3,064","3067"
"County Jails","1,781","1,374","1,347","1,350","1,350","1,350","1,340","1,342","1,358","1,345","1,346","1366"
"COMMUNITY WORK CENTERS","1,348","1,020","1,030","1,044","1,040","1,036","1,056","1,060","1,053","1,040","1,036","1010"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","66","75","74","74","74","74","74","73","73","73","68"
"George Satellite Facility","102","73","73","73","73","73","75","75","75","74","73","75"
"Harrison Satellite Facility","102","72","72","74","74","74","74","73","73","73","72","70"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","66","66","72","70","70","78","79","78","77","81","67"
"Leflore TVC Support","20","10","10","10","10","10","12","12","12","12","17","10"
"Madison Satellite Facility","102","83","83","83","83","83","83","86","86","84","81","83"
"Noxubee Satellite Facility","92","77","82","82","82","79","78","78","81","76","75","83"
"Pike Satellite Facility","93","84","84","84","84","84","84","84","85","85","84","80"
"Quitman Satellite Facility","93","70","68","70","70","70","70","72","72","71","73","65"
"Rankin Satellite Facility","182","163","162","160","160","160","162","165","165","165","164","162"
"Rankin RID","28","5","5","5","5","5","5","6","6","6","6","5"
"Flowood TVC","50","21","21","21","21","20","22","21","20","22","22","21"
"Simpson TVC","82","69","69","78","76","76","81","82","79","76","77","69"
"Simpson TVC Support","20","18","18","18","18","18","18","17","17","16","16","14"
"Washington Satellite Facility","102","81","79","77","77","77","78","74","69","68","60","75"
"Wilkinson Satellite Facility","102","62","63","63","63","63","62","62","62","62","62","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,830","3,831","3,823","3,820","3,808","3,806","3,804","3,817","3,814","3,814","3813"
"Alcorn County","300","240","239","239","239","239","239","239","240","240","240","238"
"Bolivar County","369","294","292","293","293","293","293","293","292","292","294","293"
"Carroll County","280","263","263","264","264","264","263","264","264","264","264","263"
"Chickasaw County","310","285","288","288","288","288","288","288","288","288","287","287"
"George County","280","222","221","224","224","223","222","224","224","223","223","222"
"Holmes County","280","224","224","223","223","223","223","222","223","222","222","223"
"Issaquena County","274","274","274","273","273","273","271","274","274","273","271","273"
"Jefferson County","280","280","280","278","277","277","278","279","279","280","279","278"
"Kemper County","355","351","353","350","350","350","352","352","352","352","347","347"
"Leake County","280","200","199","200","200","200","200","196","200","200","199","199"
"Marion County","280","231","232","229","229","219","229","228","227","227","227","233"
"Stone County","326","279","278","275","273","272","272","269","269","268","267","280"
"Washington County","300","227","226","226","226","226","226","226","226","225","234","220"
"Winston County","280","224","222","222","222","222","211","211","220","221","223","221"
"Yazoo County","300","236","240","239","239","239","239","239","239","239","237","237"
"PRIVATE PRISONS","5,972","3,053","3,058","3,056","3,054","3,053","3,048","3,047","3,050","3,048","3,054","3035"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,162","1,159","1,157","1,157","1,156","1,153","1,153","1,159","1,159","1,163","1141"
"Marshall County","1,000","1,000","1,000","999","998","998","998","998","996","997","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","891","899","900","899","899","897","896","895","892","891","895"
"RESTITUTION CENTERS","16","15","15","15","15","15","13","13","13","15","15","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","6","6","6","6","6","4","4","4","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TOTALS","24,223","19,149","19,124","19,142","19,133","19,119","19,156","19,179","19,198","19,193","19,188","19115"
"","","22-Mar-17","23-Mar-17","24-Mar-17","25-Mar-17","26-Mar-17","27-Mar-17","28-Mar-17","29-Mar-17","30-Mar-17","31-Mar-17","Avg Population"
