"Location","Capacity","28-Dec-11","29-Dec-11","30-Dec-11","","31-Dec-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,059","3,072","3,065","3,058","3,064"
"Central Mississippi Correctional Facility","3,449","3,067","3,047","3,050","3,049","3,065"
"South Mississippi Correctional Institution","3,256","3,139","3,150","3,152","3,150","3,170"
"County Jails","1,616","2,032","2,011","2,012","2,012","2,032"
"COMMUNITY WORK CENTERS","1,848","1,456","1,454","1,449","1,448","1,470"
"Alcorn Satellite Facility","92","81","80","80","80","81"
"Bolivar Satellite Facility","102","82","83","83","83","83"
"Forrest Satellite Facility","96","79","77","76","76","81"
"George Satellite Facility","102","85","84","84","84","84"
"Harrison Satellite Facility","102","87","87","87","86","87"
"Jackson Satellite Facility","102","85","85","84","84","82"
"Jefferson Satellite Facility","102","73","71","71","71","75"
"Leflore Satellite Facility","102","90","91","91","91","89"
"Madison Satellite Facility","102","92","92","92","92","91"
"Noxubee Satellite Facility","92","78","78","78","78","78"
"Pike Satellite Facility","93","54","52","50","50","56"
"Quitman Satellite Facility","93","58","58","58","58","61"
"Rankin Satellite Facility","260","187","189","188","188","189"
"Simpson Satellite Facility","102","91","90","90","90","91"
"Washington Satellite Facility","102","84","85","85","85","88"
"Wilkinson Satellite Facility","102","65","65","65","65","68"
"Yazoo Satellite Facility","102","85","87","87","87","86"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,991","4,001","4,000","3,996","3,834"
"Alcorn County","300","295","295","300","299","288"
"Bolivar County","294","235","236","235","235","234"
"Carroll County","280","224","226","226","226","224"
"Chickasaw County","300","248","249","249","249","249"
"George County","280","280","280","279","279","256"
"Holmes County","280","280","281","281","280","255"
"Issaquena County","274","274","276","275","275","258"
"Jefferson County","280","280","280","280","279","258"
"Kemper County","355","281","281","281","281","283"
"Leake County","280","280","281","280","280","242"
"Marion County","280","279","279","279","279","271"
"Stone County","280","280","281","280","280","272"
"Washington County","300","231","231","231","231","232"
"Winston County","280","224","224","224","224","223"
"Yazoo County","300","300","301","300","299","290"
"PRIVATE PRISONS","5,972","4,661","4,676","4,673","4,671","4,798"
"Delta","972","448","446","446","446","581"
"East Mississippi","1,500","1,323","1,326","1,324","1,323","1,322"
"Marshall County","1,000","999","999","999","999","998"
"Walnut Grove","1,500","1,001","1,012","1,012","1,011","1,007"
"Wilkinson County","1,000","890","893","892","892","890"
"RESTITUTION CENTERS","16","10","10","9","9","10"
"Greenwood","6","3","3","3","3","3"
"Hinds","6","3","3","2","2","3"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","7","10","10","9","10"
"TOTALS","23,882","21,427","21,436","21,425","21,407","21,460"
"","","28-Dec-11","29-Dec-11","30-Dec-11","31-Dec-11",""
