"Location","Capacity","21-Dec-01","22-Dec-01","23-Dec-01","24-Dec-01","25-Dec-01","26-Dec-01","27-Dec-01","28-Dec-01","29-Dec-01","30-Dec-01","31-Dec-01"
"MS STATE PENITENTIARY","5,551","5,260","5,259","5,259","5,258","5,257","5,253","5,239","5,257","5,257","5,255","5,251"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,881","2,881","2,880","2,880","2,878","2,892","2,891","2,891","2,890","2,891","2,900"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,060","2,059","2,059","2,059","2,057","2,055","2,048","2,050","2,050","2,049","2,074"
"COUNTY JAILS","2,137","1,727","1,728","1,728","1,728","1,728","1,727","1,732","1,718","1,718","1,718","1,688"
"COMMUNITY WORK CENTERS","1,328","1,293","1,293","1,293","1,293","1,293","1,289","1,271","1,275","1,276","1,277","1,280"
"Alcorn Satellite Facility","75","75","75","75","75","75","75","75","75","75","75","75"
"Bolivar Satellite Facility","75","74","74","74","74","74","73","68","69","69","69","74"
"Forrest Satellite Facility","75","74","74","74","74","74","74","74","73","73","74","74"
"George Satellite Facility","75","75","75","75","75","75","75","74","74","74","74","74"
"Harrison Satellite Facility","75","73","73","73","73","73","73","72","72","72","72","72"
"Jackson Satellite Facility","75","75","75","75","75","75","75","74","72","73","73","73"
"Jefferson Satellite Facility","75","74","74","74","74","74","74","74","73","73","73","73"
"Leflore Satellite Facility","75","74","74","74","74","74","75","75","74","74","74","74"
"Madison Satellite Facility","75","73","73","73","73","73","72","72","72","72","72","73"
"Noxubee Satellite Facility","75","74","74","74","74","74","73","69","69","69","69","69"
"Pike Satellite Facility","75","63","63","63","63","63","62","62","62","62","62","62"
"Quitman Satellite Facility","75","69","69","69","69","69","68","68","72","72","72","72"
"Rankin Satellite Facility","128","122","122","122","122","122","122","120","123","123","123","122"
"Simpson Satellite Facility","75","74","74","74","74","74","74","73","73","73","73","72"
"Washington Satellite Facility","75","75","75","75","75","75","75","72","72","72","72","72"
"Wilikinson Satellite Facility","75","75","75","75","75","75","75","75","75","75","75","74"
"Yazoo Satellite Facility","75","74","74","74","74","74","74","74","75","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,979","1,979","1,979","1,977","1,975","1,982","1,985","1,982","1,981","1,978","1,972"
"Bolivar County","250","0","0","0","0","0","0","0 0","","0","0","0"
"Carroll County","250","218","218","218","218","217","217","220","219","218","218","217"
"Holmes County","250","216","216","216","216","216","219","219","219","219","219","219"
"Issaquena County","250","212","212","212","212","211","210","210","209","209","208","204"
"Jefferson County","250","221","221","221","221","221","225","225","225","225","225","224"
"Kemper County","250","242","242","242","242","242","242","242","242","242","240","240"
"Leake County","250","218","218","218","217","217","218","218","218","218","218","218"
"Marion County","250","217","217","217","216","216","217","217","216","216","216","216"
"Stone County","250","221","221","221","221","221","221","221","221","221","221","221"
"Winston County","250","214","214","214","214","214","213","213","213","213","213","213"
"PRIVATE PRISONS","3,900","3,609","3,607","3,607","3,607","3,606","3,604","3,616","3,606","3,606","3,606","3,609"
"Delta","1,000","849","848","848","848","848","848","849","848","848","848","848"
"East MS","500","497","496","496","496","495","493","493","492","492","492","492"
"Marshall County","1,000","873","873","873","873","873","873","885","885","885","885","883"
"Walnut Grove","500","499","499","499","499","499","499","499","491","491","491","496"
"Wilkinson County","900","891","891","891","891","891","891","890","890","890","890","890"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","17","17","17","17","17"
"Greenwood","6","6","6","6","6","6","6","5","5","5","5","5"
"Hinds","12","11","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5"
"TOTALS","20,709","18,832","18,829","18,828","18,825","18,817","18,825","18,804","18,801","18,800","18,796","18,796"
