"Location","Capacity","27-Mar-03","28-Mar-03","29-Mar-03","30-Mar-03","31-Mar-03"
"MS STATE PENITENTIARY","5,711","5,646","5,661","5,658","5,654","5,645"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,094","3,083","3,082","3,080","3,088"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,144","2,139","2,139","2,137","2,155"
"COUNTY JAILS","2,133","2,097","2,097","2,097","2,097","2,098"
"COMMUNITY WORK CENTERS","1,350","1,307","1,297","1,295","1,295","1,308"
"Alcorn Satellite Facility","75","74","74","74","74","74"
"Bolivar Satellite Facility","75","73","73","73","73","73"
"Forrest Satellite Facility","75","74","73","73","73","74"
"George Satellite Facility","75","74","72","72","72","74"
"Harrison Satellite Facility","75","75","73","73","72","73"
"Jackson Satellite Facility","75","75","73","73","73","74"
"Jefferson Satellite Facility","75","74","74","74","74","74"
"Leflore Satellite Facility","75","75","74","74","74","75"
"Madison Satellite Facility","75","75","74","74","74","75"
"Noxubee Satellite Facility","75","70","75","75","75","74"
"Pike Satellite Facility","75","58","57","57","57","58"
"Quitman Satellite Facility","75","68","68","68","68","68"
"Rankin Satellite Facility","150","149","148","148","148","149"
"Simpson Satellite Facility","75","75","73","73","73","73"
"Washington Satellite Facility","75","72","71","70","70","73"
"Wilkinson Satellite Facility","75","72","71","71","71","72"
"Yazoo Satellite Facility","75","74","74","73","74","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,484","2,487","2,487","2,485","2,486"
"Bolivar County","250","227","226","226","226","226"
"Carroll County","250","226","226","226","226","226"
"George County (opened on May 10th)","250","224","226","226","226","226"
"Holmes County","250","226","226","226","226","227"
"Issaquena County","250","226","226","226","226","225"
"Jefferson County","250","226","226","226","226","226"
"Kemper County","250","225","225","225","225","226"
"Leake County","250","226","226","226","226","226"
"Marion County","250","226","226","226","226","226"
"Stone County","250","227","227","227","226","226"
"Winston County","250","225","227","227","226","226"
"PRIVATE PRISONS","3,750","3,368","3,375","3,375","3,373","3,369"
"Delta (Closed)","0","0","0","0","0","0"
"East MS","1,000","683","683","683","683","681"
"Marshall County","1,000","987","987","987","985","983"
"Walnut Grove","750","714","714","714","714","715"
"Wilkinson County","1,000","984","991","991","991","990"
"RESITITUTION CENTERS","24","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"TOTALS","21,171","20,159","20,158","20,152","20,140","20,168"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","27-Mar-03","28-Mar-03","29-Mar-03","30-Mar-03","31-Mar-03"
