"Location","Capacity","1-Mar-13","2-Mar-13","3-Mar-13","4-Mar-13","5-Mar-13","6-Mar-13","7-Mar-13","8-Mar-13","9-Mar-13"
"Mississippi State Penitentiary","4,648","3,341","3,341","3,340","3,340","3,347","3,353","3,350","3,380","3,378"
"Central Mississippi Correctional Facility","3,557","3,193","3,193","3,194","3,200","3,223","3,231","3,246","3,216","3,216"
"Youthful Offender Unit","42","26","26","26","26","26","25","26","27","27"
"South Mississippi Correctional Institution","3,282","3,221","3,218","3,221","3,222","3,227","3,229","3,225","3,222","3,222"
"County Jails","1,872","2,289","2,289","2,285","2,304","2,306","2,314","2,319","2,333","2,332"
"COMMUNITY WORK CENTERS","1,848","1,528","1,528","1,524","1,561","1,557","1,559","1,555","1,535","1,533"
"Alcorn Satellite Facility","92","90","90","90","91","91","88","88","85","85"
"Bolivar Satellite Facility","102","74","74","74","76","75","74","74","73","73"
"Forrest Satellite Facility","96","68","68","68","73","72","73","73","73","73"
"George Satellite Facility","102","75","75","75","77","74","77","78","77","77"
"Harrison Satellite Facility","102","78","78","76","79","81","81","82","81","81"
"Jackson Satellite Facility","102","71","71","71","73","73","73","73","75","75"
"Jefferson Satellite Facility","102","77","76","76","78","78","79","80","77","75"
"Leflore Satellite Facility","102","79","79","79","82","82","81","81","78","78"
"Madison Satellite Facility","102","85","85","85","86","87","86","84","85","85"
"Noxubee Satellite Facility","92","76","76","76","79","79","80","82","80","79"
"Pike Satellite Facility","93","90","90","89","93","93","93","90","91","91"
"Quitman Satellite Facility","93","89","89","89","92","92","92","91","90","90"
"Rankin Satellite Facility","260","248","248","248","250","249","249","247","244","244"
"Simpson Satellite Facility","102","95","96","96","97","97","99","98","96","96"
"Washington Satellite Facility","102","77","77","77","79","78","78","78","78","78"
"Wilkinson Satellite Facility","102","73","73","72","70","69","69","69","65","66"
"Yazoo Satellite Facility","102","83","83","83","86","87","87","87","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,364","4,360","4,353","4,352","4,347","4,347","4,350","4,353","4,347"
"Alcorn County","300","300","300","297","296","295","295","300","300","300"
"Bolivar County","369","369","369","369","369","368","369","369","368","368"
"Carroll County","280","278","277","277","279","279","279","280","279","279"
"Chickasaw County","300","300","300","299","299","298","297","297","300","299"
"George County","280","280","280","279","278","279","278","278","279","278"
"Holmes County","280","280","280","280","280","279","279","279","280","280"
"Issaquena County","274","274","273","273","274","274","274","274","273","273"
"Jefferson County","280","279","278","277","277","277","280","279","278","278"
"Kemper County","355","339","339","339","339","339","339","337","337","337"
"Leake County","280","280","280","280","280","279","278","277","279","279"
"Marion County","280","280","280","280","280","279","278","280","280","280"
"Stone County","280","278","278","278","278","278","280","280","279","279"
"Washington County","300","245","245","245","243","242","242","241","243","240"
"Winston County","280","282","281","281","281","281","280","280","280","280"
"Yazoo County","300","300","300","299","299","300","299","299","298","297"
"PRIVATE PRISONS","5,972","4,304","4,302","4,301","4,314","4,317","4,319","4,316","4,315","4,312"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,125","1,125","1,123","1,123","1,122","1,122","1,120","1,119"
"Marshall County","1,000","997","996","996","996","996","996","995","993","992"
"Walnut Grove","1,500","1,282","1,281","1,280","1,292","1,296","1,296","1,294","1,297","1,296"
"Wilkinson County","1,000","900","900","900","903","902","905","905","905","905"
"RESTITUTION CENTERS","16","63","62","61","21","22","22","24","49","49"
"Greenwood","6","4","4","4","3","3","3","3","4","4"
"Hinds","6","5","5","5","5","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","50","49","48","9","9","9","11","35","35"
"TOTALS","25,681","22,329","22,319","22,305","22,340","22,372","22,399","22,411","22,430","22,416"
