"Location","Capacity","1-Dec-11","2-Dec-11","3-Dec-11","4-Dec-11","5-Dec-11","6-Dec-11","7-Dec-11","8-Dec-11","9-Dec-11"
"Mississippi State Penitentiary","3,356","3,069","3,068","3,065","3,063","3,074","3,078","3,072","3,068","3,058"
"Central Mississippi Correctional Facility","3,449","3,041","3,053","3,053","3,049","3,069","3,082","3,096","3,061","3,085"
"South Mississippi Correctional Institution","3,256","3,193","3,201","3,198","3,197","3,189","3,193","3,204","3,198","3,208"
"County Jails","1,616","2,071","2,060","2,060","2,060","2,049","2,039","2,020","2,027","1,997"
"COMMUNITY WORK CENTERS","1,848","1,478","1,484","1,484","1,483","1,479","1,482","1,478","1,484","1,480"
"Alcorn Satellite Facility","92","82","81","81","81","81","81","80","78","80"
"Bolivar Satellite Facility","102","86","85","85","85","86","86","84","83","84"
"Forrest Satellite Facility","96","82","82","82","82","82","80","84","84","83"
"George Satellite Facility","102","86","85","85","85","85","85","82","84","83"
"Harrison Satellite Facility","102","82","82","82","82","82","82","82","90","91"
"Jackson Satellite Facility","102","83","82","82","82","81","81","84","81","81"
"Jefferson Satellite Facility","102","72","77","76","77","75","75","77","77","77"
"Leflore Satellite Facility","102","92","91","91","90","89","89","87","86","88"
"Madison Satellite Facility","102","90","91","91","91","91","91","88","92","92"
"Noxubee Satellite Facility","92","77","77","77","77","77","76","76","78","78"
"Pike Satellite Facility","93","58","59","60","59","59","59","59","58","58"
"Quitman Satellite Facility","93","62","62","62","62","63","64","64","64","64"
"Rankin Satellite Facility","260","192","195","195","195","193","193","192","190","185"
"Simpson Satellite Facility","102","89","89","89","89","89","89","88","93","91"
"Washington Satellite Facility","102","91","91","91","91","91","90","91","88","87"
"Wilkinson Satellite Facility","102","69","68","68","68","68","74","74","71","71"
"Yazoo Satellite Facility","102","85","87","87","87","87","87","86","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,526","3,521","3,515","3,512","3,563","3,625","3,675","3,722","3,720"
"Alcorn County","300","250","250","250","250","250","250","300","298","296"
"Bolivar County","294","236","235","233","232","233","235","235","234","233"
"Carroll County","280","224","224","224","222","223","223","223","224","224"
"Chickasaw County","300","250","250","249","249","248","248","248","249","248"
"George County","280","224","224","224","224","224","224","224","223","223"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","225","225","225","225","225","224","224","225","225"
"Jefferson County","280","223","222","221","221","221","224","223","223","223"
"Kemper County","355","284","284","283","283","282","284","284","284","284"
"Leake County","280","224","224","224","224","224","224","224","224","224"
"Marion County","280","223","223","223","223","223","279","279","280","281"
"Stone County","280","225","224","224","224","280","280","279","279","279"
"Washington County","300","239","236","236","236","233","232","232","231","231"
"Winston County","280","223","224","224","224","222","223","224","223","224"
"Yazoo County","300","252","252","251","251","251","251","252","301","301"
"PRIVATE PRISONS","5,972","5,117","5,110","5,108","5,104","5,053","5,006","4,957","4,915","4,911"
"Delta","972","898","896","895","894","838","782","732","682","681"
"East Mississippi","1,500","1,317","1,320","1,319","1,318","1,321","1,325","1,325","1,325","1,323"
"Marshall County","1,000","998","1,000","1,000","999","998","998","997","997","999"
"Walnut Grove","1,500","1,013","1,004","1,004","1,003","1,004","1,009","1,011","1,020","1,018"
"Wilkinson County","1,000","891","890","890","890","892","892","892","891","890"
"RESTITUTION CENTERS","16","11","11","11","11","11","10","10","11","11"
"Greenwood","6","4","4","4","4","4","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","8","8","8","9","11","8","7","7","14"
"TOTALS","23,882","21,519","21,521","21,507","21,493","21,503","21,528","21,524","21,498","21,489"
