"Location","Capacity","1-Jan-05","2-Jan-05","3-Jan-05","4-Jan-05","5-Jan-05","6-Jan-05","7-Jan-05","8-Jan-05","9-Jan-05","10-Jan-05","11-Jan-05","12-Jan-05","13-Jan-05"
"Mississippi State Penitentiary","4,760","4,619","4,620","4,615","4,611","4,594","4,639","4,637","4,637","4,635","4,620","4,606","4,602","4,602"
"Central Mississippi Correctional Facility","3,233","3,063","3,060","3,058","3,029","3,024","2,974","2,931","2,933","2,930","2,934","2,940","2,948","2,955"
"South Mississippi Correctional Institution","2,214","2,160","2,160","2,159","2,144","2,142","2,144","2,152","2,151","2,149","2,138","2,139","2,139","2,133"
"County Jails","2,295","1,872","1,872","1,873","1,882","1,904","1,919","1,927","1,927","1,927","1,948","1,984","1,997","2,020"
"COMMUNITY WORK CENTERS","1,816","1,726","1,727","1,725","1,712","1,708","1,711","1,690","1,687","1,685","1,702","1,695","1,691","1,685"
"Alcorn Satellite Facility","92","89","89","89","89","89","89","88","88","88","90","90","90","90"
"Bolivar Satellite Facility","102","101","101","101","102","102","102","92","92","92","101","100","100","100"
"Forrest Satellite Facility","96","96","96","95","94","93","93","92","92","92","91","92","92","92"
"George Satellite Facility","102","99","100","99","100","100","100","102","102","102","102","102","101","100"
"Harrison Satellite Facility","102","101","101","101","101","100","100","102","102","102","102","102","102","102"
"Jackson Satellite Facility","102","99","99","99","97","98","102","102","102","102","102","102","102","102"
"Jefferson Satellite Facility","102","99","99","99","100","99","99","99","98","96","97","97","97","97"
"Leflore Satellite Facility","102","101","101","101","100","100","100","100","100","100","101","101","101","99"
"Madison Satellite Facility","102","102","102","102","101","101","101","100","100","100","100","97","97","97"
"Noxubee Satellite Facility","92","90","90","90","88","88","88","79","79","79","91","91","90","89"
"Pike Satellite Facility","93","63","63","63","63","63","63","63","63","63","63","63","62","62"
"Quitman Satellite Facility","93","76","76","76","76","76","76","76","75","75","68","67","67","67"
"Rankin Satellite Facility","228","207","207","207","202","201","200","199","199","199","199","195","195","194"
"Simpson Satellite Facility","102","102","102","102","102","101","101","101","100","100","101","102","102","102"
"Washington Satellite Facility","102","102","102","102","102","102","102","101","101","101","101","101","102","102"
"Wilkinson Satellite Facility","102","100","100","100","98","98","98","97","97","97","97","97","96","95"
"Yazoo Satellite Facility","102","99","99","99","97","97","97","97","97","97","96","96","95","95"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,736","2,736","2,734","2,744","2,739","2,739","2,742","2,740","2,738","2,733","2,736","2,728","2,726"
"Bolivar County","250","246","246","246","247","247","249","250","250","249","247","247","247","246"
"Carroll County","250","250","250","250","250","249","249","250","250","250","250","250","250","250"
"George County","250","249","249","249","249","250","249","247","247","246","246","249","249","249"
"Holmes County","250","249","249","248","248","249","248","250","249","249","248","247","247","247"
"Issaquena County","250","245","245","245","251","251","251","249","249","249","248","248","247","247"
"Jefferson County","250","249","249","249","250","250","250","249","249","249","249","249","247","246"
"Kemper County","250","249","249","249","250","248","248","249","249","249","249","249","246","246"
"Leake County","250","250","250","250","250","250","250","250","249","249","248","248","247","247"
"Marion County","250","250","250","250","250","249","249","250","250","250","250","250","250","250"
"Stone County","250","249","249","248","250","249","248","248","248","248","248","249","248","248"
"Winston County","250","250","250","250","249","247","248","250","250","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,752","4,750","4,748","4,744","4,744","4,729","4,737","4,733","4,730","4,734","4,722","4,718","4,706"
"Delta","960","955","954","953","951","950","950","949","948","948","947","946","945","943"
"East Mississippi","1,000","870","870","870","870","871","871","871","871","871","871","870","869","865"
"Marshall County","1,000","993","993","993","993","991","991","991","990","990","988","985","985","981"
"Tallahatchie County","128","127","127","127","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","825","825","825","822","825","811","820","820","820","820","820","821","821"
"Wilkinson County","1,000","982","981","980","980","979","978","978","976","973","980","973","970","968"
"RESITITUTION CENTERS","18","13","13","13","12","14","14","14","14","14","14","14","14","14"
"Greenwood","6","4","4","4","3","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","12","10","10","12","11","8","4","1","2","3","2","4","5"
"TOTALS","22,180","20,958","20,953","20,940","20,895","20,885","20,882","20,839","20,828","20,815","20,831","20,843","20,846","20,851"
