"Location","Capacity","11-Apr-02","12-Apr-02","13-Apr-02","14-Apr-02","15-Apr-02","16-Apr-02","17-Apr-02","18-Apr-02","19-Apr-02","20-Apr-02"
"MS STATE PENITENTIARY","5,551","5,325","5,321","5,321","5,319","5,320","5,341","5,323","5,341","5,336","5,336"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,025","3,025","3,023","3,022","3,027","3,035","3,008","3,005","2,988","2,989"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,051","2,048","2,048","2,047","2,055","2,054","2,064","2,061","2,057","2,056"
"COUNTY JAILS","2,137","1,623","1,623","1,623","1,607","1,587","1,571","1,612","1,598","1,610","1,611"
"COMMUNITY WORK CENTERS","1,328","1,281","1,254","1,254","1,255","1,274","1,270","1,278","1,297","1,290","1,290"
"Alcorn Satellite Facility","75","75","72","72","72","75","75","75","75","75","75"
"Bolivar Satellite Facility","75","74","71","71","71","74","74","74","75","75","75"
"Forrest Satellite Facility","75","75","75","75","75","73","73","75","75","73","73"
"George Satellite Facility","75","74","71","71","71","74","74","75","73","72","72"
"Harrison Satellite Facility","75","75","75","75","75","75","75","75","75","75","75"
"Jackson Satellite Facility","75","75","74","74","75","74","73","75","75","75","75"
"Jefferson Satellite Facility","75","74","74","74","74","75","75","75","75","75","75"
"Leflore Satellite Facility","75","74","71","71","71","71","70","70","75","72","72"
"Madison Satellite Facility","75","75","72","72","72","75","75","75","74","75","75"
"Noxubee Satellite Facility","75","75","75","75","75","75","75","75","75","74","74"
"Pike Satellite Facility","75","74","74","74","74","74","74","75","74","73","73"
"Quitman Satellite Facility","75","61","61","61","61","61","60","60","64","64","64"
"Rankin Satellite Facility","128","103","101","101","101","102","103","107","114","117","117"
"Simpson Satellite Facility","75","74","74","74","74","74","73","71","75","75","75"
"Washington Satellite Facility","75","74","70","70","70","74","74","75","75","74","74"
"Wilikinson Satellite Facility","75","75","71","71","71","75","75","74","73","71","71"
"Yazoo Satellite Facility","75","74","73","73","73","73","72","72","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,991","1,995","1,995","1,995","1,992","1,992","1,993","1,985","1,992","1,992"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","213","218","218","218","218","218","222","218","220","220"
"Holmes County","250","217","217","217","217","217","217","216","216","215","215"
"Issaquena County","250","217","215","215","215","214","214","212","210","215","215"
"Jefferson County","250","229","229","229","229","230","230","230","229","226","226"
"Kemper County","250","244","244","244","244","244","244","244","244","244","244"
"Leake County","250","217","217","217","217","217","218","217","217","217","217"
"Marion County","250","217","217","217","217","214","214","215","214","218","218"
"Stone County","250","219","219","219","219","219","218","218","218","218","218"
"Winston County","250","218","219","219","219","219","219","219","219","219","219"
"PRIVATE PRISONS","3,900","3,588","3,597","3,596","3,595","3,599","3,597","3,592","3,588","3,596","3,595"
"Delta","1,000","853","851","850","850","859","860","859","857","859","858"
"East MS","500","500","500","500","499","499","498","497","496","500","500"
"Marshall County","1,000","885","891","891","891","890","890","890","890","890","890"
"Walnut Grove","500","486","491","491","492","491","491","490","490","491","491"
"Wilkinson County","900","864","864","864","863","860","858","856","855","856","856"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","9","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,709","18,906","18,885","18,882","18,862","18,876","18,882","18,892","18,897","18,891","18,891"
