"Location","Capacity","1-Jun-11","2-Jun-11","3-Jun-11","4-Jun-11","5-Jun-11","6-Jun-11","7-Jun-11","8-Jun-11","9-Jun-11"
"Mississippi State Penitentiary","3,356","3,171","3,077","3,092","3,089","3,088","3,094","3,067","3,073","3,077"
"Central Mississippi Correctional Facility","3,449","3,233","3,245","3,182","3,183","3,182","3,221","3,228","3,255","3,233"
"South Mississippi Correctional Institution","3,204","3,074","3,065","3,127","3,127","3,127","3,132","3,130","3,135","3,131"
"County Jails","1,629","1,847","1,853","1,862","1,862","1,862","1,816","1,787","1,757","1,769"
"COMMUNITY WORK CENTERS","1,848","1,487","1,484","1,460","1,458","1,456","1,494","1,489","1,498","1,495"
"Alcorn Satellite Facility","92","84","84","84","84","84","84","85","85","84"
"Bolivar Satellite Facility","102","81","81","76","76","76","82","81","86","86"
"Forrest Satellite Facility","96","83","83","79","79","79","81","81","81","80"
"George Satellite Facility","102","80","79","75","75","74","78","78","78","78"
"Harrison Satellite Facility","102","78","78","76","76","76","78","77","77","78"
"Jackson Satellite Facility","102","87","87","81","81","81","87","86","85","85"
"Jefferson Satellite Facility","102","73","71","73","73","73","75","75","78","78"
"Leflore Satellite Facility","102","85","83","83","83","83","83","83","83","83"
"Madison Satellite Facility","102","85","85","88","88","88","89","89","89","87"
"Noxubee Satellite Facility","92","81","81","78","78","78","80","79","79","79"
"Pike Satellite Facility","93","82","82","82","82","82","81","80","80","80"
"Quitman Satellite Facility","93","75","76","73","73","73","74","73","73","72"
"Rankin Satellite Facility","260","187","190","190","189","189","191","190","193","192"
"Simpson Satellite Facility","102","87","87","82","81","81","84","86","85","89"
"Washington Satellite Facility","102","82","82","86","86","86","91","91","91","91"
"Wilkinson Satellite Facility","102","79","78","75","75","74","76","75","75","75"
"Yazoo Satellite Facility","102","78","77","79","79","79","80","80","80","78"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,113","3,204","3,206","3,203","3,201","3,198","3,269","3,268","3,271"
"Alcorn County","300","89","177","177","177","177","177","250","249","248"
"Bolivar County","294","235","234","235","235","235","235","235","235","235"
"Carroll County","280","223","223","224","224","224","224","224","223","224"
"Chickasaw County","300","247","248","248","247","247","247","245","245","245"
"George County","280","224","224","224","224","224","224","224","223","223"
"Holmes County","280","224","224","224","224","223","222","224","224","224"
"Issaquena County","274","218","219","219","219","219","219","218","219","218"
"Jefferson County","280","224","224","224","224","224","224","224","225","223"
"Kemper County","355","285","285","285","285","285","285","285","284","283"
"Leake County","280","224","223","224","223","223","223","222","222","223"
"Marion County","280","224","224","224","224","224","224","224","223","223"
"Stone County","280","224","223","221","221","221","221","221","220","224"
"Winston County","280","223","224","225","224","224","222","222","225","224"
"Yazoo County","300","249","252","252","252","251","251","251","251","254"
"PRIVATE PRISONS","5,972","5,130","5,140","5,122","5,120","5,117","5,119","5,120","5,117","5,128"
"Delta","972","896","901","892","892","891","902","901","897","899"
"East Mississippi","1,500","1,353","1,351","1,354","1,353","1,352","1,350","1,351","1,350","1,356"
"Marshall County","1,000","999","999","999","999","999","998","997","1,000","1,001"
"Walnut Grove","1,500","999","1,001","989","988","987","983","986","987","990"
"Wilkinson County","1,000","883","888","888","888","888","886","885","883","882"
"RESTITUTION CENTERS","16","11","10","10","10","10","11","10","10","10"
"Greenwood","6","5","5","5","5","5","4","5","5","5"
"Hinds","6","6","5","5","5","5","7","5","5","5"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","6","9","53","53","54","7","7","8","10"
"TOTALS","23,543","21,077","21,092","21,119","21,110","21,102","21,097","21,112","21,126","21,129"
