"Location","Capacity","19-Feb-16","20-Feb-16","21-Feb-16","22-Feb-16","23-Feb-16","24-Feb-16","","25-Feb-16 26-Feb-16 27-Feb-16",""
"Mississippi State Penitentiary","3,590","3,386","3,387","3,385","3,387","3,393","3,391","3,392","3,387","3,387"
"MSP TVC","","0","0","0","0","0","0","0","0","0"
"Central Mississippi Correctional Facility","2,876","2,759","2,767","2,769","2,826","2,825","2,857","2,829","2,808","2,806"
"Youthful Offender Unit","58","29","29","29","29","30","30","31","31","31"
"CMCF TVC","","8","7","7","7","7","7","8","2","2"
"South Mississippi Correctional Institution","2,882","2,804","2,803","2,803","2,801","2,808","2,806","2,799","2,798","2,798"
"County Jails","1,986","1,520","1,520","1,520","1,529","1,495","1,501","1,504","1,540","1,540"
"COMMUNITY WORK CENTERS","1,950","1,071","1,068","1,068","1,081","1,076","1,068","1,094","1,077","1,076"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","33","33","33","33","33","33","33","30","30"
"Forrest Satellite Facility","96","72","72","72","71","71","71","70","73","72"
"George Satellite Facility","102","76","76","76","82","82","81","80","75","75"
"Harrison Satellite Facility","102","65","65","65","69","69","68","68","66","66"
"Jackson Satellite Facility","102","37","37","37","40","40","40","40","38","38"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","19","19","19","22","21","0","0","0","0"
"Leflore TVC Support","20","0","0","0","0","0","21","21","21","21"
"Leflore TVC","82","0","0","0","0","0","0","23","23","23"
"Madison Satellite Facility","102","92","92","92","90","92","91","92","91","91"
"Noxubee Satellite Facility","92","84","84","84","86","86","86","86","82","82"
"Pike Satellite Facility","93","89","89","89","81","78","78","79","79","79"
"Quitman Satellite Facility","93","87","86","86","88","88","88","87","87","87"
"Rankin Satellite Facility","260","128","128","128","134","134","132","132","125","125"
"Flowood TVC","","19","19","19","19","19","19","19","24","24"
"Simpson TVC and Simpson TVC support","102","98","96","96","93","90","90","89","88","88"
"Washington Satellite Facility","102","78","78","78","78","78","76","76","79","79"
"Wilkinson Satellite Facility","102","59","59","59","59","59","59","62","60","60"
"Yazoo Satellite Facility","102","35","35","35","36","36","35","37","36","36"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,408","3,407","3,405","3,400","3,420","3,420","3,413","3,404","3,401"
"Alcorn County","240","240","240","240","240","240","240","240","240","240"
"Bolivar County","369","294","294","294","293","293","294","294","293","293"
"Carroll County","280","238","238","238","236","238","239","238","234","234"
"Chickasaw County","300","239","239","239","239","239","239","239","239","238"
"George County","280","199","199","199","199","200","200","197","195","194"
"Holmes County","280","199","199","199","199","200","200","200","200","200"
"Issaquena County","274","237","237","237","237","239","239","240","240","240"
"Jefferson County","280","235","235","235","235","239","238","239","239","239"
"Kemper County","355","257","257","257","257","259","258","258","257","257"
"Leake County","280","200","200","199","198","198","199","200","200","199"
"Marion County","280","198","198","198","198","200","200","199","199","199"
"Stone County","280","200","200","199","199","200","198","198","198","198"
"Washington County","300","236","235","235","235","237","237","233","233","233"
"Winston County","280","200","200","200","199","198","199","199","199","199"
"Yazoo County","300","236","236","236","236","240","240","239","238","238"
"PRIVATE PRISONS","5,972","3,941","3,936","3,935","3,928","3,925","3,932","3,927","3,943","3,943"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,139","1,136","1,136","1,135","1,135","1,133","1,132","1,132","1,132"
"Marshall County","1,000","992","992","991","989","989","998","998","997","997"
"Walnut Grove","1,500","924","923","923","921","918","918","916","935","935"
"Wilkinson County","1,000","886","885","885","883","883","883","881","879","879"
"RESTITUTION CENTERS","16","9","9","9","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,606","18,935","18,933","18,930","18,998","18,989","19,022","19,007","19,000","18,994"
