"","","","","","","","","","",""
"Location","Capacity","10-Aug-13","11-Aug-13","12-Aug-13","13-Aug-13","14-Aug-13","15-Aug-13","16-Aug-13","17-Aug-13","18-Aug-13"
"Mississippi State Penitentiary","4,648","3,375","3,374","3,382","3,386","3,389","3,386","3,392","3,388","3,386"
"Central Mississippi Correctional Facility","3,557","3,314","3,312","3,289","3,296","3,283","3,302","3,311","3,304","3,305"
"Youthful Offender Unit","42","35","34","35","35","34","32","32","35","35"
"South Mississippi Correctional Institution 3,282","","3,232","3,231","3,228","3,234","3,243","3,236","3,227","3,223","3,222"
"County Jails","1,872","2,221","2,221","2,252","2,250","2,237","2,231","2,255","2,255","2,252"
"COMMUNITY WORK CENTERS","1,848","1,444","1,440","1,454","1,448","1,459","1,446","1,436","1,432","1,435"
"Alcorn Satellite Facility","92","90","90","89","91","90","90","90","90","90"
"Bolivar Satellite Facility","102","75","75","75","71","70","70","68","68","68"
"Forrest Satellite Facility","96","66","66","66","64","64","64","69","69","69"
"George Satellite Facility","102","68","66","70","70","72","70","69","69","69"
"Harrison Satellite Facility","102","86","86","87","86","86","88","86","86","86"
"Jackson Satellite Facility","102","78","78","83","82","82","82","80","78","78"
"Jefferson Satellite Facility","102","59","59","59","59","58","58","57","57","57"
"Leflore Satellite Facility","102","67","67","69","73","72","72","71","71","71"
"Madison Satellite Facility","102","81","81","80","76","76","76","79","79","79"
"Noxubee Satellite Facility","92","76","75","77","77","78","78","77","77","77"
"Pike Satellite Facility","93","93","93","93","93","93","93","93","93","93"
"Quitman Satellite Facility","93","91","91","91","92","92","92","92","92","92"
"Rankin Satellite Facility","260","228","227","231","230","244","233","229","229","232"
"Simpson Satellite Facility","102","101","101","100","100","100","100","100","100","100"
"Washington Satellite Facility","102","72","72","72","72","71","68","67","66","66"
"Wilkinson Satellite Facility","102","53","53","53","53","52","52","52","52","52"
"Yazoo Satellite Facility","102","60","60","59","59","59","60","57","56","56"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,418","4,410","4,411","4,423","4,431","4,433","4,433","4,425","4,421"
"Alcorn County","300","298","298","297","297","300","300","300","300","300"
"Bolivar County","369","366","365","366","367","366","368","369","369","368"
"Carroll County","280","277","277","278","279","279","280","280","277","277"
"Chickasaw County","300","300","300","300","300","300","300","300","300","298"
"George County","280","280","280","280","280","280","280","280","280","280"
"Holmes County","280","280","280","279","280","280","280","280","279","279"
"Issaquena County","274","273","272","271","274","274","274","274","274","274"
"Jefferson County","280","279","278","279","279","280","279","279","279","279"
"Kemper County","355","355","355","355","354","354","355","355","354","354"
"Leake County","280","278","278","278","278","279","278","277","274","273"
"Marion County","280","279","277","278","280","280","280","280","280","280"
"Stone County","280","280","280","278","278","280","280","280","280","280"
"Washington County","300","296","295","295","299","300","300","300","300","300"
"Winston County","280","278","276","277","277","279","279","279","279","279"
"Yazoo County","300","299","299","300","301","300","300","300","300","300"
"PRIVATE PRISONS","5,972","4,385","4,383","4,392","4,391","4,395","4,401","4,402","4,398","4,396"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,195","1,195","1,193","1,194","1,195","1,197","1,198","1,197","1,196"
"Marshall County","1,000","997","996","996","996","996","1,000","999","999","999"
"Walnut Grove","1,500","1,301","1,300","1,307","1,306","1,309","1,307","1,308","1,305","1,305"
"Wilkinson County","1,000","892","892","896","895","895","897","897","897","896"
"RESTITUTION CENTERS","16","12","12","12","13","13","14","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","4","4","5","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,436","22,417","22,455","22,476","22,484","22,481","22,501","22,473","22,465"
"","","10-Aug-13","11-Aug-13","12-Aug-13","13-Aug-13","14-Aug-13","15-Aug-13","16-Aug-13","17-Aug-13","18-Aug-13"
