"Location","Capacity","22-Apr-17","23-Apr-17","24-Apr-17","Location","Capacity","25-Apr-17","26-Apr-17","27-Apr-17","28-Apr-17","29-Apr-17","30-Apr-17","Avg Population"
"Mississippi State Penitentiary","3590","3369","3369","3369","Mississippi State Penitentiary","3,590","3,362","3,366","3,366","3,353","3,353","3,350","3376"
"Central Mississippi Correctional Facility","3,882","3,394","3,399","3,396","Central Mississippi Correctional Facility","3,710","3,402","3,392","3,361","3,355","3,356","3,351","3413"
"Youthful Offender Unit","58","29","29","29","Youthful Offender Unit","58","30","30","30","30","30","30","31"
"CMCF TVC","","19","19","19","CMCF TVC","","13","9","9","13","13","13","15"
"South Mississippi Correctional Institution","3,082","3,055","3,052","3,049","South Mississippi Correctional Institution","3,082","3,043","3,041","3,047","3,047","3,048","3,048","3056"
"County Jails","1,781","1,304","1,304","1,308","County Jails","1,781","1,299","1,285","1,303","1,305","1,305","1,305","1358"
"COMMUNITY WORK CENTERS","1,348","991","990","990","Community Work Centers","1,348","987","981","973","974","973","972","1013"
"Alcorn Satellite Facility","0","0","0","0","Alcorn Satellite Facility","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","Bolivar Satellite Facility","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","82","82","82","Forrest Satellite Facility","96","0","84","84","85","85","85","83"
"George Satellite Facility","102","78","78","79","George Satellite Facility","102","84","80","80","78","78","78","80"
"Harrison Satellite Facility","102","78","78","78","Harrison Satellite Facility","102","80","78","80","79","79","79","80"
"Jackson Satellite Facility","0","0","0","0","Jackson Satellite Facility","0","80","0","0","0","0","0","3"
"Jefferson Satellite Facility","0","0","0","0","Jefferson Satellite Facility","0","0","0","0","0","0","0","0"
"Leflore TVC","82","79","78","78","Leflore TVC","82","74","73","73","78","78","78","76"
"Leflore TVC Support","20","14","14","14","Leflore TVC Support","20","14","13","13","14","14","14","15"
"Madison Satellite Facility","102","62","62","62","Madison Satellite Facility","102","62","62","62","62","62","62","65"
"Noxubee Satellite Facility","92","48","48","49","Noxubee Satellite Facility","92","48","47","47","47","47","47","55"
"Pike Satellite Facility","93","88","88","88","Pike Satellite Facility","93","88","89","88","86","86","86","88"
"Quitman Satellite Facility","93","67","67","67","Quitman Satellite Facility","93","66","66","65","65","65","65","71"
"Rankin Satellite Facility","182","161","161","159","Rankin Satellite Facility","182","160","159","158","156","156","156","162"
"Rankin RID","28","4","4","4","Rankin RID","28","4","4","4","4","4","4","5"
"Flowood TVC","50","28","28","28","Flowood TVC","50","26","26","25","25","25","25","22"
"Simpson TVC","82","79","79","79","Simpson TVC","82","78","76","73","77","74","73","75"
"Simpson TVC Support","20","18","18","18","Simpson TVC Support","20","17","18","16","14","16","16","18"
"Washington Satellite Facility","102","49","49","49","Washington Satellite Facility","102","54","54","54","54","54","54","56"
"Wilkinson Satellite Facility","102","56","56","56","Wilkinson Satellite Facility","102","52","52","51","50","50","50","57"
"Yazoo Satellite Facility","0","0","0","0","Yazoo Satellite Facility","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,809","3,809","3,806","REGIONAL CORRECTIONAL FACILITIES","4,494","3,810","3,821","3,808","3,804","3,802","3,801","3831"
"Alcorn County","300","239","239","239","Alcorn County","300","239","240","240","239","239","239","241"
"Bolivar County","369","293","293","292","Bolivar County","369","291","294","292","291","291","291","295"
"Carroll County","280","264","264","264","Carroll County","280","264","264","264","264","264","264","264"
"Chickasaw County","310","286","286","286","Chickasaw County","310","286","288","288","288","288","288","287"
"George County","280","222","222","222","George County","280","222","224","222","222","222","222","224"
"Holmes County","280","222","222","221","Holmes County","280","221","224","222","222","222","222","224"
"Issaquena County","274","274","274","274","Issaquena County","274","274","274","274","272","272","272","273"
"Jefferson County","280","278","278","278","Jefferson County","280","278","280","276","278","278","278","278"
"Kemper County","355","350","350","350","Kemper County","355","352","351","349","349","348","348","349"
"Leake County","280","199","199","199","Leake County","280","199","198","197","198","198","198","201"
"Marion County","280","223","223","223","Marion County","280","226","226","226","225","225","225","226"
"Stone County","326","261","261","260","Stone County","326","261","261","264","264","264","264","266"
"Washington County","300","234","234","234","Washington County","300","233","233","232","232","232","232","238"
"Winston County","280","224","224","224","Winston County","280","224","224","224","222","222","222","224"
"Yazoo County","300","240","240","240","Yazoo County","300","240","240","238","238","237","236","240"
"PRIVATE PRISONS","5,972","3,035","3,035","3,035","PRIVATE PRISONS","5,972","3,038","3,057","3,072","3,074","3,072","3,073","3141"
"Delta","972","0","0","0","Delta","972","0","0","0","0","0","0","31"
"East Mississippi","1,500","1,153","1,153","1,153","East Mississippi","1,500","1,158","1,177","1,195","1,195","1,195","1,195","1176"
"Marshall County","1,000","999","999","999","Marshall County","1,000","999","1,000","998","1,000","998","999","998"
"Walnut Grove","1,500","0","0","0","Walnut Grove","1,500","0","0","0","0","0","0","48"
"Wilkinson County","1,000","883","883","883","Wilkinson County","1,000","881","880","879","879","879","879","887"
"RESTITUTION CENTERS","16","14","14","14","RESTITUTION CENTERS","16","14","14","13","13","13","13","14"
"Greenwood","6","6","6","6","Greenwood","6","6","6","5","5","5","5","6"
"Hinds","6","5","5","5","Hinds","6","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","Pascagoula","4","3","3","3","3","3","3","3"
"","","","","","TRANSITIONAL HOUSING","164","69","67","67","67","67","67","67"
"","","","","","Madison","40","18","17","17","17","17","17","17"
"","","","","","Noxubee","34","22","21","21","21","21","21","21"
"","","","","","Rankin/Flowood","8","2","2","2","2","2","2","2"
"","","","","","Washington","42","23","23","23","23","23","23","23"
"","","","","","Wilkinson","40","4","4","4","4","4","4","4"
"TOTALS","24,223","19,019","19,020","19,015","TOTALS","24,215","19,067","19,063","19,049","19,035","19,032","19,023","19113"
