"Location","Capacity","28-Oct-06","29-Oct-06","30-Oct-06","31-Oct-06"
"Mississippi State Penitentiary","4,534","4,539","4,537","4,536","4,539"
"Central Mississippi Correctional Facility","3,381","3,325","3,325","3,338","3,333"
"South Mississippi Correctional Institution","2,315","2,263","2,262","2,256","2,267"
"County Jails","1,846","1,806","1,806","1,809","1,813"
"COMMUNITY WORK CENTERS","1,816","1,707","1,707","1,781","1,786"
"Alcorn Satellite Facility","92","85","85","87","87"
"Bolivar Satellite Facility","102","91","90","99","99"
"Forrest Satellite Facility","96","94","94","96","96"
"George Satellite Facility","102","96","97","101","101"
"Harrison Satellite Facility","102","95","95","102","102"
"Jackson Satellite Facility","102","91","91","101","101"
"Jefferson Satellite Facility","102","98","98","102","102"
"Leflore Satellite Facility","102","100","100","102","101"
"Madison Satellite Facility","102","102","102","102","102"
"Noxubee Satellite Facility","92","86","86","91","91"
"Pike Satellite Facility","93","85","85","89","89"
"Quitman Satellite Facility","93","83","83","87","87"
"Rankin Satellite Facility","228","215","215","219","221"
"Simpson Satellite Facility","102","101","101","102","102"
"Washington Satellite Facility","102","92","92","97","102"
"Wilkinson Satellite Facility","102","94","94","102","102"
"Yazoo Satellite Facility","102","99","99","102","101"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,078","3,077","3,078","3,075"
"Bolivar County","294","293","293","294","294"
"Carroll County","280","280","280","280","280"
"George County","280","279","279","278","278"
"Holmes County","280","280","280","280","280"
"Issaquena County","274","274","274","274","274"
"Jefferson County","274","274","274","274","273"
"Kemper County","280","280","280","279","279"
"Leake County","280","279","279","280","280"
"Marion County","280","280","280","280","279"
"Stone County","280","279","278","279","278"
"Winston County","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,869","4,865","4,862","4,865"
"Delta","972","972","971","971","971"
"East Mississippi","1,000","859","859","858","860"
"Marshall County","1,000","996","994","993","994"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","951","950","948","948"
"Wilkinson County","1,000","963","963","964","964"
"RESTITUTION CENTERS","16","13","13","13","13"
"Greenwood","6","5","5","5","5"
"Hinds","6","6","6","6","6"
"Pascagoula","4","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","62","58","2","3"
"TOTALS","22,096","21,667","21,655","21,680","21,699"
"","","28-Oct-06","29-Oct-06","30-Oct-06","31-Oct-06"
