"Location","Capacity","19-Feb-15","20-Feb-15","21-Feb-15","22-Feb-15","23-Feb-15","24-Feb-15","25-Feb-15","26-Feb-15","27-Feb-15"
"Mississippi State Penitentiary","4,648","3,112","3,111","3,112","3,111","3,117","3,108","3,107","3,110","3,105"
"MSP TVC","108","84","83","82","80","79","78","79","79","100"
"Central Mississippi Correctional Facility","3,469","2,356","2,356","2,360","2,359","2,383","2,375","2,379","2,308","2,352"
"Youthful Offender Unit","58","22","22","22","22","22","22","22","22","23"
"CMCF TVC","158","119","119","119","115","113","106","101","101","92"
"South Mississippi Correctional Institution 3,282","","2,436","2,436","2,431","2,431","2,463","2,456","2,465","2,462","2,463"
"SMCI TVC","0","95","95","95","92","92","97","99","100","100"
"County Jails","1,995","1,541","1,510","1,510","1,510","1,430","1,451","1,457","1,458","1,487"
"COMMUNITY WORK CENTERS","1,848","1,037","1,031","1,030","1,029","1,032","1,033","1,033","1,044","1,030"
"Alcorn Satellite Facility","92","51","52","52","52","52","52","51","51","50"
"Bolivar Satellite Facility","102","52","51","51","51","52","52","52","52","52"
"Forrest Satellite Facility","96","47","47","47","47","47","47","46","45","43"
"George Satellite Facility","102","53","51","51","51","49","48","49","50","49"
"Harrison Satellite Facility","102","44","46","46","46","47","47","47","47","43"
"Jackson Satellite Facility","102","52","50","50","50","52","52","54","57","56"
"Jefferson Satellite Facility","102","47","47","47","47","47","46","46","46","46"
"Leflore Satellite Facility","102","47","48","48","48","48","47","47","47","47"
"Madison Satellite Facility","102","47","46","46","46","46","46","47","47","51"
"Noxubee Satellite Facility","92","63","64","63","63","63","62","62","62","60"
"Pike Satellite Facility","93","79","78","78","78","79","79","78","88","85"
"Quitman Satellite Facility","93","58","57","57","57","58","59","58","56","56"
"Rankin Satellite Facility","260","160","155","155","155","158","158","158","158","159"
"Simpson Satellite Facility","102","97","97","97","97","95","95","95","95","92"
"Washington Satellite Facility","102","46","49","49","49","47","47","47","47","46"
"Wilkinson Satellite Facility","102","44","44","44","44","44","48","48","48","48"
"Yazoo Satellite Facility","102","50","49","49","48","48","48","48","48","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,181","4,223","4,219","4,216","4,217","4,218","4,216","4,212","4,216"
"Alcorn County","300","297","297","297","297","297","296","296","295","300"
"Bolivar County","369","350","349","349","349","351","351","351","353","356"
"Carroll County","280","270","270","270","270","271","271","271","272","275"
"Chickasaw County","300","298","300","300","299","298","297","297","297","297"
"George County","280","265","265","265","265","264","263","263","263","262"
"Holmes County","280","271","269","269","269","270","270","269","266","266"
"Issaquena County","274","258","257","257","257","259","259","259","259","258"
"Jefferson County","280","257","256","255","255","255","261","265","265","262"
"Kemper County","355","337","337","337","337","337","336","333","332","334"
"Leake County","280","259","259","258","258","260","259","258","260","260"
"Marion County","280","271","269","267","266","266","268","269","268","269"
"Stone County","280","280","280","280","280","281","281","279","279","278"
"Washington County","300","261","261","261","261","258","256","255","253","252"
"Winston County","280","266","266","266","265","261","261","261","259","257"
"Yazoo County","300","241","288","288","288","289","289","290","291","290"
"PRIVATE PRISONS","5,972","3,999","3,979","3,979","3,978","3,971","3,966","3,963","3,954","3,953"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,174","1,175","1,175","1,175","1,175","1,175","1,178","1,178","1,179"
"Marshall County","1,000","996","996","996","996","995","994","994","994","994"
"Walnut Grove","1,500","949","931","931","930","924","922","918","910","893"
"Wilkinson County","1,000","880","877","877","877","877","875","873","872","887"
"RESTITUTION CENTERS","16","6","5","5","5","6","5","5","5","5"
"Greenwood","6","4","3","3","3","4","3","3","3","3"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,726","18,988","18,970","18,964","18,948","18,925","18,915","18,926","18,855","18,926"
"","","19-Feb-15","20-Feb-15","21-Feb-15","22-Feb-15","23-Feb-15","24-Feb-15","25-Feb-15","26-Feb-15","27-Feb-15"
