"Location","Capacity","1-Jul-09","2-Jul-09","3-Jul-09","4-Jul-09","5-Jul-09","6-Jul-09","7-Jul-09","8-Jul-09","9-Jul-09"
"Mississippi State Penitentiary","4,435","4,052","4,059","4,059","4,059","4,057","4,055","4,055","4,006","3,983"
"Central Mississippi Correctional Facility","3,665","3,257","3,220","3,186","3,184","3,185","3,185","3,178","3,184","3,205"
"South Mississippi Correctional Institution","3,204","2,967","2,963","2,963","2,963","2,963","2,962","2,987","3,001","3,004"
"County Jails","1,503","1,551","1,576","1,603","1,603","1,603","1,603","1,594","1,566","1,539"
"COMMUNITY WORK CENTERS","1,848","1,687","1,701","1,693","1,689","1,688","1,688","1,680","1,705","1,676"
"Alcorn Satellite Facility","92","85","85","84","84","84","84","81","80","78"
"Bolivar Satellite Facility","102","89","89","88","88","88","88","88","94","93"
"Forrest Satellite Facility","96","88","88","88","88","88","88","88","91","89"
"George Satellite Facility","102","94","93","92","92","92","92","91","90","90"
"Harrison Satellite Facility","102","91","98","98","96","95","96","90","89","84"
"Jackson Satellite Facility","102","91","95","95","95","95","95","94","93","93"
"Jefferson Satellite Facility","102","96","96","95","95","95","95","94","92","89"
"Leflore Satellite Facility","102","83","83","83","82","82","82","82","94","93"
"Madison Satellite Facility","102","93","92","92","92","92","92","96","98","97"
"Noxubee Satellite Facility","92","82","81","81","81","81","81","86","85","84"
"Pike Satellite Facility","93","85","86","86","86","86","85","85","84","84"
"Quitman Satellite Facility","93","85","85","85","85","85","85","82","80","78"
"Rankin Satellite Facility","260","251","250","249","249","249","249","247","249","246"
"Simpson Satellite Facility","102","89","102","101","101","101","101","99","99","96"
"Washington Satellite Facility","102","96","95","94","94","94","94","93","94","89"
"Wilkinson Satellite Facility","102","92","90","90","90","90","90","93","97","97"
"Yazoo Satellite Facility","102","97","93","92","91","91","91","91","96","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,908","2,913","2,915","2,913","2,912","2,909","2,912","2,913","2,913"
"Bolivar County","294","278","280","279","278","278","277","280","280","280"
"Carroll County","280","266","266","266","266","266","265","265","265","265"
"George County","280","265","265","265","265","265","265","265","266","266"
"Holmes County","280","250","250","250","250","249","249","250","250","250"
"Issaquena County","274","259","260","260","260","260","260","260","259","259"
"Jefferson County","280","265","265","266","265","265","265","265","265","265"
"Kemper County","280","266","266","266","266","266","266","265","266","266"
"Leake County","280","264","264","266","266","266","265","266","266","266"
"Marion County","280","265","266","266","266","266","266","265","265","265"
"Stone County","280","265","265","265","265","265","265","265","265","265"
"Winston County","280","265","266","266","266","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,491","5,487","5,501","5,497","5,496","5,493","5,490","5,491","5,489"
"Delta","972","952","950","958","958","957","957","956","950","955"
"East Mississippi","1,500","1,354","1,355","1,362","1,360","1,360","1,359","1,360","1,361","1,357"
"Marshall County","1,000","983","984","983","983","983","983","983","983","983"
"Walnut Grove","1,500","1,226","1,222","1,222","1,222","1,222","1,221","1,217","1,223","1,221"
"Wilkinson County","1,000","976","976","976","974","974","973","974","974","973"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","10"
"Greenwood","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","9","8","10","9","7","9","7","7"
"TOTALS","23,737","21,943","21,945","21,945","21,935","21,930","21,919","21,922","21,890","21,832"
