"Location","Capacity","28-Aug-12","29-Aug-12","30-Aug-12","","31-Aug-12 Avg Population"
"Mississippi State Penitentiary","4,648","3,387","3,395","3,397","3,396","3,365"
"Central Mississippi Correctional Facility","3,665","3,295","3,263","3,244","3,267","3,220"
"South Mississippi Correctional Institution","3,282","3,187","3,188","3,181","3,177","3,204"
"County Jails","1,736","2,116","2,139","2,149","2,166","2,109"
"COMMUNITY WORK CENTERS","1,848","1,579","1,585","1,585","1,576","1,583"
"Alcorn Satellite Facility","92","90","92","90","90","90"
"Bolivar Satellite Facility","102","76","75","73","73","76"
"Forrest Satellite Facility","96","75","75","75","71","76"
"George Satellite Facility","102","84","84","89","88","84"
"Harrison Satellite Facility","102","67","67","67","68","73"
"Jackson Satellite Facility","102","75","75","75","75","77"
"Jefferson Satellite Facility","102","83","83","102","101","81"
"Leflore Satellite Facility","102","80","79","79","79","81"
"Madison Satellite Facility","102","94","92","91","90","93"
"Noxubee Satellite Facility","92","74","82","82","83","77"
"Pike Satellite Facility","93","89","89","91","91","92"
"Quitman Satellite Facility","93","92","92","92","92","91"
"Rankin Satellite Facility","260","252","252","252","250","244"
"Simpson Satellite Facility","102","98","99","99","99","99"
"Washington Satellite Facility","102","82","81","81","80","83"
"Wilkinson Satellite Facility","102","69","69","48","47","70"
"Yazoo Satellite Facility","102","99","99","99","99","98"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,352","4,355","4,342","4,343","4,348"
"Alcorn County","300","301","300","299","299","300"
"Bolivar County","369","367","369","366","366","368"
"Carroll County","280","279","279","279","279","280"
"Chickasaw County","300","300","299","300","300","299"
"George County","280","279","280","278","278","279"
"Holmes County","280","280","280","280","280","279"
"Issaquena County","274","274","274","270","274","274"
"Jefferson County","280","280","280","279","279","279"
"Kemper County","355","341","340","340","338","339"
"Leake County","280","278","279","280","280","280"
"Marion County","280","280","280","280","280","279"
"Stone County","280","280","279","279","279","279"
"Washington County","300","237","237","236","235","235"
"Winston County","280","278","279","277","276","279"
"Yazoo County","300","298","300","299","300","300"
"PRIVATE PRISONS","5,972","4,161","4,162","4,187","4,175","4,206"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,229","1,229","1,220","1,215","1,256"
"Marshall County","1,000","1,000","1,000","1,000","1,000","998"
"Walnut Grove","1,500","1,036","1,037","1,071","1,063","1,051"
"Wilkinson County","1,000","896","896","896","897","901"
"RESTITUTION CENTERS","16","13","15","15","15","12"
"Greenwood","6","6","6","6","6","5"
"Hinds","6","4","6","6","6","4"
"Pascagoula","4","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","8","7","9","7","14"
"TOTALS","25,611","22,098","22,109","22,109","22,122","22,061"
