"Location","Capacity","10-Feb-14","11-Feb-14","12-Feb-14","13-Feb-14","14-Feb-14","15-Feb-14","16-Feb-14","17-Feb-14","18-Feb-14"
"Mississippi State Penitentiary","4,648","3,315","3,315","3,316","3,327","3,316","3,312","3,310","3,308","3,312"
"Central Mississippi Correctional Facility","3,665","3,035","3,063","3,063","3,056","3,002","3,002","3,000","2,998","3,001"
"Youthful Offender Unit","42","37","37","37","37","37","37","36","37","37"
"South Mississippi Correctional Institution","3,282","3,203","3,201","3,210","3,204","3,231","3,227","3,227","3,225","3,225"
"County Jails","2,020","1,985","1,955","1,963","1,949","2,019","2,031","2,021","2,034","2,011"
"COMMUNITY WORK CENTERS","1,848","1,236","1,228","1,224","1,206","1,182","1,169","1,176","1,186","1,187"
"Alcorn Satellite Facility","92","87","86","86","85","82","82","82","81","79"
"Bolivar Satellite Facility","102","63","63","63","63","61","61","61","63","62"
"Forrest Satellite Facility","96","58","57","56","53","51","51","50","51","54"
"George Satellite Facility","102","54","52","51","51","59","59","59","58","58"
"Harrison Satellite Facility","102","64","62","62","61","38","38","38","39","40"
"Jackson Satellite Facility","102","60","59","59","59","55","55","55","57","55"
"Jefferson Satellite Facility","102","50","50","51","50","50","50","50","50","50"
"Leflore Satellite Facility","102","55","55","55","51","51","51","51","51","51"
"Madison Satellite Facility","102","53","53","52","51","53","53","53","52","52"
"Noxubee Satellite Facility","92","76","76","76","75","74","74","72","73","76"
"Pike Satellite Facility","93","86","86","86","85","84","84","84","84","84"
"Quitman Satellite Facility","93","89","89","89","88","89","88","88","87","82"
"Rankin Satellite Facility","260","204","204","204","202","205","193","204","204","203"
"Simpson Satellite Facility","102","84","87","85","85","83","83","83","87","87"
"Washington Satellite Facility","102","58","58","58","56","56","56","56","56","55"
"Wilkinson Satellite Facility","102","43","42","42","45","45","45","44","44","46"
"Yazoo Satellite Facility","102","52","49","49","46","46","46","46","49","53"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,417","4,424","4,423","4,417","4,402","4,396","4,396","4,382","4,402"
"Alcorn County","300","298","298","298","297","296","296","296","296","296"
"Bolivar County","369","367","369","369","368","368","367","367","367","367"
"Carroll County","280","278","278","280","280","280","278","278","278","278"
"Chickasaw County","300","298","298","298","298","297","297","297","296","299"
"George County","280","275","279","278","277","274","273","273","273","277"
"Holmes County","280","280","280","280","280","277","277","277","277","276"
"Issaquena County","274","274","274","274","274","275","273","273","273","273"
"Jefferson County","280","279","280","279","277","273","273","273","273","276"
"Kemper County","355","354","353","354","353","354","354","354","354","353"
"Leake County","280","280","281","281","281","281","281","281","281","281"
"Marion County","280","278","280","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","280","278","278","278","278","278"
"Washington County","300","294","291","291","291","290","290","290","277","288"
"Winston County","280","280","282","282","279","277","277","277","277","278"
"Yazoo County","300","302","301","299","302","302","302","302","302","302"
"PRIVATE PRISONS","5,972","4,371","4,369","4,376","4,376","4,367","4,366","4,363","4,363","4,362"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,197","1,199","1,199","1,202","1,202","1,202","1,202","1,202","1,200"
"Marshall County","1,000","1,000","999","998","999","998","998","998","998","997"
"Walnut Grove","1,500","1,287","1,284","1,287","1,284","1,279","1,278","1,277","1,277","1,276"
"Wilkinson County","1,000","887","887","892","891","888","888","886","886","889"
"RESTITUTION CENTERS","16","10","10","11","11","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","4","4","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,937","21,609","21,602","21,623","21,583","21,566","21,550","21,539","21,543","21,547"
