"Location","Capacity","24-Oct-16","25-Oct-16","26-Oct-16","27-Oct-16","28-Oct-16","29-Oct-16","30-Oct-16","31-Oct-16","Avg Population"
"Mississippi State Penitentiary","3,590","3318","3320","3291","3284","3273","3273","3271","3277","3337"
"Central Mississippi Correctional Facility","3,858","3461","3421","3442","3422","3387","3388","3365","3322","3471"
"Youthful Offender Unit","58","35","35","35","36","36","36","36","36","36"
"CMCF TVC","","26","25","16","12","24","23","23","24","24"
"South Mississippi Correctional Institution","3,082","2965","2970","2972","2961","2970","2969","2967","2962","2970"
"County Jails","1,781","1287","1265","1264","1271","1247","1247","1247","1265","1310"
"COMMUNITY WORK CENTERS","1,348","982","975","972","958","956","962","961","979","970"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","63","63","63","63","65","65","64","64","64"
"George Satellite Facility","102","81","83","83","83","82","82","82","83","82"
"Harrison Satellite Facility","102","54","54","54","53","52","52","52","52","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","70","68","68","67","71","69","69","69","61"
"Leflore TVC Support","20","14","14","13","13","13","13","13","13","13"
"Madison Satellite Facility","102","75","75","75","73","71","71","71","77","73"
"Noxubee Satellite Facility","92","72","72","72","72","69","69","69","72","73"
"Pike Satellite Facility","93","88","88","88","87","85","85","85","87","86"
"Quitman Satellite Facility","93","63","63","64","63","62","62","62","63","67"
"Rankin Satellite Facility","182","151","150","150","146","146","146","146","151","149"
"Rankin RID","28","6","6","6","5","5","5","5","5","6"
"Flowood TVC","50","25","24","24","24","28","28","28","26","27"
"Simpson TVC","82","70","67","65","60","60","68","68","65","68"
"Simpson TVC Support","20","11","11","11","11","9","9","9","14","11"
"Washington Satellite Facility","102","71","70","69","67","67","67","67","67","71"
"Wilkinson Satellite Facility","102","68","67","67","71","71","71","71","71","68"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4438","4,052","4,089","4,108","4,125","4,152","4,152","4,149","4,155","4,038"
"Alcorn County","300","268","278","287","287","298","298","298","297","274"
"Bolivar County","369","293","292","293","292","294","294","294","294","293"
"Carroll County","280","268","268","267","270","266","266","266","265","268"
"Chickasaw County","300","297","305","309","309","309","308","307","300","282"
"George County","280","278","279","277","276","277","278","277","279","271"
"Holmes County","280","277","277","279","279","276","276","276","275","274"
"Issaquena County","274","269","268","273","273","273","273","273","273","270"
"Jefferson County","280","268","277","274","275","273","273","273","275","269"
"Kemper County","355","271","271","270","269","293","293","293","317","279"
"Leake County","280","197","197","199","199","199","199","199","199","198"
"Marion County","280","269","276","278","278","277","277","277","275","270"
"Stone County","280","323","321","321","320","320","320","319","318","307"
"Washington County","300","221","230","230","230","228","228","228","226","228"
"Winston County","280","260","259","261","269","269","269","269","267","267"
"Yazoo County","300","293","291","290","299","300","300","300","295","288"
"PRIVATE PRISONS","5,972","3,058","3,060","3,065","3,063","3,064","3,064","3,064","3,064","3,061"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,166","1,167","1,167","1,164","1,165","1,165","1,165","1,168","1167"
"Marshall County","1,000","993","993","999","999","999","999","999","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","899","900","899","900","900","900","900","898","897"
"RESTITUTION CENTERS","16","14","14","14","15","15","15","15","15","13"
"Greenwood","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","4","4","4","4","4","3"
"TOTALS","24,143","19,198","19,174","19,179","19,147","19,124","19,129","19,098","19,099","19,230"
"","","24-Oct-16","25-Oct-16","26-Oct-16","27-Oct-16","28-Oct-16","29-Oct-16","30-Oct-16","31-Oct-16","Avg Population"
