"Location","Capacity","19-Mar-11","20-Mar-11","21-Mar-11","22-Mar-11","23-Mar-11","24-Mar-11","25-Mar-11","26-Mar-11","27-Mar-11"
"Mississippi State Penitentiary","3,356","3,224","3,222","3,216","3,221","3,215","3,206","3,227","3,229","3,228"
"Central Mississippi Correctional Facility","3,449","3,212","3,212","3,240","3,251","3,277","3,287","3,256","3,251","3,248"
"South Mississippi Correctional Institution","3,204","3,174","3,173","3,177","3,188","3,184","3,176","3,178","3,175","3,173"
"County Jails","1,608","1,723","1,723","1,723","1,729","1,707","1,714","1,707","1,707","1,707"
"COMMUNITY WORK CENTERS","1,848","1,382","1,380","1,398","1,400","1,393","1,388","1,390","1,388","1,389"
"Alcorn Satellite Facility","92","62","62","64","65","65","65","79","78","78"
"Bolivar Satellite Facility","102","73","73","75","74","73","74","71","71","71"
"Forrest Satellite Facility","96","75","74","74","74","73","73","70","70","70"
"George Satellite Facility","102","79","79","82","82","82","82","81","81","81"
"Harrison Satellite Facility","102","76","75","77","77","77","75","74","74","74"
"Jackson Satellite Facility","102","68","68","70","70","73","71","70","69","70"
"Jefferson Satellite Facility","102","67","67","67","67","67","67","67","66","66"
"Leflore Satellite Facility","102","71","71","75","75","70","70","69","69","69"
"Madison Satellite Facility","102","91","91","92","92","92","92","98","98","98"
"Noxubee Satellite Facility","92","61","61","65","65","67","67","66","66","66"
"Pike Satellite Facility","93","80","80","79","79","76","84","83","83","83"
"Quitman Satellite Facility","93","59","59","58","58","57","56","55","55","55"
"Rankin Satellite Facility","260","190","190","190","190","190","189","189","189","189"
"Simpson Satellite Facility","102","93","93","87","87","90","89","89","90","90"
"Washington Satellite Facility","102","82","82","84","84","84","82","80","80","80"
"Wilkinson Satellite Facility","102","73","73","75","75","73","71","69","69","69"
"Yazoo Satellite Facility","102","82","82","84","86","84","81","80","80","80"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,020","3,020","3,023","3,019","3,026","3,024","3,020","3,018","3,018"
"Bolivar County","294","233","233","233","235","234","231","235","235","235"
"Carroll County","280","224","224","225","225","225","225","225","224","224"
"Chickasaw County","300","243","243","243","243","242","248","247","247","247"
"George County","280","224","224","224","224","224","224","223","223","223"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","220","220","220","217","217","217","217"
"Jefferson County","280","223","223","223","223","223","223","223","222","222"
"Kemper County","355","283","283","284","284","283","284","284","284","284"
"Leake County","280","224","224","224","224","224","224","224","224","224"
"Marion County","280","224","224","224","224","225","224","222","222","222"
"Stone County","280","224","224","224","224","223","221","221","221","221"
"Winston County","280","224","224","224","224","225","225","225","225","225"
"Yazoo County","300","251","251","251","245","254","254","250","250","250"
"PRIVATE PRISONS","5,972","5,214","5,214","5,206","5,210","5,218","5,199","5,196","5,188","5,187"
"Delta","972","900","900","903","901","903","903","902","902","902"
"East Mississippi","1,500","1,354","1,354","1,339","1,335","1,338","1,335","1,335","1,333","1,333"
"Marshall County","1,000","921","921","925","925","925","925","925","924","923"
"Walnut Grove","1,500","1,153","1,153","1,154","1,161","1,165","1,151","1,149","1,148","1,148"
"Wilkinson County","1,000","886","886","885","888","887","885","885","881","881"
"RESTITUTION CENTERS","16","7","7","7","7","7","7","7","7","7"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","30","30","4","3","7","7","25","27","27"
"TOTALS","23,222","20,991","20,986","20,999","21,033","21,039","21,013","21,011","20,995","20,989"
"","","19-Mar-11","20-Mar-11","21-Mar-11","22-Mar-11","23-Mar-11","24-Mar-11","25-Mar-11","26-Mar-11","27-Mar-11"
