"Location","Capacity","21-May-02","22-May-02","23-May-02","24-May-02","25-May-02","26-May-02","27-May-02","28-May-02","29-May-02","30-May-02","31-May-02"
"MS STATE PENITENTIARY","5,551","5,356","5,346","5,362","5,359","5,359","5,359","5,358","5,365","5,369","5,338","5,326"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,953","2,994","2,971","2,978","2,980","2,978","2,977","2,976","2,974","2,953","2,961"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,036","2,032","2,031","2,047","2,046","2,046","2,044","2,040","2,064","2,062","2,049"
"COUNTY JAILS","2,137","1,752","1,738","1,771","1,771","1,755","1,755","1,755","1,759","1,775","1,775","1,751"
"COMMUNITY WORK CENTERS","1,328","1,295","1,290","1,278","1,274","1,273","1,274","1,273","1,270","1,272","1,279","1,227"
"Alcorn Satellite Facility","75","75","74","71","71","71","71","71","69","69","75","67"
"Bolivar Satellite Facility","75","75","74","74","74","74","74","74","73","73","72","70"
"Forrest Satellite Facility","75","75","75","75","74","74","74","73","73","72","72","73"
"George Satellite Facility","75","74","73","72","73","73","73","73","73","73","73","68"
"Harrison Satellite Facility","75","73","73","72","71","71","71","71","71","75","72","68"
"Jackson Satellite Facility","75","74","74","74","74","74","74","74","74","74","74","68"
"Jefferson Satellite Facility","75","73","73","73","72","71","72","72","71","71","75","71"
"Leflore Satellite Facility","75","75","75","75","74","74","74","74","73","73","73","71"
"Madison Satellite Facility","75","74","74","74","74","74","74","74","75","75","75","73"
"Noxubee Satellite Facility","75","72","73","71","72","72","72","72","73","73","73","65"
"Pike Satellite Facility","75","75","75","74","73","73","73","73","72","70","69","75"
"Quitman Satellite Facility","75","62","62","58","58","58","58","58","58","58","57","55"
"Rankin Satellite Facility","128","120","120","120","120","120","120","120","121","121","126","126"
"Simpson Satellite Facility","75","75","74","74","74","74","74","74","74","75","74","72"
"Washington Satellite Facility","75","74","73","73","73","73","73","73","73","73","71","68"
"Wilikinson Satellite Facility","75","74","74","74","74","74","74","74","74","74","73","69"
"Yazoo Satellite Facility","75","75","74","74","73","73","73","73","73","73","75","68"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,029","2,024","2,028","2,033","2,033","2,033","2,033","2,035","2,030","2,027","2,035"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","198","200","200","200","200","200","200","200","198","197","199"
"George County (opened on May 10th)","250","199","199","199","200","200","200","200","200","200","200","200"
"Holmes County","250","200","200","200","200","200","200","200","200","199","199","200"
"Issaquena County","250","197","192","196","200","200","200","200","200","200","199","200"
"Jefferson County","250","211","211","211","210","210","210","210","212","212","211","212"
"Kemper County","250","226","225","225","225","225","225","225","225","224","225","225"
"Leake County","250","200","200","200","200","200","200","200","200","200","200","200"
"Marion County","250","200","199","199","200","200","200","200","200","199","198","198"
"Stone County","250","199","199","199","199","199","199","199","200","200","199","200"
"Winston County","250","199","199","199","199","199","199","199","198","198","199","201"
"PRIVATE PRISONS","4,650","3,562","3,565","3,563","3,565","3,566","3,566","3,565","3,565","3,562","3,558","3,588"
"Delta","1,000","842","845","844","841","842","842","842","843","843","843","842"
"East MS","1,000","500","500","499","498","498","498","498","498","498","500","500"
"Marshall County","1,000","869","869","868","870","870","870","870","869","868","862","868"
"Walnut Grove","750","506","506","507","507","507","507","506","506","506","507","508"
"Wilkinson County","900","845","845","845","849","849","849","849","849","847","846","870"
"RESITITUTION CENTERS","24","17","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","9","8","8","8","8","8","8","8","8","8","8"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,709","19,006","19,011","19,026","19,049","19,034","19,033","19,027","19,032","19,068","19,014","18,959"
