"Location","Capacity","18-Apr-18","19-Apr-18","20-Apr-18","21-Apr-18","22-Apr-18","23-Apr-18","24-Apr-18","25-Apr-18","26-Apr-18","27-Apr-18","28-Apr-18","29-Apr-18","30-Apr-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,444","3,442","3,428","3,427","3,424","3,434","3,429","3,428","3,417","3,390","3,388","3,388","3,386","3,408"
"Central Mississippi Correctional Facility","3,920","3,752","3,734","3,738","3,739","3,738","3,766","3,791","3,723","3,756","3,745","3,745","3,745","3,742","3,703"
"Youthful Offender Unit","58","32","32","32","32","32","32","32","32","32","32","32","32","32","32"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,914","2,952","2,977","2,977","2,976","2,974","2,970","3,031","3,025","3,045","3,045","3,044","3,045","2,842"
"County Jails","1,781","1,258","1,255","1,267","1,267","1,267","1,268","1,222","1,216","1,222","1,213","1,213","1,213","1,215","1245"
"COMMUNITY WORK CENTERS","1,488","825","826","827","837","836","829","821","821","824","842","842","842","844","813"
"Alcorn Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","0","63","63","52","62","62","63","63","63","63","62","62","62","64","60"
"Delta TVC","300","96","96","108","108","108","102","93","93","91","110","110","110","107","86"
"Forrest Satellite Facility","96","65","65","64","64","64","63","63","63","64","64","64","64","64","61"
"George Satellite Facility","102","69","69","69","69","69","68","68","68","68","68","68","68","67","68"
"Harrison Satellite Facility","102","57","57","57","57","57","57","57","57","57","57","57","57","57","56"
"Jackson Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC (closed)","82","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Leflore TVC Support (closed)","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Madison Satellite Facility","62","61","61","61","61","61","60","58","58","59","58","58","58","59","60"
"Noxubee Satellite Facility","58","43","43","46","46","45","45","45","45","47","46","46","46","46","47"
"Pike Satellite Facility","93","79","79","79","79","79","76","75","75","75","78","78","78","78","78"
"Quitman Satellite Facility","93","51","51","50","50","50","50","58","58","58","54","54","54","54","49"
"Rankin Satellite Facility","178","145","145","144","144","144","145","145","145","145","145","145","145","148","143"
"Rankin RID","28","24","24","24","24","24","23","23","23","23","25","25","25","25","25"
"Flowood TVC","50","23","22","22","22","22","26","22","22","22","23","23","23","23","23"
"Simpson TVC (closed)","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support (closed)","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","60","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Wilkinson Satellite Facility","62","49","51","51","51","51","51","51","51","52","52","52","52","52","50"
"Yazoo Satellite Facility (closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,817","3,810","3,781","3,780","3,780","3,773","3,770","3,811","3,815","3,817","3,814","3,813","3,806","3,970"
"Alcorn County","300","269","269","261","261","261","261","260","260","260","260","260","260","259","274"
"Bolivar County","369","294","294","294","294","294","294","294","294","294","294","294","294","294","290"
"Carroll County","280","250","250","248","247","247","247","247","247","257","255","255","255","254","255"
"Chickasaw County","310","287","287","287","287","287","286","286","286","287","287","286","286","286","291"
"George County","342","257","257","250","250","250","247","246","246","245","242","241","241","239","273"
"Holmes County","280","254","250","250","250","250","250","251","251","251","251","251","251","251","260"
"Issaquena County","274","244","249","249","249","249","249","249","249","249","249","249","249","249","253"
