"Location","Capacity","10-Mar-12","11-Mar-12","12-Mar-12","13-Mar-12","14-Mar-12","15-Mar-12","16-Mar-12","17-Mar-12","18-Mar-12"
"Mississippi State Penitentiary","4,648","3,239","3,237","3,232","3,227","3,249","3,248","3,255","3,254","3,254"
"Central Mississippi Correctional Facility","3,665","3,100","3,097","3,098","3,097","3,081","3,090","3,081","3,080","3,080"
"South Mississippi Correctional Institution","3,282","3,159","3,159","3,167","3,167","3,169","3,174","3,177","3,177","3,181"
"County Jails","1,667","2,221","2,221","2,234","2,205","2,176","2,204","2,216","2,216","2,216"
"COMMUNITY WORK CENTERS","1,848","1,443","1,442","1,447","1,432","1,454","1,464","1,430","1,421","1,418"
"Alcorn Satellite Facility","92","90","90","90","89","89","90","87","87","87"
"Bolivar Satellite Facility","102","68","68","68","66","66","72","72","72","72"
"Forrest Satellite Facility","96","74","74","75","74","78","78","72","71","70"
"George Satellite Facility","102","77","77","76","76","81","81","79","79","79"
"Harrison Satellite Facility","102","73","73","74","81","81","79","76","72","71"
"Jackson Satellite Facility","102","83","83","81","80","80","80","75","75","75"
"Jefferson Satellite Facility","102","71","71","71","69","69","69","64","65","65"
"Leflore Satellite Facility","102","72","72","74","74","79","80","79","79","79"
"Madison Satellite Facility","102","91","91","90","89","89","92","90","88","88"
"Noxubee Satellite Facility","92","79","79","78","76","79","79","73","73","73"
"Pike Satellite Facility","93","92","91","91","90","90","90","90","91","91"
"Quitman Satellite Facility","93","91","91","93","92","92","92","88","87","86"
"Rankin Satellite Facility","260","185","185","188","182","183","184","179","179","179"
"Simpson Satellite Facility","102","67","67","69","68","72","71","80","80","80"
"Washington Satellite Facility","102","78","78","74","73","73","75","72","72","72"
"Wilkinson Satellite Facility","102","68","68","69","69","69","68","68","66","66"
"Yazoo Satellite Facility","102","84","84","86","84","84","84","86","85","85"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,260","4,259","4,258","4,264","4,259","4,281","4,281","4,278","4,273"
"Alcorn County","300","299","299","298","299","298","300","298","297","297"
"Bolivar County","294","293","293","293","294","294","294","294","294","294"
"Carroll County","280","277","277","280","280","280","280","280","280","279"
"Chickasaw County","300","299","299","299","300","300","300","300","300","299"
"George County","280","280","280","280","280","280","279","279","279","279"
"Holmes County","280","280","280","280","280","280","278","280","280","279"
"Issaquena County","274","274","274","274","272","273","273","274","274","274"
"Jefferson County","280","277","277","277","280","279","279","280","280","279"
"Kemper County","355","339","338","338","339","340","340","340","340","339"
"Leake County","280","279","279","279","280","280","280","280","280","280"
"Marion County","280","280","280","279","279","277","280","279","279","279"
"Stone County","280","279","279","278","279","280","280","280","280","280"
"Washington County","300","223","223","222","222","221","239","238","238","238"
"Winston County","280","280","280","280","280","279","280","279","278","278"
"Yazoo County","300","301","301","301","300","298","299","300","299","299"
"PRIVATE PRISONS","5,972","4,135","4,134","4,137","4,142","4,147","4,139","4,139","4,138","4,134"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,315","1,315","1,313","1,313","1,311","1,311","1,311","1,311","1,308"
"Marshall County","1,000","1,000","1,000","1,000","1,000","999","999","1,000","1,000","999"
"Walnut Grove","1,500","937","937","943","949","951","944","943","942","942"
"Wilkinson County","1,000","883","882","881","880","886","885","885","885","885"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","10","10","10"
"Greenwood","6","5","5","5","4","4","4","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","20","23","7","8","9","6","57","59","58"
"TOTALS","25,467","21,588","21,583","21,591","21,553","21,555","21,617","21,646","21,633","21,624"
"","","10-Mar-12","11-Mar-12","12-Mar-12","13-Mar-12","14-Mar-12","15-Mar-12","16-Mar-12","17-Mar-12","18-Mar-12"
