"Location","Capacity","1-Sep-07","2-Sep-07","3-Sep-07","4-Sep-07","5-Sep-07","6-Sep-07","7-Sep-07","8-Sep-07","9-Sep-07"
"Mississippi State Penitentiary","4,527","4,457","4,455","4,454","4,458","4,451","4,444","4,445","4,437","4,435"
"Central Mississippi Correctional Facility","3,425","3,379","3,378","3,379","3,396","3,407","3,412","3,405","3,400","3,398"
"South Mississippi Correctional Institution","2,884","2,756","2,755","2,755","2,756","2,756","2,766","2,772","2,768","2,768"
"County Jails","1,606","1,800","1,800","1,801","1,798","1,811","1,824","1,829","1,829","1,829"
"COMMUNITY WORK CENTERS","1,816","1,763","1,762","1,759","1,762","1,772","1,774","1,729","1,728","1,728"
"Alcorn Satellite Facility","92","92","92","92","92","92","91","88","88","88"
"Bolivar Satellite Facility","102","97","96","96","95","100","99","98","98","98"
"Forrest Satellite Facility","96","89","89","95","95","94","93","81","81","81"
"George Satellite Facility","102","102","102","102","101","100","101","101","101","100"
"Harrison Satellite Facility","102","101","101","101","101","101","100","98","98","98"
"Jackson Satellite Facility","102","99","99","99","99","101","101","98","99","99"
"Jefferson Satellite Facility","102","97","97","96","97","102","102","102","102","102"
"Leflore Satellite Facility","102","100","100","100","100","101","101","100","100","100"
"Madison Satellite Facility","102","100","100","100","99","102","102","101","101","101"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","87","86","87"
"Pike Satellite Facility","93","91","91","91","90","89","91","91","90","90"
"Quitman Satellite Facility","93","91","91","91","92","91","92","86","86","86"
"Rankin Satellite Facility","228","215","215","213","212","212","217","212","212","212"
"Simpson Satellite Facility","102","101","101","95","95","95","95","96","96","96"
"Washington Satellite Facility","102","100","100","100","100","99","98","94","94","94"
"Wilkinson Satellite Facility","102","95","95","95","101","100","97","100","100","100"
"Yazoo Satellite Facility","102","101","101","101","101","101","102","96","96","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,075","3,074","3,070","3,071","3,071","3,070","3,078","3,077","3,075"
"Bolivar County","294","292","292","292","293","289","288","294","294","293"
"Carroll County","280","280","280","280","277","277","280","280","280","280"
"George County","280","279","279","278","280","280","279","279","279","279"
"Holmes County","280","280","280","280","280","280","280","279","279","279"
"Issaquena County","274","274","274","274","270","273","273","273","273","273"
"Jefferson County","280","273","273","273","276","274","274","274","274","273"
"Kemper County","280","279","279","279","279","279","278","279","279","279"
"Leake County","280","280","280","279","280","280","279","280","279","279"
"Marion County","280","279","279","277","278","280","280","280","280","280"
"Stone County","280","280","280","280","280","280","280","280","280","280"
"Winston County","280","279","278","278","278","279","279","280","280","280"
"PRIVATE PRISONS","4,972","4,784","4,784","4,781","4,778","4,767","4,765","4,768","4,762","4,760"
"Delta","972","972","972","972","972","968","969","969","968","967"
"East Mississippi","1,000","890","890","887","887","887","886","885","884","884"
"Marshall County","1,000","994","994","994","995","993","992","996","995","995"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","937","937","937","933","928","928","926","923","923"
"Wilkinson County","1,000","991","991","991","991","991","990","992","992","991"
"RESTITUTION CENTERS","16","13","13","13","13","13","14","14","14","14"
"Greenwood","6","4","4","4","4","4","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","7","8","9","10","10","54","55","54"
"TOTALS","22,340","22,038","22,033","22,025","22,046","22,063","22,084","22,099","22,075","22,066"
"","","1-Sep-07","2-Sep-07","3-Sep-07","4-Sep-07","5-Sep-07","6-Sep-07","7-Sep-07","8-Sep-07","9-Sep-07"
