"Location","Capacity","10-Jul-12","11-Jul-12","12-Jul-12","13-Jul-12","14-Jul-12","15-Jul-12","16-Jul-12","17-Jul-12","18-Jul-12"
"Mississippi State Penitentiary","4,648","3,301","3,294","3,307","3,309","3,304","3,303","3,304","3,298","3,292"
"Central Mississippi Correctional Facility","3,665","3,251","3,260","3,227","3,207","3,206","3,203","3,171","3,208","3,226"
"South Mississippi Correctional Institution","3,282","3,187","3,194","3,198","3,193","3,195","3,194","3,204","3,208","3,206"
"County Jails","1,753","2,000","1,981","1,987","1,978","1,978","1,978","2,047","2,016","1,993"
"COMMUNITY WORK CENTERS","1,848","1,579","1,578","1,582","1,542","1,542","1,541","1,591","1,590","1,593"
"Alcorn Satellite Facility","92","85","85","84","82","82","82","84","84","84"
"Bolivar Satellite Facility","102","72","72","72","73","73","73","73","73","73"
"Forrest Satellite Facility","96","84","84","84","77","77","77","85","82","82"
"George Satellite Facility","102","85","83","82","80","80","80","82","82","82"
"Harrison Satellite Facility","102","76","75","75","76","76","76","77","80","80"
"Jackson Satellite Facility","102","76","75","75","68","68","68","75","74","74"
"Jefferson Satellite Facility","102","75","71","77","85","85","85","86","86","85"
"Leflore Satellite Facility","102","83","83","83","81","81","80","82","81","80"
"Madison Satellite Facility","102","94","98","101","100","100","100","100","101","100"
"Noxubee Satellite Facility","92","80","80","80","72","72","72","80","80","80"
"Pike Satellite Facility","93","91","91","91","90","90","90","89","89","90"
"Quitman Satellite Facility","93","91","91","92","91","91","91","93","93","93"
"Rankin Satellite Facility","260","239","240","238","233","233","233","238","240","239"
"Simpson Satellite Facility","102","102","102","102","96","96","96","102","101","102"
"Washington Satellite Facility","102","83","83","83","82","82","82","83","83","83"
"Wilkinson Satellite Facility","102","77","75","75","71","71","71","78","78","79"
"Yazoo Satellite Facility","102","86","90","88","85","85","85","84","83","87"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,352","4,351","4,350","4,347","4,341","4,340","4,345","4,348","4,352"
"Alcorn County","300","299","298","296","296","296","296","296","296","299"
"Bolivar County","369","368","368","368","369","369","369","369","369","368"
"Carroll County","280","279","278","277","276","276","276","276","276","276"
"Chickasaw County","300","300","300","299","299","299","299","299","299","300"
"George County","280","280","279","279","280","280","279","280","280","280"
"Holmes County","280","280","280","280","279","279","279","277","278","279"
"Issaquena County","274","271","270","274","275","275","275","274","274","274"
"Jefferson County","280","278","280","280","280","280","280","279","279","278"
"Kemper County","355","340","339","340","339","338","338","340","341","340"
"Leake County","280","276","279","279","279","279","279","280","280","281"
"Marion County","280","280","280","280","280","280","280","280","280","281"
"Stone County","280","281","281","280","279","278","278","278","279","279"
"Washington County","300","239","239","240","239","238","238","238","239","237"
"Winston County","280","280","280","279","281","280","280","280","279","281"
"Yazoo County","300","301","300","299","296","294","294","299","299","299"
"PRIVATE PRISONS","5,972","4,325","4,326","4,331","4,328","4,325","4,323","4,324","4,321","4,322"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,365","1,366","1,366","1,366","1,365","1,365","1,364","1,361","1,361"
"Marshall County","1,000","1,000","1,000","1,000","1,000","999","999","998","998","998"
"Walnut Grove","1,500","1,057","1,057","1,061","1,058","1,057","1,055","1,058","1,058","1,058"
"Wilkinson County","1,000","903","903","904","904","904","904","904","904","905"
"RESTITUTION CENTERS","16","13","12","12","11","11","11","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","3","3","3","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","8","9","7","65","77","80","8","6","6"
"TOTALS","25,628","22,016","22,005","22,001","21,980","21,979","21,973","22,006","22,007","22,002"
"","","10-Jul-12","11-Jul-12","12-Jul-12","13-Jul-12","14-Jul-12","15-Jul-12","16-Jul-12","17-Jul-12","18-Jul-12"
