"Location","Capacity","28-Aug-06","29-Aug-06","30-Aug-06","31-Aug-06"
"Mississippi State Penitentiary","4,529","4,471","4,478","4,506","4,492"
"Central Mississippi Correctional Facility","3,293","3,388","3,395","3,345","3,304"
"South Mississippi Correctional Institution","2,155","2,030","2,047","2,050","2,073"
"County Jails","1,824","1,770","1,762","1,781","1,816"
"COMMUNITY WORK CENTERS","1,816","1,756","1,749","1,755","1,755"
"Alcorn Satellite Facility","92","92","92","92","91"
"Bolivar Satellite Facility","102","98","98","97","98"
"Forrest Satellite Facility","96","95","94","94","94"
"George Satellite Facility","102","100","99","102","101"
"Harrison Satellite Facility","102","101","102","102","102"
"Jackson Satellite Facility","102","98","97","101","101"
"Jefferson Satellite Facility","102","97","97","96","101"
"Leflore Satellite Facility","102","99","98","98","99"
"Madison Satellite Facility","102","101","101","100","100"
"Noxubee Satellite Facility","92","91","90","90","90"
"Pike Satellite Facility","93","85","85","85","84"
"Quitman Satellite Facility","93","79","78","78","79"
"Rankin Satellite Facility","228","223","223","222","220"
"Simpson Satellite Facility","102","97","97","102","102"
"Washington Satellite Facility","102","98","97","97","97"
"Wilkinson Satellite Facility","102","101","101","100","98"
"Yazoo Satellite Facility","102","101","100","99","98"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,074","3,073","3,069","3,076"
"Bolivar County","294","292","290","292","292"
"Carroll County","280","280","279","279","279"
"George County","280","280","280","279","278"
"Holmes County","280","275","280","278","280"
"Issaquena County","274","275","274","270","273"
"Jefferson County","274","274","274","273","275"
"Kemper County","280","280","279","279","280"
"Leake County","280","280","278","280","279"
"Marion County","280","280","280","280","280"
"Stone County","280","280","280","280","280"
"Winston County","280","278","279","279","280"
"PRIVATE PRISONS","5,100","4,862","4,866","4,877","4,882"
"Delta","972","968","965","969","967"
"East Mississippi","1,000","869","869","867","868"
"Marshall County","1,000","992","995","994","994"
"Tallahatchie County","128","128","128","127","127"
"Walnut Grove","1,000","954","954","954","954"
"Wilkinson County","1,000","951","955","966","972"
"RESTITUTION CENTERS","16","11","11","11","11"
"Greenwood","6","5","5","5","5"
"Hinds","6","3","3","3","3"
"Pascagoula","4","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","11","8","7","5"
"TOTALS","21,821","21,378","21,394","21,406","21,419"
