"Location","Capacity","1-Jan-11","2-Jan-11","3-Jan-11","4-Jan-11","5-Jan-11","6-Jan-11","7-Jan-11","8-Jan-11","9-Jan-11"
"Mississippi State Penitentiary","4,435","3,265","3,264","3,262","3,260","3,268","3,269","3,274","3,271","3,269"
"Central Mississippi Correctional Facility","3,449","3,249","3,248","3,246","3,245","3,246","3,231","3,214","3,213","3,210"
"South Mississippi Correctional Institution","3,204","3,178","3,177","3,176","3,186","3,177","3,170","3,172","3,169","3,168"
"County Jails","1,543","1,612","1,612","1,612","1,601","1,570","1,584","1,556","1,556","1,556"
"COMMUNITY WORK CENTERS","1,848","1,520","1,519","1,517","1,520","1,509","1,503","1,445","1,444","1,446"
"Alcorn Satellite Facility","92","76","76","76","76","74","72","64","64","64"
"Bolivar Satellite Facility","102","81","81","81","80","80","80","77","77","77"
"Forrest Satellite Facility","96","73","73","73","73","72","72","65","65","65"
"George Satellite Facility","102","82","81","81","81","81","81","79","79","80"
"Harrison Satellite Facility","102","75","75","75","75","75","74","67","67","67"
"Jackson Satellite Facility","102","81","81","81","81","79","79","79","79","79"
"Jefferson Satellite Facility","102","90","90","90","89","89","89","83","83","84"
"Leflore Satellite Facility","102","78","78","77","77","77","76","69","69","69"
"Madison Satellite Facility","102","99","99","98","98","98","98","98","98","98"
"Noxubee Satellite Facility","92","90","90","90","89","89","88","83","82","82"
"Pike Satellite Facility","93","79","79","79","79","79","79","77","77","77"
"Quitman Satellite Facility","93","74","74","74","84","84","84","82","82","82"
"Rankin Satellite Facility","260","198","198","198","197","192","192","192","192","192"
"Simpson Satellite Facility","102","94","94","94","92","92","92","85","85","85"
"Washington Satellite Facility","102","87","87","87","87","86","86","85","85","85"
"Wilkinson Satellite Facility","102","84","84","84","83","83","82","82","82","82"
"Yazoo Satellite Facility","102","79","79","79","79","79","79","78","78","78"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,009","3,007","3,007","3,005","3,004","3,009","3,014","3,011","3,008"
"Bolivar County","294","235","235","235","235","235","235","235","235","235"
"Carroll County","280","224","223","223","223","224","224","224","224","224"
"Chickasaw County","300","237","237","237","237","240","240","240","240","240"
"George County","280","223","223","223","223","224","223","223","223","223"
"Holmes County","280","224","224","224","224","223","223","226","225","224"
"Issaquena County","274","219","219","219","219","219","219","219","219","219"
"Jefferson County","280","224","224","224","224","223","226","226","226","225"
"Kemper County","355","285","284","284","283","282","282","284","284","284"
"Leake County","280","227","227","227","228","227","226","225","225","225"
"Marion County","280","224","224","224","224","224","223","223","222","222"
"Stone County","280","224","224","224","222","222","224","225","224","224"
"Winston County","280","224","224","224","223","223","222","222","222","221"
"Yazoo County","300","239","239","239","240","238","242","242","242","242"
"PRIVATE PRISONS","5,972","5,238","5,237","5,237","5,239","5,237","5,246","5,222","5,216","5,216"
"Delta","972","901","901","901","900","901","901","907","907","907"
"East Mississippi","1,500","1,356","1,356","1,356","1,357","1,355","1,364","1,361","1,360","1,360"
"Marshall County","1,000","898","897","897","897","896","895","900","900","900"
"Walnut Grove","1,500","1,198","1,198","1,198","1,200","1,200","1,200","1,168","1,165","1,165"
"Wilkinson County","1,000","885","885","885","885","885","886","886","884","884"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","8"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","6","5","8","8","6","7","7","7","7"
"TOTALS","24,236","21,090","21,082","21,078","21,077","21,030","21,032","20,917","20,900","20,893"
