"Location","Capacity","1-Jan-10","2-Jan-10","3-Jan-10","4-Jan-10","5-Jan-10","6-Jan-10","7-Jan-10","8-Jan-10","9-Jan-10"
"Mississippi State Penitentiary","4,435","3,924","3,924","3,922","3,935","3,922","3,925","3,931","3,930","3,929"
"Central Mississippi Correctional Facility","3,665","3,226","3,225","3,223","3,216","3,225","3,235","3,241","3,240","3,240"
"South Mississippi Correctional Institution 3,204","","2,970","2,970","2,969","2,966","2,993","3,024","3,086","3,088","3,086"
"County Jails","1,466","1,468","1,468","1,468","1,473","1,490","1,510","1,481","1,523","1,523"
"COMMUNITY WORK CENTERS","1,848","1,792","1,790","1,790","1,779","1,774","1,761","1,759","1,666","1,661"
"Alcorn Satellite Facility","92","87","87","87","86","86","86","86","76","76"
"Bolivar Satellite Facility","102","98","98","98","98","98","98","98","92","92"
"Forrest Satellite Facility","96","93","93","93","93","93","93","93","84","84"
"George Satellite Facility","102","98","98","98","97","97","95","94","85","84"
"Harrison Satellite Facility","102","101","100","100","100","100","100","100","96","96"
"Jackson Satellite Facility","102","99","99","99","99","99","99","100","94","94"
"Jefferson Satellite Facility","102","102","102","102","101","101","101","101","96","96"
"Leflore Satellite Facility","102","98","98","98","98","98","98","98","91","91"
"Madison Satellite Facility","102","97","97","97","97","96","95","95","89","89"
"Noxubee Satellite Facility","92","92","92","92","92","92","90","90","81","80"
"Pike Satellite Facility","93","93","93","93","88","88","88","88","88","88"
"Quitman Satellite Facility","93","92","92","92","90","90","89","91","86","86"
"Rankin Satellite Facility","260","249","249","249","248","245","244","242","239","239"
"Simpson Satellite Facility","102","102","102","102","102","101","98","98","90","89"
"Washington Satellite Facility","102","97","97","97","97","97","95","93","93","93"
"Wilkinson Satellite Facility","102","95","94","94","94","94","94","94","90","90"
"Yazoo Satellite Facility","102","99","99","99","99","99","98","98","96","94"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,803","2,803","2,802","2,799","2,792","2,773","2,734","2,731","2,731"
"Bolivar County","294","263","263","263","263","263","263","255","255","255"
"Carroll County","280","249","249","249","248","248","247","241","240","240"
"George County","280","246","246","246","246","245","245","242","240","240"
"Holmes County","280","244","244","244","243","243","242","241","241","241"
"Issaquena County","274","243","243","243","243","243","243","237","237","237"
"Jefferson County","280","250","250","250","250","245","244","242","242","242"
"Kemper County","355","316","316","316","316","316","316","308","308","308"
"Leake County","280","247","247","246","246","246","245","241","241","241"
"Marion County","280","246","246","246","246","246","242","242","242","242"
"Stone County","280","250","250","250","250","249","241","241","241","241"
"Winston County","280","249","249","249","248","248","245","244","244","244"
"PRIVATE PRISONS","5,972","5,279","5,277","5,276","5,275","5,275","5,269","5,253","5,242","5,241"
"Delta","972","898","898","898","899","900","900","900","899","899"
"East Mississippi","1,500","1,312","1,311","1,311","1,310","1,309","1,309","1,304","1,303","1,303"
"Marshall County","1,000","914","914","914","914","913","912","900","899","899"
"Walnut Grove","1,500","1,206","1,206","1,205","1,202","1,202","1,196","1,197","1,190","1,189"
"Wilkinson County","1,000","949","948","948","950","951","952","952","951","951"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","7","7"
"Greenwood","6","6","6","6","6","6","6","6","5","5"
"Hinds","6","3","3","3","3","3","3","3","2","2"
"Pascagoula","4","1","1","1","1","1","1","1","0","0"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","12","12","12","13","16","16","15","105","104"
"TOTALS","23,775","21,490","21,485","21,478","21,472","21,503","21,529","21,516","21,538","21,528"
"","","1-Jan-10","2-Jan-10","3-Jan-10","4-Jan-10","5-Jan-10","6-Jan-10","7-Jan-10","8-Jan-10","9-Jan-10"
