"Location","Capacity","28-May-07","29-May-07","30-May-07","31-May-07","","Avg Population"
"Mississippi State Penitentiary","4,534","4,521","4,520","4,512","4,527","","4,507"
"Central Mississippi Correctional Facility","3,425","3,355","3,375","3,383","3,365","","3,412"
"South Mississippi Correctional Institution","2,684","2,575","2,570","2,582","2,602","","2,525"
"County Jails","1,781","1,829","1,807","1,793","1,788","","1,801"
"COMMUNITY WORK CENTERS","1,816","1,730","1,735","1,731","1,729","","1,741"
"Alcorn Satellite Facility","92","91","90","88","88","","90"
"Bolivar Satellite Facility","102","95","94","94","94","","97"
"Forrest Satellite Facility","96","94","94","96","96","","93"
"George Satellite Facility","102","99","102","102","102","","99"
"Harrison Satellite Facility","102","99","99","101","100","","99"
"Jackson Satellite Facility","102","96","96","96","96","","97"
"Jefferson Satellite Facility","102","93","93","92","97","","97"
"Leflore Satellite Facility","102","99","99","97","96","","100"
"Madison Satellite Facility","102","101","99","99","99","","99"
"Noxubee Satellite Facility","92","88","88","88","87","","89"
"Pike Satellite Facility","93","85","85","84","82","","85"
"Quitman Satellite Facility","93","89","88","88","87","","85"
"Rankin Satellite Facility","228","206","207","207","207","","214"
"Simpson Satellite Facility","102","101","100","101","101","","101"
"Washington Satellite Facility","102","95","102","100","100","","99"
"Wilkinson Satellite Facility","102","99","99","99","99","","98"
"Yazoo Satellite Facility","102","100","100","99","98","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,077","3,075","3,074","3,074","","3,075"
"Bolivar County","294","293","293","294","292","","292"
"Carroll County","280","280","280","280","280","","279"
"George County","280","280","280","278","278","","279"
"Holmes County","280","280","280","280","280","","279"
"Issaquena County","274","273","272","273","273","","273"
"Jefferson County","274","273","273","273","273","","273"
"Kemper County","280","280","280","279","280","","280"
"Leake County","280","280","279","278","280","","280"
"Marion County","280","280","280","280","280","","280"
"Stone County","280","279","279","279","278","","279"
"Winston County","280","279","279","280","280","","280"
"PRIVATE PRISONS","5,100","4,864","4,869","4,869","4,870","","4,876"
"Delta","972","968","972","972","971","","969"
"East Mississippi","1,000","875","875","874","872","","882"
"Marshall County","1,000","994","995","995","995","","994"
"Tallahatchie County","128","128","128","128","127","","128"
"Walnut Grove","1,000","935","937","939","939","","936"
"Wilkinson County","1,000","964","962","961","966","","967"
"RESTITUTION CENTERS","16","10","10","12","12","","11"
"Greenwood","6","2","2","4","4","","3"
"Hinds","6","5","5","5","5","","5"
"Pascagoula","4","3","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","","9","9","7","7","","21"
"TOTALS","22,444","21,975","21,975","21,968","21,979","","21,974"
"","","28-May-07","29-May-07","30-May-07","31-May-07","",""
