"Location","Capacity","","10-Jul-08 11-Jul-08 12-Jul-08 13-Jul-08 14-Jul-08 15-Jul-08 16-Jul-08 17-Jul-08 18-Jul-08","","","","","","",""
"Mississippi State Penitentiary","4,527","4,201","4,209","4,206","4,200","4,203","4,205","4,201","4,198","4,194"
"Central Mississippi Correctional Facility","3,665","3,720","3,713","3,710","3,709","3,707","3,715","3,748","3,773","3,792"
"South Mississippi Correctional Institution","3,204","3,147","3,120","3,118","3,116","3,114","3,121","3,118","3,124","3,112"
"County Jails","1,711","2,061","2,038","2,038","2,038","2,033","2,033","2,012","1,995","1,996"
"COMMUNITY WORK CENTERS","1,848","1,810","1,737","1,737","1,735","1,797","1,798","1,799","1,796","1,756"
"Alcorn Satellite Facility","92","91","82","82","81","87","87","88","89","85"
"Bolivar Satellite Facility","102","102","98","98","98","99","101","100","101","97"
"Forrest Satellite Facility","96","93","89","89","89","95","94","94","94","90"
"George Satellite Facility","102","102","100","100","100","102","102","102","102","102"
"Harrison Satellite Facility","102","100","98","98","98","100","102","101","100","100"
"Jackson Satellite Facility","102","102","98","98","98","101","102","102","101","98"
"Jefferson Satellite Facility","102","95","92","92","92","95","95","101","100","97"
"Leflore Satellite Facility","102","102","94","94","94","96","96","96","95","96"
"Madison Satellite Facility","102","101","100","100","100","101","101","99","99","98"
"Noxubee Satellite Facility","92","92","87","87","87","92","92","90","92","91"
"Pike Satellite Facility","93","92","88","88","88","91","90","90","89","89"
"Quitman Satellite Facility","93","93","85","85","85","93","92","91","91","89"
"Rankin Satellite Facility","260","250","246","246","246","249","248","248","248","245"
"Simpson Satellite Facility","102","99","93","93","93","97","98","101","100","97"
"Washington Satellite Facility","102","96","95","95","95","99","99","99","98","92"
"Wilkinson Satellite Facility","102","100","95","95","94","99","99","98","98","94"
"Yazoo Satellite Facility","102","100","97","97","97","101","100","99","99","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,070","3,081","3,080","3,078","3,078","3,079","3,069","3,077","3,079"
"Bolivar County","294","294","294","294","294","294","293","292","291","293"
"Carroll County","280","280","278","278","278","278","280","280","280","280"
"George County","280","277","277","276","274","278","278","277","279","279"
"Holmes County","280","280","280","280","280","280","279","276","280","280"
"Issaquena County","274","268","272","272","272","270","272","271","272","272"
"Jefferson County","280","278","282","282","282","282","281","281","280","280"
"Kemper County","280","278","280","280","280","280","280","279","280","280"
"Leake County","280","277","280","280","280","279","280","277","277","278"
"Marion County","280","279","279","279","279","278","277","277","279","278"
"Stone County","280","279","279","279","279","279","279","279","280","280"
"Winston County","280","280","280","280","280","280","280","280","279","279"
"PRIVATE PRISONS","4,972","4,801","4,803","4,799","4,795","4,799","4,802","4,800","4,802","4,797"
"Delta","972","970","970","968","967","970","969","969","970","970"
"East Mississippi","1,000","892","892","891","890","891","892","892","888","885"
"Marshall County","1,000","1,001","1,000","1,000","1,000","999","998","1,000","1,000","1,000"
"Walnut Grove","1,000","949","952","951","950","949","953","950","953","951"
"Wilkinson County","1,000","989","989","989","988","990","990","989","991","991"
"RESTITUTION CENTERS","16","13","12","12","12","13","13","12","12","13"
"Greenwood","6","5","4","4","4","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","3","3","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","3","78","78","78","4","2","3","5","47"
"TOTALS","23,037","22,832","22,797","22,784","22,767","22,754","22,774","22,768","22,788","22,792"
"","","","10-Jul-08 11-Jul-08 12-Jul-08 13-Jul-08 14-Jul-08 15-Jul-08 16-Jul-08 17-Jul-08 18-Jul-08","","","","","","",""
