"Location","Capacity","1-Jan-12","2-Jan-12","3-Jan-12","4-Jan-12","5-Jan-12","6-Jan-12","7-Jan-12","8-Jan-12","9-Jan-12"
"Mississippi State Penitentiary","4,648","3,058","3,057","3,049","3,054","3,126","3,171","3,169","3,168","3,190"
"Central Mississippi Correctional Facility","3,665","3,045","3,046","3,028","3,044","3,022","3,014","3,013","3,015","3,032"
"South Mississippi Correctional Institution","3,256","3,148","3,148","3,133","3,148","3,149","3,147","3,148","3,147","3,150"
"County Jails","1,668","2,012","2,012","1,990","1,973","1,967","1,933","1,933","1,933","1,936"
"COMMUNITY WORK CENTERS","1,848","1,448","1,448","1,417","1,417","1,429","1,438","1,432","1,430","1,423"
"Alcorn Satellite Facility","92","80","80","79","79","78","78","78","78","78"
"Bolivar Satellite Facility","102","83","83","83","83","82","82","82","82","81"
"Forrest Satellite Facility","96","76","76","75","75","75","76","76","76","76"
"George Satellite Facility","102","84","84","84","84","81","83","82","82","81"
"Harrison Satellite Facility","102","86","86","84","84","86","86","86","86","86"
"Jackson Satellite Facility","102","84","84","86","86","86","86","86","86","85"
"Jefferson Satellite Facility","102","71","71","70","71","70","75","75","75","73"
"Leflore Satellite Facility","102","91","91","90","90","90","89","88","88","88"
"Madison Satellite Facility","102","92","92","89","89","89","89","89","88","88"
"Noxubee Satellite Facility","92","78","78","75","75","75","77","77","77","77"
"Pike Satellite Facility","93","50","50","49","49","49","47","47","47","48"
"Quitman Satellite Facility","93","58","58","58","58","58","57","57","57","56"
"Rankin Satellite Facility","260","188","188","183","183","187","186","185","185","183"
"Simpson Satellite Facility","102","90","90","85","85","87","87","86","86","87"
"Washington Satellite Facility","102","85","85","83","83","83","85","84","84","84"
"Wilkinson Satellite Facility","102","65","65","61","61","69","68","68","68","68"
"Yazoo Satellite Facility","102","87","87","83","82","84","87","86","85","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,994","3,992","4,082","4,139","4,161","4,205","4,201","4,200","4,193"
"Alcorn County","300","299","299","299","299","298","297","296","296","296"
"Bolivar County","294","235","235","284","284","284","283","283","283","283"
"Carroll County","280","225","224","224","280","281","279","279","279","279"
"Chickasaw County","300","249","249","299","299","299","298","297","296","289"
"George County","280","279","279","279","279","280","279","278","278","279"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","275","275","274","274","274","274","274","274","274"
"Jefferson County","280","279","279","279","279","280","278","278","278","278"
"Kemper County","355","281","281","281","281","286","338","338","338","339"
"Leake County","280","280","279","277","277","278","279","279","279","280"
"Marion County","280","279","279","278","280","280","280","280","280","279"
"Stone County","280","280","280","279","280","280","280","280","280","280"
"Washington County","300","231","231","228","228","237","237","237","237","236"
"Winston County","280","223","223","223","221","224","224","224","224","224"
"Yazoo County","300","299","299","298","298","300","299","298","298","297"
"PRIVATE PRISONS","5,972","4,668","4,666","4,615","4,548","4,479","4,408","4,407","4,405","4,387"
"Delta","972","446","446","396","338","275","197","197","197","171"
"East Mississippi","1,500","1,320","1,319","1,318","1,323","1,323","1,322","1,322","1,321","1,323"
"Marshall County","1,000","999","999","998","1,000","997","999","998","997","997"
"Walnut Grove","1,500","1,011","1,011","1,012","996","994","1,001","1,001","1,001","1,004"
"Wilkinson County","1,000","892","891","891","891","890","889","889","889","892"
"RESTITUTION CENTERS","16","9","9","8","8","8","8","8","8","8"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","4","4","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","5","5","5","5","5","5","5","0","0"
"E-CODE","0","10","9","8","7","5","6","6","4","6"
"TOTALS","25,442","21,397","21,392","21,335","21,343","21,351","21,335","21,322","21,310","21,325"
