"Location","Capacity","19-Jun-09","20-Jun-09","21-Jun-09","22-Jun-09","23-Jun-09","24-Jun-09","25-Jun-09","26-Jun-09","27-Jun-09"
"Mississippi State Penitentiary","4,627","4,108","4,107","4,106","4,110","4,095","4,092","4,072","4,074","4,072"
"Central Mississippi Correctional Facility","3,665","3,287","3,284","3,280","3,271","3,244","3,268","3,253","3,276","3,277"
"South Mississippi Correctional Institution","3,204","3,038","3,039","3,036","3,049","3,038","3,037","3,044","3,003","3,001"
"County Jails","1,558","1,519","1,519","1,519","1,503","1,530","1,520","1,539","1,499","1,499"
"COMMUNITY WORK CENTERS","1,848","1,580","1,578","1,577","1,618","1,659","1,654","1,670","1,674","1,672"
"Alcorn Satellite Facility","92","74","74","74","80","83","82","82","79","78"
"Bolivar Satellite Facility","102","86","85","85","87","92","92","91","89","89"
"Forrest Satellite Facility","96","85","84","84","84","85","86","86","86","86"
"George Satellite Facility","102","80","80","80","83","85","85","84","88","88"
"Harrison Satellite Facility","102","79","79","79","83","83","83","83","90","90"
"Jackson Satellite Facility","102","94","94","94","98","98","98","99","98","98"
"Jefferson Satellite Facility","102","81","81","81","78","88","86","92","89","89"
"Leflore Satellite Facility","102","83","83","83","86","88","88","87","88","88"
"Madison Satellite Facility","102","81","81","81","83","92","88","96","95","95"
"Noxubee Satellite Facility","92","88","88","88","89","89","87","86","85","85"
"Pike Satellite Facility","93","87","87","87","85","85","86","84","84","84"
"Quitman Satellite Facility","93","78","78","77","78","81","83","83","81","81"
"Rankin Satellite Facility","260","248","248","248","250","250","250","249","246","245"
"Simpson Satellite Facility","102","92","92","92","97","94","94","96","95","95"
"Washington Satellite Facility","102","78","78","78","78","77","77","82","93","93"
"Wilkinson Satellite Facility","102","73","73","73","85","95","95","94","94","94"
"Yazoo Satellite Facility","102","93","93","93","94","94","94","96","94","94"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,904","2,901","2,901","2,891","2,905","2,913","2,903","2,905","2,905"
"Bolivar County","294","280","280","280","280","280","280","279","279","279"
"Carroll County","280","266","265","265","266","266","266","266","265","265"
"George County","280","265","265","265","266","266","265","265","264","264"
"Holmes County","280","248","248","248","247","250","250","250","251","251"
"Issaquena County","274","259","258","258","260","260","260","259","259","259"
"Jefferson County","280","265","265","265","263","265","267","261","263","263"
"Kemper County","280","266","266","266","264","264","265","264","263","263"
"Leake County","280","264","263","263","264","260","266","266","266","266"
"Marion County","280","262","262","262","262","267","267","267","266","266"
"Stone County","280","263","263","263","266","266","264","263","265","265"
"Winston County","280","266","266","266","253","261","263","263","264","264"
"PRIVATE PRISONS","5,972","5,493","5,487","5,485","5,500","5,501","5,498","5,489","5,479","5,478"
"Delta","972","953","953","953","955","957","955","952","949","949"
"East Mississippi","1,500","1,360","1,357","1,356","1,361","1,363","1,363","1,363","1,360","1,359"
"Marshall County","1,000","983","982","982","983","982","984","983","982","982"
"Walnut Grove","1,500","1,227","1,226","1,225","1,225","1,223","1,223","1,222","1,220","1,220"
"Wilkinson County","1,000","970","969","969","976","976","973","969","968","968"
"RESTITUTION CENTERS","16","10","10","10","11","11","11","11","11","11"
"Greenwood","6","5","5","5","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","50","50","52","11","11","12","11","40","40"
"TOTALS","23,984","21,995","21,981","21,972","21,970","22,000","22,011","21,998","21,967","21,961"
"","","19-Jun-09","20-Jun-09","21-Jun-09","22-Jun-09","23-Jun-09","24-Jun-09","25-Jun-09","26-Jun-09","27-Jun-09"
