"Location","Capacity","1-Sep-09","2-Sep-09","3-Sep-09","4-Sep-09","5-Sep-09","6-Sep-09","7-Sep-09","8-Sep-09","9-Sep-09"
"Mississippi State Penitentiary","4,435","3,911","3,920","3,930","3,925","3,921","3,916","3,916","3,917","3,926"
"Central Mississippi Correctional Facility","3,665","3,200","3,236","3,251","3,285","3,285","3,285","3,285","3,282","3,317"
"South Mississippi Correctional Institution","3,204","2,914","2,869","2,826","2,766","2,762","2,761","2,763","2,736","2,691"
"County Jails","1,487","1,470","1,475","1,528","1,562","1,526","1,562","1,562","1,562","1,578"
"COMMUNITY WORK CENTERS","1,848","1,592","1,589","1,586","1,588","1,588","1,585","1,585","1,538","1,528"
"Alcorn Satellite Facility","92","62","61","62","63","63","63","62","60","58"
"Bolivar Satellite Facility","102","77","77","77","77","77","77","77","71","71"
"Forrest Satellite Facility","96","76","75","75","74","74","72","74","71","71"
"George Satellite Facility","102","85","86","83","82","82","82","82","78","77"
"Harrison Satellite Facility","102","70","70","72","72","72","72","72","72","71"
"Jackson Satellite Facility","102","95","95","94","94","94","94","94","93","92"
"Jefferson Satellite Facility","102","94","94","93","93","93","92","92","88","87"
"Leflore Satellite Facility","102","70","69","67","67","67","67","67","66","69"
"Madison Satellite Facility","102","97","95","96","95","95","95","95","92","92"
"Noxubee Satellite Facility","92","87","87","85","85","85","85","85","79","77"
"Pike Satellite Facility","93","79","82","80","84","84","84","83","85","86"
"Quitman Satellite Facility","93","87","87","90","90","90","90","90","89","87"
"Rankin Satellite Facility","260","249","247","247","248","248","248","248","239","236"
"Simpson Satellite Facility","102","98","98","98","98","98","98","98","95","95"
"Washington Satellite Facility","102","82","82","82","82","82","82","82","78","78"
"Wilkinson Satellite Facility","102","90","90","91","90","90","90","90","88","87"
"Yazoo Satellite Facility","102","94","94","94","94","94","94","94","94","94"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,920","2,925","2,929","2,930","2,927","2,927","2,925","2,930","2,932"
"Bolivar County","294","280","279","279","280","279","279","279","280","280"
"Carroll County","280","263","265","264","264","264","264","264","264","265"
"George County","280","263","263","265","265","264","264","264","265","266"
"Holmes County","280","265","265","266","266","266","266","266","266","266"
"Issaquena County","274","259","260","260","260","260","260","260","260","260"
"Jefferson County","280","263","268","268","268","268","268","268","268","266"
"Kemper County","355","266","263","264","266","266","266","266","266","266"
"Leake County","280","265","264","266","265","265","265","264","265","265"
"Marion County","280","265","266","266","266","265","265","264","266","268"
"Stone County","280","266","266","265","264","264","264","264","264","264"
"Winston County","280","265","266","266","266","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,540","5,542","5,538","5,520","5,520","5,518","5,515","5,529","5,537"
"Delta","972","957","957","957","957","957","957","957","956","957"
"East Mississippi","1,500","1,361","1,361","1,360","1,358","1,358","1,358","1,358","1,357","1,361"
"Marshall County","1,000","982","984","983","983","983","983","983","980","983"
"Walnut Grove","1,500","1,265","1,264","1,263","1,248","1,248","1,246","1,243","1,263","1,261"
"Wilkinson County","1,000","975","976","975","974","974","974","974","973","975"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","16","14","14","14","15","14","7","12"
"TOTALS","23,796","21,576","21,588","21,618","21,606","21,559","21,585","21,581","21,517","21,537"
"","","1-Sep-09","2-Sep-09","3-Sep-09","4-Sep-09","5-Sep-09","6-Sep-09","7-Sep-09","8-Sep-09","9-Sep-09"
