"Location","Capacity","28-Mar-16","29-Mar-16","30-Mar-16","","31-Mar-16 Avg Population"
"Mississippi State Penitentiary","3,590","3,372","3,367","3,367","3,361","3,376"
"Central Mississippi Correctional Facility","3,506","2,865","2,866","2,894","2,832","2,861"
"Youthful Offender Unit","58","27","27","31","32","29"
"CMCF TVC","","7","6","6","6","5"
"South Mississippi Correctional Institution","3,082","2,880","2,890","2,880","2,925","2,819"
"County Jails","1,986","1,538","1,510","1,494","1,480","1,515"
"COMMUNITY WORK CENTERS","1,848","1,187","1,171","1,168","1,172","1,174"
"Alcorn Satellite Facility","92","0","0","0","0","0"
"Bolivar Satellite Facility","102","30","30","30","30","32"
"Forrest Satellite Facility","96","73","72","71","71","72"
"George Satellite Facility","102","76","75","80","81","79"
"Harrison Satellite Facility","102","71","71","70","70","70"
"Jackson Satellite Facility","102","42","42","42","41","39"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Lefore TVC Support","20","20","20","20","20","20"
"Lefore TVC","82","75","75","74","74","62"
"Madison Satellite Facility","102","93","92","91","90","96"
"Noxubee Satellite Facility","92","89","87","87","90","90"
"Pike Satellite Facility","93","89","87","87","87","85"
"Quitman Satellite Facility","93","89","88","88","87","87"
"Rankin Satellite Facility","260","173","170","170","176","173"
"Flowood TVC","","24","25","25","25","25"
"Simpson TVC support","20","7","7","7","7","8"
"Simpson TVC","82","64","62","61","62","70"
"Washington Satellite Facility","102","98","95","94","93","95"
"Wilkinson Satellite Facility","102","74","73","71","68","70"
"Yazoo Satellite Facility","102","0","0","0","0","1"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,420","3,421","3,419","3,423","3,416"
"Alcorn County","240","237","240","240","240","238"
"Bolivar County","369","294","293","293","293","294"
"Carroll County","280","240","239","239","240","239"
"Chickasaw County","300","238","240","240","240","239"
"George County","280","200","198","199","200","199"
"Holmes County","280","199","200","200","199","199"
"Issaquena County","274","239","239","239","240","238"
"Jefferson County","280","239","238","237","237","238"
"Kemper County","355","257","260","260","259","257"
"Leake County","280","200","200","199","198","198"
"Marion County","280","202","201","201","201","200"
"Stone County","280","199","200","200","200","200"
"Washington County","300","238","235","234","236","239"
"Winston County","280","198","199","199","199","198"
"Yazoo County","300","240","239","239","241","239"
"PRIVATE PRISONS","5,972","3,947","3,956","3,953","3,949","3,951"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,126","1,125","1,125","1,129"
"Marshall County","1,000","997","997","997","996","997"
"Walnut Grove","1,500","929","934","933","932","932"
"Wilkinson County","1,000","895","899","898","896","893"
"RESTITUTION CENTERS","16","11","12","12","12","12"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","6","6","6","6"
"Pascagoula","4","2","2","2","2","2"
"TOTALS","24,436","19,254","19,226","19,224","19,192","19,158"
"","","28-Mar-16","29-Mar-16","30-Mar-16","","31-Mar-16 Avg Population"
