"Location","Capacity","1-Jun-15","2-Jun-15","3-Jun-15","4-Jun-15","5-Jun-15","6-Jun-15","7-Jun-15","8-Jun-15","9-Jun-15"
"Mississippi State Penitentiary","4,648","3,098","3,095","3,095","3,093","3,089","3,089","3,089","3,174","3,094"
"MSP TVC","108","87","89","89","90","88","87","87","87","98"
"Central Mississippi Correctional Facility","3,469","2,442","2,448","2,455","2,449","2,468","2,468","2,465","2,443","2,448"
"Youthful Offender Unit","58","21","21","22","21","22","22","22","23","23"
"CMCF TVC","158","135","141","142","144","145","143","141","146","145"
"South Mississippi Correctional Institution 3,282","","2,481","2,488","2,487","2,502","2,512","2,507","2,509","2,516","2,523"
"SMCI TVC","0","95","99","98","97","95","95","94","93","98"
"County Jails","2,006","1,369","1,364","1,357","1,368","1,362","1,362","1,366","1,307","1,383"
"COMMUNITY WORK CENTERS","1,848","1,105","1,111","1,111","1,120","1,109","1,108","1,108","1,125","1,118"
"Alcorn Satellite Facility","92","49","49","49","47","47","47","47","47","48"
"Bolivar Satellite Facility","102","52","49","49","49","49","48","48","48","47"
"Forrest Satellite Facility","96","50","53","53","53","52","52","52","53","52"
"George Satellite Facility","102","51","52","52","52","51","51","51","55","55"
"Harrison Satellite Facility","102","56","55","55","55","51","51","51","54","52"
"Jackson Satellite Facility","102","54","54","54","54","56","56","56","56","56"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","49","48","48","55","55","55","55","55","55"
"Madison Satellite Facility","102","74","72","72","72","73","73","73","69","70"
"Noxubee Satellite Facility","92","66","63","63","62","61","61","61","63","62"
"Pike Satellite Facility","93","90","89","89","89","86","86","86","87","88"
"Quitman Satellite Facility","93","64","67","67","67","65","65","65","65","66"
"Rankin Satellite Facility","260","187","187","187","187","187","187","187","190","190"
"Simpson Satellite Facility","102","87","89","89","87","89","89","89","89","87"
"Washington Satellite Facility","102","44","52","52","55","54","54","54","58","55"
"Wilkinson Satellite Facility","102","52","52","52","57","54","54","54","55","54"
"Yazoo Satellite Facility","102","80","80","80","79","79","79","79","81","81"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,132","4,144","4,144","4,140","4,146","4,144","4,144","4,165","4,161"
"Alcorn County","300","300","300","300","297","297","297","297","295","295"
"Bolivar County","369","346","347","347","347","347","347","347","347","347"
"Carroll County","280","273","272","272","271","271","270","270","270","270"
"Chickasaw County","300","298","299","299","299","299","299","299","300","298"
"George County","280","263","261","261","259","259","259","259","260","259"
"Holmes County","280","259","259","259","257","256","256","256","259","259"
"Issaquena County","274","254","261","261","259","256","256","256","255","255"
"Jefferson County","280","263","264","264","261","262","262","262","264","265"
"Kemper County","355","334","335","335","332","330","330","330","331","334"
"Leake County","280","252","251","251","256","264","263","263","260","260"
"Marion County","280","263","266","266","266","266","266","266","268","267"
"Stone County","280","269","271","271","271","271","271","271","272","272"
"Washington County","300","231","228","228","228","228","228","228","228","228"
"Winston County","280","257","253","253","253","253","253","253","266","263"
"Yazoo County","300","270","277","277","284","287","287","287","290","289"
"PRIVATE PRISONS","5,972","3,966","3,959","3,959","3,951","3,953","3,950","3,950","3,950","3,955"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,128","1,132","1,132","1,131","1,131","1,130","1,130","1,131","1,130"
"Marshall County","1,000","999","999","999","999","999","998","998","998","997"
"Walnut Grove","1,500","949","933","933","932","931","930","930","931","929"
"Wilkinson County","1,000","890","895","895","889","892","892","892","890","899"
"RESTITUTION CENTERS","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"TOTALS","25,737","18,947","18,975","18,975","18,991","19,005","18,991","18,991","19,045","19,062"
"","","1-Jun-15","2-Jun-15","3-Jun-15","4-Jun-15","5-Jun-15","6-Jun-15","7-Jun-15","8-Jun-15","9-Jun-15"
