"Location","Capacity","10-Apr-08","11-Apr-08","12-Apr-08","13-Apr-08","14-Apr-08","15-Apr-08","16-Apr-08","17-Apr-08","18-Apr-08"
"Mississippi State Penitentiary","4,527","4,206","4,190","4,189","4,185","4,175","4,197","4,190","4,184","4,172"
"Central Mississippi Correctional Facility","3,665","3,695","3,694","3,691","3,690","3,718","3,701","3,670","3,686","3,684"
"South Mississippi Correctional Institution","3,204","3,125","3,113","3,111","3,111","3,115","3,082","3,110","3,103","3,116"
"County Jails","1,662","1,970","1,977","1,977","1,977","1,978","1,971","1,965","1,989","2,001"
"COMMUNITY WORK CENTERS","1,848","1,741","1,725","1,723","1,720","1,742","1,783","1,784","1,779","1,754"
"Alcorn Satellite Facility","92","90","87","87","87","89","89","89","89","92"
"Bolivar Satellite Facility","102","96","101","101","101","101","100","100","100","98"
"Forrest Satellite Facility","96","91","90","90","89","90","93","95","94","92"
"George Satellite Facility","102","98","100","100","100","101","101","101","100","97"
"Harrison Satellite Facility","102","83","83","83","83","84","98","96","96","93"
"Jackson Satellite Facility","102","99","98","98","98","99","99","98","97","96"
"Jefferson Satellite Facility","102","85","83","83","83","83","101","101","101","100"
"Leflore Satellite Facility","102","100","96","96","96","98","93","100","100","100"
"Madison Satellite Facility","102","100","97","97","97","100","99","96","101","96"
"Noxubee Satellite Facility","92","90","90","90","89","89","88","88","87","86"
"Pike Satellite Facility","93","87","88","88","88","89","92","92","90","90"
"Quitman Satellite Facility","93","85","83","83","83","88","87","87","86","82"
"Rankin Satellite Facility","260","248","246","246","245","248","250","250","250","244"
"Simpson Satellite Facility","102","97","96","95","95","94","99","101","100","99"
"Washington Satellite Facility","102","100","96","95","95","96","95","91","91","89"
"Wilkinson Satellite Facility","102","95","97","97","97","96","100","100","98","99"
"Yazoo Satellite Facility","102","97","94","94","94","97","99","99","99","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,076","3,086","3,084","3,083","3,083","3,084","3,083","3,082","3,084"
"Bolivar County","294","292","294","294","294","294","294","293","292","294"
"Carroll County","280","279","280","280","280","280","280","280","280","280"
"George County","280","279","280","280","280","280","280","280","280","280"
"Holmes County","280","279","280","280","279","280","279","280","280","280"
"Issaquena County","274","274","274","274","274","274","275","274","274","273"
"Jefferson County","280","279","279","278","278","277","279","281","280","281"
"Kemper County","280","280","280","280","280","280","280","278","280","279"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","279","279","279","279","278","278","278","278","280"
"Stone County","280","280","280","279","279","280","279","279","280","280"
"Winston County","280","275","280","280","280","280","280","280","278","277"
"PRIVATE PRISONS","4,972","4,810","4,813","4,813","4,810","4,808","4,807","4,814","4,809","4,811"
"Delta","972","971","970","970","969","969","970","968","968","970"
"East Mississippi","1,000","893","892","892","892","891","893","891","890","890"
"Marshall County","1,000","998","999","999","998","997","997","1,000","999","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","955","959","959","958","956","953","958","955","955"
"Wilkinson County","1,000","993","993","993","993","995","994","997","997","996"
"RESTITUTION CENTERS","16","13","13","13","13","13","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","4","5","5","5"
"E-CODE","0","8","30","29","28","6","4","6","4","28"
"TOTALS","22,988","22,649","22,646","22,635","22,622","22,643","22,645","22,639","22,653","22,667"
