"Location","Capacity","10-Nov-07","11-Nov-07","12-Nov-07","13-Nov-07","14-Nov-07","15-Nov-07","16-Nov-07","17-Nov-07","18-Nov-07"
"Mississippi State Penitentiary","4,527","4,395","4,393","4,389","4,382","4,380","4,382","4,383","4,379","4,375"
"Central Mississippi Correctional Facility","3,515","3,493","3,490","3,492","3,491","3,495","3,526","3,473","3,471","3,471"
"South Mississippi Correctional Institution","3,124","3,010","3,008","3,006","2,993","3,011","2,986","3,001","2,997","2,997"
"County Jails","1,589","1,765","1,765","1,767","1,773","1,759","1,732","1,755","1,755","1,755"
"COMMUNITY WORK CENTERS","1,848","1,763","1,762","1,800","1,786","1,801","1,805","1,809","1,806","1,804"
"Alcorn Satellite Facility","92","82","82","91","91","91","90","90","90","90"
"Bolivar Satellite Facility","102","96","96","101","102","101","101","100","100","100"
"Forrest Satellite Facility","96","95","94","95","95","95","96","96","96","96"
"George Satellite Facility","102","97","97","99","99","99","98","101","101","101"
"Harrison Satellite Facility","102","100","99","101","101","99","97","100","100","99"
"Jackson Satellite Facility","102","96","96","98","94","102","102","101","101","101"
"Jefferson Satellite Facility","102","100","100","101","101","101","99","98","98","98"
"Leflore Satellite Facility","102","101","101","102","102","102","102","102","102","102"
"Madison Satellite Facility","102","99","99","100","96","102","101","101","101","100"
"Noxubee Satellite Facility","92","91","91","92","92","92","90","91","90","90"
"Pike Satellite Facility","93","89","89","90","90","88","88","86","86","86"
"Quitman Satellite Facility","93","85","85","89","88","88","87","87","86","86"
"Rankin Satellite Facility","260","236","236","242","239","240","253","256","255","255"
"Simpson Satellite Facility","102","98","98","99","95","101","102","102","102","102"
"Washington Satellite Facility","102","101","101","101","101","101","101","101","101","101"
"Wilkinson Satellite Facility","102","98","99","99","99","99","99","99","99","99"
"Yazoo Satellite Facility","102","99","99","100","101","100","99","98","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,078","3,074","3,080","3,080","3,083","3,088","3,086","3,083"
"Bolivar County","294","295","295","295","295","295","294","295","295","294"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"George County","280","278","278","277","277","278","278","281","280","280"
"Holmes County","280","279","279","279","279","279","280","280","280","280"
"Issaquena County","274","270","270","270","272","270","272","273","273","273"
"Jefferson County","280","279","279","279","280","280","280","280","280","280"
"Kemper County","280","279","279","278","279","280","280","280","280","280"
"Leake County","280","280","279","279","280","279","280","280","280","279"
"Marion County","280","280","280","280","280","279","280","280","280","279"
"Stone County","280","279","279","278","279","280","279","279","278","278"
"Winston County","280","280","280","279","279","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,786","4,783","4,781","4,797","4,805","4,803","4,800","4,796","4,795"
"Delta","972","969","969","969","968","969","971","971","971","971"
"East Mississippi","1,000","890","888","888","887","888","890","890","890","890"
"Marshall County","1,000","992","991","990","1,000","1,000","1,000","999","998","998"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","942","942","942","944","950","943","944","942","941"
"Wilkinson County","1,000","993","993","992","998","998","999","996","995","995"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","46","46","6","8","8","6","6","6","6"
"TOTALS","22,685","22,355","22,343","22,333","22,328","22,357","22,341","22,332","22,313","22,303"
"","","10-Nov-07","11-Nov-07","12-Nov-07","13-Nov-07","14-Nov-07","15-Nov-07","16-Nov-07","17-Nov-07","18-Nov-07"
