"Location","Capacity","10-Dec-14","11-Dec-14","12-Dec-14","13-Dec-14","14-Dec-14","15-Dec-14","16-Dec-14","17-Dec-14","18-Dec-14"
"Mississippi State Penitentiary","4,648","3,165","3,157","3,141","3,140","3,139","3,145","3,145","3,149","3,169"
"Central Mississippi Correctional Facility","3,469","2,158","2,177","2,210","2,212","2,210","2,208","2,222","2,222","2,225"
"Youthful Offender Unit","58","35","35","34","34","34","34","35","35","35"
"CMCF TVC","350","87","87","86","82","80","85","85","85","85"
"South Mississippi Correctional Institution 3,282","","2,642","2,635","2,632","2,633","2,632","2,632","2,610","2,610","2,601"
"County Jails","1,973","1,490","1,491","1,489","1,489","1,489","1,469","1,490","1,504","1,454"
"COMMUNITY WORK CENTERS","1,848","1,118","1,114","1,113","1,112","1,112","1,109","1,108","1,117","1,122"
"Alcorn Satellite Facility","92","71","69","69","69","69","69","69","69","69"
"Bolivar Satellite Facility","102","51","51","50","50","50","49","53","55","56"
"Forrest Satellite Facility","96","54","53","53","53","53","53","52","51","51"
"George Satellite Facility","102","50","48","51","51","51","51","51","51","51"
"Harrison Satellite Facility","102","49","49","49","49","49","49","48","47","48"
"Jackson Satellite Facility","102","46","48","50","50","50","49","47","48","48"
"Jefferson Satellite Facility","102","58","58","57","57","57","57","56","56","54"
"Leflore Satellite Facility","102","54","54","51","51","51","51","51","54","54"
"Madison Satellite Facility","102","56","57","57","57","57","57","55","54","53"
"Noxubee Satellite Facility","92","73","75","75","75","75","75","76","76","76"
"Pike Satellite Facility","93","83","81","81","81","81","81","84","85","85"
"Quitman Satellite Facility","93","54","54","54","53","53","53","53","53","53"
"Rankin Satellite Facility","260","191","192","191","191","191","190","188","189","189"
"Simpson Satellite Facility","102","87","87","88","88","88","88","88","91","96"
"Washington Satellite Facility","102","53","52","52","52","52","52","52","52","52"
"Wilkinson Satellite Facility","102","38","36","35","35","35","35","35","35","35"
"Yazoo Satellite Facility","102","50","50","50","50","50","50","50","51","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,214","4,209","4,209","4,206","4,206","4,212","4,200","4,183","4,224"
"Alcorn County","300","300","300","300","300","300","300","300","298","298"
"Bolivar County","369","361","361","361","360","360","362","367","369","369"
"Carroll County","280","260","260","260","260","260","259","259","263","262"
"Chickasaw County","300","300","298","298","298","298","301","300","299","299"
"George County","280","257","257","257","256","256","256","253","252","251"
"Holmes County","280","264","264","265","265","265","265","265","264","264"
"Issaquena County","274","255","253","254","254","254","252","252","251","251"
"Jefferson County","280","260","259","257","257","257","256","255","259","258"
"Kemper County","355","333","333","332","332","332","331","329","333","332"
"Leake County","280","249","250","250","250","250","251","246","249","249"
"Marion County","280","274","272","272","271","271","271","270","274","274"
"Stone County","280","270","272","271","271","271","270","268","272","273"
"Washington County","300","280","278","278","278","278","277","277","276","281"
"Winston County","280","266","266","267","267","267","271","270","281","280"
"Yazoo County","300","285","286","287","287","287","290","289","243","283"
"PRIVATE PRISONS","5,972","4,331","4,332","4,310","4,310","4,310","4,301","4,296","4,294","4,290"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,175","1,177","1,177","1,177","1,177","1,169","1,172","1,173","1,174"
"Marshall County","1,000","993","993","1,000","1,000","1,000","999","998","996","995"
"Walnut Grove","1,500","1,273","1,273","1,244","1,244","1,244","1,245","1,239","1,240","1,237"
"Wilkinson County","1,000","890","889","889","889","889","888","887","885","884"
"RESTITUTION CENTERS","16","7","9","9","9","9","9","9","9","9"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","","","0"
"E-CODE","0","0","0","0","0","0","0","0","","0"
"TOTALS","25,710","19,247","19,246","19,233","19,227","19,221","19,204","19,200","19,208","19,214"
"","","10-Dec-14","11-Dec-14","12-Dec-14","13-Dec-14","14-Dec-14","15-Dec-14","16-Dec-14","17-Dec-14","18-Dec-14"
