"Location","Capacity","19-Aug-09","20-Aug-09","21-Aug-09","22-Aug-09","23-Aug-09","24-Aug-09","25-Aug-09","26-Aug-09","27-Aug-09"
"Mississippi State Penitentiary","4,435","3,888","3,884","3,875","3,871","3,872","3,886","3,873","3,889","3,881"
"Central Mississippi Correctional Facility","3,665","3,189","3,182","3,159","3,158","3,159","3,165","3,185","3,154","3,197"
"South Mississippi Correctional Institution","3,204","3,021","3,007","3,003","3,002","3,002","3,002","3,014","3,012","2,988"
"County Jails","1,525","1,516","1,482","1,491","1,491","1,491","1,476","1,486","1,469","1,448"
"COMMUNITY WORK CENTERS","1,848","1,583","1,561","1,564","1,562","1,558","1,569","1,565","1,567","1,587"
"Alcorn Satellite Facility","92","73","63","63","63","64","64","64","64","62"
"Bolivar Satellite Facility","102","76","77","79","79","79","79","79","84","80"
"Forrest Satellite Facility","96","73","71","78","78","78","79","79","79","77"
"George Satellite Facility","102","86","85","87","87","87","88","88","88","88"
"Harrison Satellite Facility","102","65","63","65","65","65","65","64","63","63"
"Jackson Satellite Facility","102","100","99","93","93","93","96","95","95","95"
"Jefferson Satellite Facility","102","93","91","90","89","89","89","89","99","99"
"Leflore Satellite Facility","102","69","68","68","67","67","67","67","73","71"
"Madison Satellite Facility","102","97","97","100","100","99","99","99","99","95"
"Noxubee Satellite Facility","92","85","87","84","84","82","84","84","84","84"
"Pike Satellite Facility","93","91","91","91","91","91","90","88","59","77"
"Quitman Satellite Facility","93","69","69","67","67","66","66","66","61","67"
"Rankin Satellite Facility","260","250","247","246","246","245","251","252","247","251"
"Simpson Satellite Facility","102","94","97","96","96","96","96","96","102","102"
"Washington Satellite Facility","102","73","71","70","70","70","71","70","78","84"
"Wilkinson Satellite Facility","102","93","90","93","93","93","92","92","92","92"
"Yazoo Satellite Facility","102","96","95","94","94","94","93","93","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,930","2,927","2,931","2,931","2,928","2,927","2,928","2,925","2,919"
"Bolivar County","294","280","279","278","278","278","277","279","278","278"
"Carroll County","280","266","266","267","267","265","266","267","267","267"
"George County","280","266","266","265","265","265","265","265","265","266"
"Holmes County","280","266","266","266","266","266","266","266","266","264"
"Issaquena County","274","260","259","259","259","259","259","259","256","255"
"Jefferson County","280","266","264","266","266","265","265","264","264","264"
"Kemper County","355","266","264","265","265","265","266","265","266","266"
"Leake County","280","266","265","266","266","266","266","266","266","266"
"Marion County","280","265","266","266","266","266","266","266","266","265"
"Stone County","280","263","265","266","266","266","266","266","265","265"
"Winston County","280","266","267","267","267","267","265","265","266","263"
"PRIVATE PRISONS","5,972","5,497","5,500","5,499","5,497","5,491","5,494","5,489","5,500","5,500"
"Delta","972","955","955","953","953","952","955","948","953","957"
"East Mississippi","1,500","1,361","1,360","1,361","1,360","1,357","1,355","1,360","1,363","1,363"
"Marshall County","1,000","981","983","983","983","982","983","983","982","979"
"Walnut Grove","1,500","1,224","1,226","1,226","1,225","1,224","1,225","1,224","1,227","1,227"
"Wilkinson County","1,000","976","976","976","976","976","976","974","975","974"
"RESTITUTION CENTERS","16","9","9","10","10","9","9","12","12","13"
"Greenwood","6","5","5","6","6","6","6","6","6","6"
"Hinds","6","2","2","2","2","1","1","4","4","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","11","8","23","24","23","7","10","10","11"
"TOTALS","23,834","21,650","21,566","21,561","21,552","21,539","21,541","21,568","21,544","21,550"
"","","19-Aug-09","20-Aug-09","21-Aug-09","22-Aug-09","23-Aug-09","24-Aug-09","25-Aug-09","26-Aug-09","27-Aug-09"
