"Location","Capacity","10-Feb-15","11-Feb-15","12-Feb-15","13-Feb-15","14-Feb-15","15-Feb-15","16-Feb-15","17-Feb-15","18-Feb-15"
"Mississippi State Penitentiary","4,648","3,150","3,148","3,130","3,128","3,126","3,126","3,123","3,124","3,125"
"MSP TVC","108","85","83","82","81","81","79","78","73","73"
"Central Mississippi Correctional Facility","3,469","2,356","2,366","2,381","2,379","2,379","2,379","2,383","2,376","2,376"
"Youthful Offender Unit","58","27","27","27","27","27","30","30","26","26"
"CMCF TVC","158","114","113","113","109","108","108","106","107","114"
"South Mississippi Correctional Institution","3,282","2,421","2,422","2,417","2,410","2,410","2,409","2,408","2,411","2,398"
"SMCI TVC","0","94","93","90","90","90","90","88","89","88"
"County Jails","1,995","1,474","1,483","1,508","1,540","1,540","1,537","1,536","1,513","1,537"
"COMMUNITY WORK CENTERS","1,848","1,064","1,054","1,046","1,014","1,002","1,008","1,041","1,029","1,029"
"Alcorn Satellite Facility","92","57","56","55","51","51","51","53","53","52"
"Bolivar Satellite Facility","102","55","55","55","48","48","51","53","52","52"
"Forrest Satellite Facility","96","50","50","50","47","47","47","49","48","48"
"George Satellite Facility","102","54","54","54","53","53","53","55","54","53"
"Harrison Satellite Facility","102","50","48","45","43","42","43","45","45","44"
"Jackson Satellite Facility","102","52","53","53","45","45","45","53","53","52"
"Jefferson Satellite Facility","102","53","53","53","50","50","50","51","48","48"
"Leflore Satellite Facility","102","49","48","47","45","45","47","47","47","47"
"Madison Satellite Facility","102","46","46","44","43","43","43","44","44","45"
"Noxubee Satellite Facility","92","65","65","64","60","60","60","64","63","63"
"Pike Satellite Facility","93","75","75","78","77","77","77","79","79","79"
"Quitman Satellite Facility","93","61","60","60","60","60","60","60","59","58"
"Rankin Satellite Facility","260","169","167","163","169","159","159","161","158","159"
"Simpson Satellite Facility","102","100","100","99","94","94","94","95","94","94"
"Washington Satellite Facility","102","42","42","43","44","44","44","44","44","44"
"Wilkinson Satellite Facility","102","38","35","35","40","39","39","41","41","44"
"Yazoo Satellite Facility","102","48","47","48","45","45","45","47","47","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,216","4,220","4,210","4,185","4,194","4,191","4,191","4,209","4,217"
"Alcorn County","300","296","295","299","299","299","298","298","296","298"
"Bolivar County","369","353","355","352","351","351","351","351","351","350"
"Carroll County","280","271","271","271","271","271","270","270","271","271"
"Chickasaw County","300","298","297","300","300","300","300","300","298","298"
"George County","280","262","261","259","256","256","256","256","263","263"
"Holmes County","280","261","261","261","259","259","259","259","269","269"
"Issaquena County","274","266","266","261","259","259","259","259","259","259"
"Jefferson County","280","258","259","259","258","258","258","258","257","258"
"Kemper County","355","335","335","329","328","328","328","328","329","336"
"Leake County","280","260","262","262","262","262","261","261","259","258"
"Marion County","280","272","273","273","272","272","272","272","273","273"
"Stone County","280","278","278","278","277","277","277","277","277","277"
"Washington County","300","260","259","259","247","256","256","256","261","261"
"Winston County","280","259","265","265","265","265","265","265","267","267"
"Yazoo County","300","287","283","282","281","281","281","281","279","279"
"PRIVATE PRISONS","5,972","4,016","4,014","4,015","4,010","4,008","4,005","4,004","4,009","4,001"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,177","1,176","1,176","1,172","1,172","1,172","1,172","1,173","1,170"
"Marshall County","1,000","995","995","997","997","995","993","993","994","993"
"Walnut Grove","1,500","957","956","955","954","954","954","954","960","957"
"Wilkinson County","1,000","887","887","887","887","887","886","885","882","881"
"RESTITUTION CENTERS","16","6","6","6","5","5","5","6","6","6"
"Greenwood","6","4","4","4","3","3","3","4","4","4"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,726","19,023","19,029","19,025","18,978","18,970","18,967","18,994","18,972","18,990"
