"Location","Capacity","1-Feb-16","2-Feb-16","3-Feb-16","4-Feb-16","5-Feb-16","6-Feb-16","7-Feb-16","8-Feb-16","9-Feb-16"
"Mississippi State Penitentiary","3,590","3,266","3,260","3,281","3,259","3,332","3,329","3,329","3,339","3,361"
"MSP TVC","","20","21","21","2","0","0","0","0","0"
"Central Mississippi Correctional Facility","2,876","2,506","2,492","2,460","2,507","2,554","2,554","2,555","2,621","2,669"
"Youthful Offender Unit","58","29","29","29","29","29","29","29","28","28"
"CMCF TVC","","9","10","11","11","1","2","2","2","2"
"South Mississippi Correctional Institution","2,882","2,746","2,772","2,772","2,778","2,778","2,778","2,777","2,787","2,807"
"County Jails","1,986","1,351","1,372","1,388","1,364","1,378","1,378","1,378","1,393","1,421"
"COMMUNITY WORK CENTERS","1,950","964","975","976","996","1,015","1,012","1,012","1,034","1,040"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","34","34","34","34","34","34","34","34","34"
"Forrest Satellite Facility","96","74","73","73","73","71","71","71","73","73"
"George Satellite Facility","102","61","63","65","66","64","64","64","64","67"
"Harrison Satellite Facility","102","61","61","61","62","63","63","63","62","62"
"Jackson Satellite Facility","102","40","40","40","39","36","36","36","39","39"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","20","21","19","21","21","21","21","21","21"
"Leflore TVC Support","20","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","102","56","62","62","62","84","84","84","84","84"
"Noxubee Satellite Facility","92","85","81","81","83","84","84","84","86","86"
"Pike Satellite Facility","93","82","85","85","84","83","83","83","84","84"
"Quitman Satellite Facility","93","81","82","83","86","85","85","85","85","87"
"Rankin Satellite Facility","260","143","143","144","145","128","128","128","134","133"
"Flowood TVC","","11","11","10","9","20","20","20","20","20"
"Simpson TVC and Simpson TVC support","102","50","50","50","64","79","76","76","78","73"
"Washington Satellite Facility","102","82","79","79","78","78","78","78","78","85"
"Wilkinson Satellite Facility","102","52","58","58","58","54","54","54","57","57"
"Yazoo Satellite Facility","102","32","32","32","32","31","31","31","35","35"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,960","3,994","4,034","4,056","3,866","3,863","3,862","3,817","3,696"
"Alcorn County","240","0","49","107","161","213","213","213","239","239"
"Bolivar County","369","363","364","354","351","251","251","251","250","250"
"Carroll County","280","272","272","271","272","259","259","259","258","248"
"Chickasaw County","300","262","262","261","251","248","248","248","248","240"
"George County","280","271","271","271","275","255","253","253","252","251"
"Holmes County","280","270","262","262","266","250","250","250","249","248"
"Issaquena County","274","266","267","258","257","257","257","257","246","238"
"Jefferson County","280","282","282","282","281","259","259","259","246","237"
"Kemper County","355","346","346","345","339","339","339","339","321","240"
"Leake County","280","274","276","275","275","270","269","269","253","253"
"Marion County","280","279","280","280","279","259","259","259","259","259"
"Stone County","280","275","275","280","280","260","260","260","260","260"
"Washington County","300","238","237","237","236","235","235","234","234","234"
"Winston County","280","266","264","265","264","243","243","243","237","237"
"Yazoo County","300","296","287","286","269","268","268","268","265","262"
"PRIVATE PRISONS","5,972","3,919","3,906","3,895","3,862","3,875","3,872","3,872","3,878","3,906"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,146","1,142","1,141","1,138","1,137","1,136","1,136","1,136","1,137"
"Marshall County","1,000","1,000","986","991","976","976","975","975","982","982"
"Walnut Grove","1,500","922","927","909","895","899","898","898","897","925"
"Wilkinson County","1,000","851","851","854","853","863","863","863","863","862"
"RESTITUTION CENTERS","16","10","10","10","10","9","9","9","9","9"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","5","5","5","5","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,606","18,780","18,841","18,877","18,874","18,837","18,826","18,825","18,908","18,939"
"","","1-Feb-16","2-Feb-16","3-Feb-16","4-Feb-16","5-Feb-16","6-Feb-16","7-Feb-16","8-Feb-16","9-Feb-16"
