"Location","Capacity","14-Jan-03","15-Jan-03","16-Jan-03","17-Jan-03","18-Jan-03","19-Jan-03","20-Jan-03","21-Jan-03","22-Jan-03","23-Jan-03","24-Jan-03","25-Jan-03","26-Jan-03"
"MS STATE PENITENTIARY","5,711","5,544","5,561","5,564","5,564","5,563","5,561","5,560","5,568","5,562","5,552","5,561","5,558","5,555"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,020","3,028","3,042","3,034","3,032","3,030","3,028","3,037","3,049","3,071","3,066","3,067","3,068"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,119","2,117","2,106","2,128","2,125","2,125","2,124","2,118","2,142","2,131","2,132","2,132","2,132"
"COUNTY JAILS","2,121","2,010","1,991","1,954","1,949","1,949","1,949","1,948","1,919","1,919","1,914","1,897","1,897","1,897"
"COMMUNITY WORK CENTERS","1,350","1,287","1,285","1,283","1,201","1,201","1,199","1,279","1,292","1,287","1,285","1,241","1,240","1,235"
"Alcorn Satellite Facility","75","74","74","74","66","66","66","74","73","72","72","67","67","67"
"Bolivar Satellite Facility","75","72","72","72","67","67","67","72","72","72","72","73","73","73"
"Forrest Satellite Facility","75","73","73","73","64","64","64","71","74","74","74","71","71","71"
"George Satellite Facility","75","74","74","73","68","68","67","69","72","72","72","70","70","70"
"Harrison Satellite Facility","75","73","73","72","69","69","69","71","73","72","71","67","67","67"
"Jackson Satellite Facility","75","68","68","68","65","65","65","69","73","73","73","67","67","67"
"Jefferson Satellite Facility","75","74","74","73","68","68","68","75","75","75","75","70","70","70"
"Leflore Satellite Facility","75","74","74","74","69","69","69","72","72","71","71","70","70","70"
"Madison Satellite Facility","75","75","73","75","72","72","72","75","75","75","75","74","74","73"
"Noxubee Satellite Facility","75","73","73","73","65","65","65","73","74","74","74","71","71","70"
"Pike Satellite Facility","75","61","61","61","57","57","56","58","58","57","57","57","57","57"
"Quitman Satellite Facility","75","58","60","59","56","56","56","59","59","59","59","59","59","56"
"Rankin Satellite Facility","150","147","147","147","140","140","140","147","147","146","146","143","143","143"
"Simpson Satellite Facility","75","75","75","75","70","70","70","75","75","75","75","72","72","72"
"Washington Satellite Facility","75","73","73","73","67","67","67","73","73","73","73","69","69","69"
"Wilkinson Satellite Facility","75","72","70","70","71","71","71","72","73","73","73","71","71","70"
"Yazoo Satellite Facility","75","71","71","71","67","67","67","74","74","74","73","70","69","70"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,483","2,487","2,484","2,481","2,480","2,480","2,478","2,475","2,478","2,481","2,485","2,483","2,481"
"Bolivar County","250","226","226","226","224","224","224","224","223","222","226","227","225","225"
"Carroll County","250","225","226","226","226","226","226","225","225","225","224","226","226","225"
"George County (opened on May 10th)","250","227","227","227","226","226","226","226","226","226","227","226","226","226"
"Holmes County","250","227","227","227","226","226","226","226","226","226","226","226","226","226"
"Issaquena County","250","226","227","226","226","225","225","225","225","225","223","226","226","226"
"Jefferson County","250","226","226","226","226","226","226","226","226","226","226","225","225","225"
"Kemper County","250","224","226","225","225","225","225","224","224","224","226","226","226","225"
"Leake County","250","227","226","226","226","226","226","226","224","225","225","225","225","225"
"Marion County","250","222","223","223","223","223","223","223","223","227","227","227","227","227"
"Stone County","250","227","227","227","227","227","227","227","227","227","226","226","226","226"
"Winston County","250","226","226","225","226","226","226","226","226","225","225","225","225","225"
"PRIVATE PRISONS","3,750","3,397","3,390","3,401","3,402","3,401","3,400","3,398","3,404","3,405","3,403","3,416","3,413","3,412"
"Delta (Closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","721","720","727","727","726","726","725","724","722","722","721","721","721"
"Marshall County","1,000","990","989","988","987","987","987","986","983","983","983","993","991","991"
"Walnut Grove","750","696","693","698","698","698","697","697","707","714","713","717","717","717"
"Wilkinson County","1,000","990","988","988","990","990","990","990","990","986","985","985","984","983"
"RESITITUTION CENTERS","24","13","13","14","12","12","12","14","14","14","14","14","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","6","6","6","4","4","4","6","6","6","6","6","6","6"
"Pascagoula","6","1","1","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,025","19,879","19,878","19,854","19,777","19,769","19,762","19,835","19,833","19,862","19,857","19,818","19,810","19,800"
