"Location","Capacity","1-Jul-10","2-Jul-10","3-Jul-10","4-Jul-10","5-Jul-10","6-Jul-10","7-Jul-10","8-Jul-10","9-Jul-10"
"Mississippi State Penitentiary","4,435","3,387","3,392","3,391","3,390","3,389","3,390","3,409","3,412","3,421"
"Central Mississippi Correctional Facility","3,449","3,312","3,280","3,282","3,282","3,278","3,304","3,305","3,303","3,280"
"South Mississippi Correctional Institution","3,204","3,155","3,152","3,149","3,148","3,146","3,151","3,158","3,165","3,159"
"County Jails","1,481","1,556","1,590","1,590","1,590","1,590","1,589","1,596","1,589","1,593"
"COMMUNITY WORK CENTERS","1,848","1,664","1,687","1,684","1,679","1,677","1,665","1,663","1,657","1,629"
"Alcorn Satellite Facility","92","79","80","80","80","79","78","78","78","76"
"Bolivar Satellite Facility","102","84","87","87","87","87","87","87","87","86"
"Forrest Satellite Facility","96","67","73","73","73","73","73","73","73","70"
"George Satellite Facility","102","93","96","95","96","96","96","96","96","96"
"Harrison Satellite Facility","102","78","81","81","81","81","82","82","82","80"
"Jackson Satellite Facility","102","100","100","98","98","98","97","96","96","92"
"Jefferson Satellite Facility","102","98","98","98","97","97","97","96","98","96"
"Leflore Satellite Facility","102","92","91","91","91","91","91","91","89","87"
"Madison Satellite Facility","102","97","101","101","101","101","98","98","98","99"
"Noxubee Satellite Facility","92","88","85","85","85","85","85","87","87","84"
"Pike Satellite Facility","93","78","78","78","78","78","78","75","74","78"
"Quitman Satellite Facility","93","93","93","93","92","92","91","93","92","91"
"Rankin Satellite Facility","260","241","241","242","242","241","241","241","238","232"
"Simpson Satellite Facility","102","96","100","100","100","100","94","94","94","91"
"Washington Satellite Facility","102","92","91","91","88","88","88","87","87","85"
"Wilkinson Satellite Facility","102","93","93","93","92","92","91","91","91","87"
"Yazoo Satellite Facility","102","95","99","98","98","98","98","98","97","99"
"REGIONAL CORRECTIONAL FACILITIES","3,138","2,524","2,527","2,525","2,524","2,523","2,522","2,526","2,518","2,527"
"Bolivar County","294","233","231","231","230","230","231","235","235","235"
"Carroll County","280","224","226","225","225","224","224","224","224","224"
"George County","280","222","224","224","224","224","224","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","218","219","219","219"
"Jefferson County","280","224","224","224","224","224","224","224","222","224"
"Kemper County","330","282","281","281","281","281","281","280","278","278"
"Leake County","280","225","227","226","226","226","225","225","221","227"
"Marion County","280","224","224","224","224","224","224","224","223","224"
"Stone County","280","224","224","224","224","224","223","223","224","224"
"Winston County","280","223","223","223","223","223","224","224","224","224"
"PRIVATE PRISONS","5,972","5,309","5,307","5,306","5,304","5,303","5,307","5,306","5,313","5,320"
"Delta","972","902","901","901","900","899","902","902","902","907"
"East Mississippi","1,500","1,359","1,358","1,357","1,356","1,356","1,356","1,356","1,359","1,359"
"Marshall County","1,000","900","901","901","901","901","900","900","902","902"
"Walnut Grove","1,500","1,199","1,199","1,199","1,199","1,199","1,198","1,198","1,200","1,202"
"Wilkinson County","1,000","949","948","948","948","948","951","950","950","950"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","9"
"Greenwood","6","2","2","2","2","2","2","2","2","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","9","8","7","9","7","5","4","42"
"TOTALS","23,549","20,925","20,956","20,947","20,936","20,927","20,947","20,980","20,973","20,986"
"","","1-Jul-10","2-Jul-10","3-Jul-10","4-Jul-10","5-Jul-10","6-Jul-10","7-Jul-10","8-Jul-10","9-Jul-10"
