"Location","Capacity","11-Aug-16","12-Aug-16","13-Aug-16","14-Aug-16","15-Aug-16","16-Aug-16","17-Aug-16","18-Aug-16","19-Aug-16"
"Mississippi State Penitentiary","3,590","3,341","3,337","3,332","3,331","3,346","3,334","3,340","3,329","3,367"
"Central Mississippi Correctional Facility","3,818","3,436","3,477","3,476","3,474","3,478","3,506","3,469","3,471","3,444"
"Youthful Offender Unit","58","33","33","33","33","32","32","32","34","34"
"CMCF TVC","","7","10","10","11","10","10","10","10","10"
"South Mississippi Correctional Institution","3,082","2,985","2,985","2,985","2,984","2,982","2,977","2,985","2,976","2,984"
"County Jails","1,781","1,551","1,567","1,567","1,567","1,580","1,549","1,546","1,557","1,560"
"COMMUNITY WORK CENTERS","1,348","1,055","1,056","1,054","1,050","1,051","1,042","1,044","1,035","1,047"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","76","69","69","69","71","70","70","70","69"
"George Satellite Facility","102","87","86","86","86","88","87","87","86","85"
"Harrison Satellite Facility","102","62","64","64","64","63","63","62","61","61"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","60","68","68","66","66","66","63","61","70"
"Leflore TVC Support","20","18","17","17","17","17","17","17","19","19"
"Madison Satellite Facility","102","76","74","73","73","72","71","71","75","73"
"Noxubee Satellite Facility","92","82","80","80","80","82","81","81","79","78"
"Pike Satellite Facility","93","84","84","84","84","85","84","90","89","89"
"Quitman Satellite Facility","93","88","84","87","87","88","88","87","84","84"
"Rankin Satellite Facility","182","157","156","156","156","154","154","156","155","153"
"Rankin RID","28","10","10","10","10","10","10","10","10","10"
"Flowood TVC","50","21","23","23","23","21","21","20","20","23"
"Simpson TVC","82","61","69","66","64","64","63","61","61","68"
"Simpson TVC Support","20","15","15","15","15","15","15","15","15","15"
"Washington Satellite Facility","102","84","84","83","83","83","82","86","85","84"
"Wilkinson Satellite Facility","102","74","73","73","73","72","70","68","65","66"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,517","3,523","3,522","3,517","3,497","3,511","3,524","3,526","3,528"
"Alcorn County","300","237","240","239","239","236","234","240","240","240"
"Bolivar County","369","292","294","294","293","292","293","293","291","290"
"Carroll County","280","239","240","240","239","236","240","240","235","240"
"Chickasaw County","300","238","240","240","240","240","239","240","240","240"
"George County","280","200","200","200","199","198","195","198","200","200"
"Holmes County","280","199","199","199","199","196","197","197","198","198"
"Issaquena County","274","268","270","270","270","268","269","269","268","267"
"Jefferson County","280","269","269","269","269","267","270","270","269","269"
"Kemper County","355","256","256","256","256","255","255","259","260","260"
"Leake County","280","196","196","196","195","195","200","199","200","200"
"Marion County","280","200","200","200","200","200","200","200","200","199"
"Stone County","280","269","269","269","269","267","265","268","271","270"
"Washington County","300","217","217","217","217","216","214","214","215","214"
"Winston County","280","199","196","196","196","196","200","199","200","200"
"Yazoo County","300","238","237","237","236","235","240","238","239","241"
"PRIVATE PRISONS","5,972","3,600","3,550","3,548","3,547","3,531","3,525","3,544","3,537","3,513"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,171","1,172","1,172","1,172","1,171","1,169","1,169","1,167","1,167"
"Marshall County","1,000","998","997","996","996","995","994","999","997","998"
"Walnut Grove","1,500","544","494","494","493","480","478","478","477","453"
"Wilkinson County","1,000","887","887","886","886","885","884","898","896","895"
"RESTITUTION CENTERS","16","10","9","9","9","10","12","12","12","12"
"Greenwood","6","4","4","4","4","5","5","5","5","5"
"Hinds","6","5","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","3","3","3","3"
"TOTALS","24,103","19,535","19,547","19,536","19,523","19,517","19,498","19,506","19,487","19,499"
