"Location","Capacity","28-Feb-09","","Avg Population"
"Mississippi State Penitentiary","4,627","4,121","","4,098"
"Central Mississippi Correctional Facility","3,665","3,574","","3,569"
"South Mississippi Correctional Institution","3,204","3,114","","3,122"
"County Jails","1,898","1,728","","1,702"
"COMMUNITY WORK CENTERS","1,848","1,706","","1,728"
"Alcorn Satellite Facility","92","81","","81"
"Bolivar Satellite Facility","102","85","","93"
"Forrest Satellite Facility","96","88","","90"
"George Satellite Facility","102","99","","99"
"Harrison Satellite Facility","102","102","","100"
"Jackson Satellite Facility","102","98","","98"
"Jefferson Satellite Facility","102","95","","90"
"Leflore Satellite Facility","102","96","","95"
"Madison Satellite Facility","102","95","","99"
"Noxubee Satellite Facility","92","88","","88"
"Pike Satellite Facility","93","83","","86"
"Quitman Satellite Facility","93","80","","81"
"Rankin Satellite Facility","260","240","","245"
"Simpson Satellite Facility","102","94","","98"
"Washington Satellite Facility","102","88","","92"
"Wilkinson Satellite Facility","102","94","","97"
"Yazoo Satellite Facility","102","100","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,913","","2,929"
"Bolivar County","294","279","","279"
"Carroll County","280","266","","266"
"George County","280","262","","265"
"Holmes County","280","265","","268"
"Issaquena County","274","258","","259"
"Jefferson County","280","265","","265"
"Kemper County","280","265","","266"
"Leake County","280","264","","265"
"Marion County","280","260","","266"
"Stone County","280","266","","265"
"Winston County","280","263","","266"
"PRIVATE PRISONS","5,972","5,446","","5,470"
"Delta","972","956","","956"
"East Mississippi","1,500","1,355","","1,360"
"Marshall County","1,000","981","","983"
"Walnut Grove","1,500","1,181","","1,197"
"Wilkinson County","1,000","973","","975"
"RESTITUTION CENTERS","16","11","","12"
"Greenwood","6","3","","3"
"Hinds","6","5","","6"
"Pascagoula","4","3","","3"
"GOVERNOR'S MANSION","6","6","","6"
"E-CODE","0","65","","30"
"TOTALS","24,324","22,684","","22,666"
"","","28-Feb-09","",""
