"Location","Capacity","19-Oct-09","20-Oct-09","21-Oct-09","22-Oct-09","23-Oct-09","24-Oct-09","25-Oct-09","26-Oct-09","27-Oct-09"
"Mississippi State Penitentiary","4,435","3,926","3,944","3,945","3,935","3,937","3,937","3,933","3,940","3,933"
"Central Mississippi Correctional Facility","3,665","3,198","3,202","3,242","3,219","3,206","3,205","3,204","3,181","3,179"
"South Mississippi Correctional Institution","3,204","2,724","2,725","2,723","2,731","2,714","2,713","2,712","2,709","2,723"
"County Jails","1,487","1,550","1,530","1,508","1,509","1,517","1,517","1,517","1,514","1,499"
"COMMUNITY WORK CENTERS","1,848","1,550","1,558","1,563","1,572","1,567","1,566","1,562","1,583","1,592"
"Alcorn Satellite Facility","92","61","60","60","59","60","60","60","60","60"
"Bolivar Satellite Facility","102","72","70","69","76","72","72","71","73","73"
"Forrest Satellite Facility","96","76","75","74","69","74","74","74","72","71"
"George Satellite Facility","102","93","93","97","98","98","98","98","97","97"
"Harrison Satellite Facility","102","74","78","78","78","82","82","81","80","80"
"Jackson Satellite Facility","102","81","81","80","78","76","76","76","78","79"
"Jefferson Satellite Facility","102","85","84","86","85","91","91","91","101","101"
"Leflore Satellite Facility","102","68","67","66","70","69","69","69","70","69"
"Madison Satellite Facility","102","91","91","90","98","94","94","94","95","102"
"Noxubee Satellite Facility","92","83","91","91","91","90","90","90","91","91"
"Pike Satellite Facility","93","87","87","90","90","80","79","79","76","75"
"Quitman Satellite Facility","93","76","76","77","77","76","76","76","77","76"
"Rankin Satellite Facility","260","249","249","250","250","247","247","246","246","250"
"Simpson Satellite Facility","102","96","96","96","96","95","95","95","100","100"
"Washington Satellite Facility","102","74","74","74","73","75","75","74","73","73"
"Wilkinson Satellite Facility","102","93","94","92","91","93","93","93","95","96"
"Yazoo Satellite Facility","102","91","92","93","93","95","95","95","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","3,000","3,005","3,001","3,007","3,004","3,003","3,000","3,005","3,008"
"Bolivar County","294","280","280","280","280","280","280","279","279","280"
"Carroll County","280","265","266","266","265","265","265","265","266","266"
"George County","280","261","265","266","266","264","264","264","263","265"
"Holmes County","280","265","265","266","266","266","266","266","266","266"
"Issaquena County","274","260","260","260","260","260","259","259","260","260"
"Jefferson County","280","266","266","263","266","267","267","266","266","266"
"Kemper County","355","340","340","338","341","341","341","341","341","341"
"Leake County","280","265","265","266","266","265","265","265","264","263"
"Marion County","280","266","266","265","267","267","267","267","266","266"
"Stone County","280","266","266","266","265","265","265","264","265","266"
"Winston County","280","266","266","265","265","264","264","264","269","269"
"PRIVATE PRISONS","5,972","5,542","5,543","5,534","5,558","5,557","5,555","5,553","5,549","5,547"
"Delta","972","958","958","955","954","955","954","954","955","955"
"East Mississippi","1,500","1,361","1,362","1,362","1,361","1,361","1,360","1,360","1,360","1,360"
"Marshall County","1,000","983","983","983","981","981","981","981","979","983"
"Walnut Grove","1,500","1,266","1,265","1,260","1,287","1,285","1,285","1,284","1,280","1,275"
"Wilkinson County","1,000","974","975","974","975","975","975","974","975","974"
"RESTITUTION CENTERS","16","11","11","11","11","10","10","10","10","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","3","3","3","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","12","12","11","11","35","35","35","12","11"
"TOTALS","23,796","21,518","21,535","21,543","21,558","21,552","21,546","21,531","21,508","21,507"
