"Location","Capacity","27-Oct-03","28-Oct-03","29-Oct-03","30-Oct-03","31-Oct-03"
"MS STATE PENITENTIARY","5,768","5,703","5,700","5,698","5,700","5,704"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,147","3,141","3,121","3,130","3,098"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,048","2,038","2,069","2,064","2,037"
"COUNTY JAILS","2,176","1,901","1,918","1,924","1,927","1,933"
"COMMUNITY WORK CENTERS","1,816","1,528","1,534","1,530","1,531","1,508"
"Alcorn Satellite Facility","92","87","87","91","91","86"
"Bolivar Satellite Facility","102","69","68","68","68","73"
"Forrest Satellite Facility","96","89","90","88","88","88"
"George Satellite Facility","102","89","95","93","94","91"
"Harrison Satellite Facility","102","68","68","68","68","68"
"Jackson Satellite Facility","102","74","74","73","73","66"
"Jefferson Satellite Facility","102","80","80","81","81","80"
"Leflore Satellite Facility","102","101","98","96","95","91"
"Madison Satellite Facility","102","101","99","99","99","101"
"Noxubee Satellite Facility","92","86","91","91","91","85"
"Pike Satellite Facility","93","44","44","43","43","40"
"Quitman Satellite Facility","93","72","72","72","72","73"
"Rankin Satellite Facility","228","225","223","222","223","226"
"Simpson Satellite Facility","102","92","91","93","93","89"
"Washington Satellite Facility","102","87","87","86","86","90"
"Wilkinson Satellite Facility","102","66","69","69","69","66"
"Yazoo Satellite Facility","102","98","98","97","97","95"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,659","2,706","2,708","2,727","2,739"
"Bolivar County","250","236","236","235","249","249"
"Carroll County","250","250","248","250","250","249"
"George County (opened on May 10th)","250","234","232","232","239","246"
"Holmes County","250","250","250","249","250","250"
"Issaquena County","250","234","251","250","247","245"
"Jefferson County","250","250","249","248","248","250"
"Kemper County","250","234","250","250","250","250"
"Leake County","250","244","250","250","250","250"
"Marion County","250","249","247","244","244","250"
"Stone County","250","243","243","250","250","250"
"Winston County","250","235","250","250","250","250"
"PRIVATE PRISONS","3,750","3,444","3,420","3,397","3,400","3,412"
"East MS","1,000","723","728","728","726","725"
"Marshall County","1,000","989","989","988","993","991"
"Walnut Grove","750","745","745","745","743","742"
"Wilkinson County","1,000","987","958","936","938","954"
"RESITITUTION CENTERS","24","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","7","7","7","7","7"
"Pascagoula","6","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"E-CODE","","3","3","3","5","42"
"TOTALS","21,737","20,455","20,482","20,472","20,506","20,495"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","27-Oct-03","28-Oct-03","29-Oct-03","30-Oct-03","31-Oct-03"
