"Location","Capacity","19-Sep-07","20-Sep-07","21-Sep-07","22-Sep-07","23-Sep-07","24-Sep-07","25-Sep-07","26-Sep-07","27-Sep-07"
"Mississippi State Penitentiary","4,527","4,439","4,421","4,431","4,431","4,426","4,425","4,429","4,410","4,428"
"Central Mississippi Correctional Facility","3,425","3,460","3,464","3,437","3,433","3,433","3,443","3,435","3,470","3,461"
"South Mississippi Correctional Institution","2,884","2,795","2,808","2,795","2,793","2,793","2,796","2,787","2,800","2,814"
"County Jails","1,606","1,874","1,895","1,916","1,916","1,916","1,930","1,916","1,890","1,905"
"COMMUNITY WORK CENTERS","1,816","1,775","1,779","1,711","1,708","1,707","1,766","1,779","1,768","1,755"
"Alcorn Satellite Facility","92","91","91","89","89","89","91","92","92","92"
"Bolivar Satellite Facility","102","102","102","96","95","95","100","102","102","102"
"Forrest Satellite Facility","96","92","91","91","91","91","93","93","92","91"
"George Satellite Facility","102","100","100","95","95","95","99","101","99","99"
"Harrison Satellite Facility","102","99","100","94","94","94","100","98","98","97"
"Jackson Satellite Facility","102","101","101","94","94","94","99","97","97","97"
"Jefferson Satellite Facility","102","98","98","95","94","94","96","101","101","98"
"Leflore Satellite Facility","102","102","101","98","98","98","100","102","102","102"
"Madison Satellite Facility","102","102","102","98","98","98","101","101","100","99"
"Noxubee Satellite Facility","92","90","92","85","85","86","91","92","92","92"
"Pike Satellite Facility","93","87","87","82","82","81","87","87","88","86"
"Quitman Satellite Facility","93","91","91","88","88","88","91","90","90","90"
"Rankin Satellite Facility","228","219","223","218","218","218","220","219","217","216"
"Simpson Satellite Facility","102","101","101","98","97","97","100","99","99","101"
"Washington Satellite Facility","102","101","101","98","98","97","99","102","99","99"
"Wilkinson Satellite Facility","102","100","100","95","95","95","99","101","98","94"
"Yazoo Satellite Facility","102","99","98","97","97","97","100","102","102","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,081","3,085","3,084","3,082","3,080","3,078","3,086","3,088","3,082"
"Bolivar County","294","293","294","293","293","293","294","294","293","294"
"Carroll County","280","279","280","279","279","279","279","279","280","280"
"George County","280","280","280","280","280","279","278","280","280","279"
"Holmes County","280","280","280","280","280","279","279","280","280","280"
"Issaquena County","274","273","272","273","271","271","271","274","275","273"
"Jefferson County","280","280","280","280","280","280","279","280","281","280"
"Kemper County","280","280","280","280","280","280","280","280","279","279"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","277","279","279","279","279","279","280","280","280"
"Stone County","280","280","280","280","280","280","279","279","280","278"
"Winston County","280","279","280","280","280","280","280","280","280","279"
"PRIVATE PRISONS","4,972","4,768","4,760","4,773","4,771","4,770","4,779","4,784","4,778","4,790"
"Delta","972","968","968","969","968","968","970","970","967","969"
"East Mississippi","1,000","886","886","890","890","889","895","895","893","890"
"Marshall County","1,000","992","993","993","993","993","995","994","995","995"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","928","919","924","923","923","923","929","928","939"
"Wilkinson County","1,000","994","994","997","997","997","996","996","995","997"
"RESTITUTION CENTERS","16","14","13","12","12","12","13","13","14","13"
"Greenwood","6","5","5","4","4","4","5","5","6","6"
"Hinds","6","5","5","5","5","5","5","5","5","4"
"Pascagoula","4","4","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","9","71","72","72","8","7","7","7"
"TOTALS","22,340","22,218","22,239","22,235","22,223","22,214","22,243","22,241","22,230","22,260"
"","","19-Sep-07","20-Sep-07","21-Sep-07","22-Sep-07","23-Sep-07","24-Sep-07","25-Sep-07","26-Sep-07","27-Sep-07"
