"Location","Capacity","10-Jun-09","11-Jun-09","12-Jun-09","13-Jun-09","14-Jun-09","15-Jun-09","16-Jun-09","17-Jun-09","18-Jun-09"
"Mississippi State Penitentiary","4,627","4,122","4,127","4,125","4,122","4,122","4,118","4,114","4,125","4,111"
"Central Mississippi Correctional Facility","3,665","3,358","3,353","3,303","3,303","3,301","3,296","3,342","3,325","3,288"
"South Mississippi Correctional Institution","3,204","3,042","3,021","3,027","3,025","3,025","3,039","3,023","3,031","3,027"
"County Jails","1,558","1,543","1,509","1,551","1,551","1,551","1,536","1,541","1,543","1,527"
"COMMUNITY WORK CENTERS","1,848","1,585","1,575","1,558","1,554","1,553","1,593","1,592","1,596","1,614"
"Alcorn Satellite Facility","92","83","83","82","82","82","83","79","79","79"
"Bolivar Satellite Facility","102","81","80","78","77","77","79","78","78","88"
"Forrest Satellite Facility","96","87","84","84","84","84","87","87","87","85"
"George Satellite Facility","102","83","80","82","82","82","83","83","83","83"
"Harrison Satellite Facility","102","78","78","81","81","81","80","79","83","83"
"Jackson Satellite Facility","102","94","98","96","96","96","96","100","100","99"
"Jefferson Satellite Facility","102","77","81","78","78","78","80","80","80","82"
"Leflore Satellite Facility","102","88","86","85","85","85","86","86","86","85"
"Madison Satellite Facility","102","82","80","84","84","84","85","82","78","83"
"Noxubee Satellite Facility","92","78","76","80","79","79","82","82","82","82"
"Pike Satellite Facility","93","89","89","85","85","85","88","88","92","90"
"Quitman Satellite Facility","93","78","77","69","67","67","75","80","80","79"
"Rankin Satellite Facility","260","246","248","241","241","241","250","249","249","249"
"Simpson Satellite Facility","102","86","86","87","86","85","85","87","87","95"
"Washington Satellite Facility","102","83","82","80","80","80","82","81","81","80"
"Wilkinson Satellite Facility","102","75","72","71","71","71","75","75","75","74"
"Yazoo Satellite Facility","102","97","95","95","96","96","97","96","96","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,914","2,913","2,911","2,911","2,909","2,913","2,916","2,914","2,909"
"Bolivar County","294","280","279","280","280","280","281","281","281","281"
"Carroll County","280","268","266","265","265","265","265","266","266","267"
"George County","280","265","263","263","263","263","265","266","265","264"
"Holmes County","280","254","254","250","250","250","248","248","250","250"
"Issaquena County","274","260","259","260","260","260","260","260","260","260"
"Jefferson County","280","263","268","267","267","267","266","266","265","265"
"Kemper County","280","266","266","265","265","265","265","266","266","266"
"Leake County","280","266","265","264","264","263","265","266","265","265"
"Marion County","280","266","266","266","266","265","266","266","266","263"
"Stone County","280","260","261","265","265","265","266","265","264","263"
"Winston County","280","266","266","266","266","266","266","266","266","265"
"PRIVATE PRISONS","5,972","5,500","5,496","5,496","5,494","5,493","5,496","5,500","5,496","5,494"
"Delta","972","957","956","957","957","957","955","954","955","954"
"East Mississippi","1,500","1,363","1,360","1,358","1,358","1,358","1,359","1,361","1,359","1,359"
"Marshall County","1,000","983","983","982","981","980","983","983","981","983"
"Walnut Grove","1,500","1,223","1,225","1,222","1,221","1,221","1,221","1,225","1,227","1,226"
"Wilkinson County","1,000","974","972","977","977","977","978","977","974","972"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","12","57","50","50","5","5","6","7"
"TOTALS","23,984","22,093","22,022","22,044","22,026","22,020","22,012","22,049","22,052","21,993"
"","","10-Jun-09","11-Jun-09","12-Jun-09","13-Jun-09","14-Jun-09","15-Jun-09","16-Jun-09","17-Jun-09","18-Jun-09"
