"Location","Capacity","10-Feb-13","11-Feb-13","12-Feb-13","13-Feb-13","14-Feb-13","15-Feb-13","16-Feb-13","17-Feb-13","18-Feb-13"
"Mississippi State Penitentiary","4,648","3,351","3,349","3,362","3,363","3,353","3,344","3,340","3,340","3,337"
"Central Mississippi Correctional Facility","3,557","3,218","3,217","3,188","3,183","3,173","3,146","3,142","3,141","3,141"
"Youthful Offender Unit","42","24","24","25","25","22","23","24","24","24"
"South Mississippi Correctional Institution","3,282","3,237","3,233","3,243","3,250","3,244","3,215","3,216","3,216","3,215"
"County Jails","1,832","2,176","2,185","2,174","2,175","2,177","2,199","2,199","2,199","2,203"
"COMMUNITY WORK CENTERS","1,848","1,472","1,496","1,503","1,502","1,525","1,508","1,507","1,505","1,528"
"Alcorn Satellite Facility","92","89","89","90","91","92","92","92","92","92"
"Bolivar Satellite Facility","102","73","76","76","74","75","72","71","71","74"
"Forrest Satellite Facility","96","71","77","80","78","73","71","71","70","72"
"George Satellite Facility","102","73","75","75","76","78","76","76","76","77"
"Harrison Satellite Facility","102","76","76","76","75","78","77","77","77","78"
"Jackson Satellite Facility","102","76","76","76","77","77","76","76","76","77"
"Jefferson Satellite Facility","102","74","76","76","75","79","76","76","76","79"
"Leflore Satellite Facility","102","77","79","79","79","79","75","75","75","77"
"Madison Satellite Facility","102","79","79","78","79","82","83","78","78","78"
"Noxubee Satellite Facility","92","78","79","79","77","80","77","77","77","80"
"Pike Satellite Facility","93","83","83","85","83","89","91","91","91","91"
"Quitman Satellite Facility","93","83","85","85","82","80","78","78","78","80"
"Rankin Satellite Facility","260","230","235","234","244","242","245","245","245","246"
"Simpson Satellite Facility","102","90","91","90","93","93","90","89","89","92"
"Washington Satellite Facility","102","76","78","78","77","80","79","79","79","79"
"Wilkinson Satellite Facility","102","66","65","65","65","71","71","71","70","70"
"Yazoo Satellite Facility","102","78","77","81","77","77","79","85","85","86"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,326","4,339","4,347","4,353","4,350","4,375","4,370","4,366","4,360"
"Alcorn County","300","299","299","298","299","298","298","298","298","298"
"Bolivar County","369","362","369","367","367","365","370","369","369","369"
"Carroll County","280","275","275","277","279","278","280","277","277","276"
"Chickasaw County","300","299","298","298","300","300","300","300","300","300"
"George County","280","278","278","280","280","280","278","277","276","275"
"Holmes County","280","278","278","280","280","280","278","278","277","277"
"Issaquena County","274","274","274","274","274","274","273","273","273","273"
"Jefferson County","280","278","277","277","279","279","280","280","280","280"
"Kemper County","355","336","336","336","339","340","340","340","340","339"
"Leake County","280","274","277","279","277","279","278","278","278","277"
"Marion County","280","280","280","279","279","279","279","279","279","279"
"Stone County","280","277","280","279","279","280","280","280","280","279"
"Washington County","300","240","240","242","241","240","263","263","262","262"
"Winston County","280","277","277","280","280","278","278","278","278","277"
"Yazoo County","300","299","301","301","300","300","300","300","299","299"
"PRIVATE PRISONS","5,972","4,300","4,301","4,312","4,209","4,317","4,305","4,302","4,302","4,299"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,117","1,116","1,120","999","1,124","1,125","1,125","1,125","1,125"
"Marshall County","1,000","998","998","998","1,009","998","999","999","999","999"
"Walnut Grove","1,500","1,285","1,286","1,291","1,296","1,289","1,276","1,273","1,273","1,270"
"Wilkinson County","1,000","900","901","903","905","906","905","905","905","905"
"RESTITUTION CENTERS","16","52","23","24","25","26","51","50","50","28"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","4","4","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","37","8","9","10","11","36","37","37","13"
"TOTALS","25,641","22,156","22,167","22,178","22,085","22,187","22,166","22,150","22,143","22,135"
