"Location","Capacity","1-Oct-01","2-Oct-01","3-Oct-01","4-Oct-01","5-Oct-01","6-Oct-01","7-Oct-01","8-Oct-01","9-Oct-01","10-Oct-01"
"MS STATE PENITENTIARY","5,612","5,224","5,244","5,239","5,262","5,254","5,252","5,250","5,241","5,270","5,271"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,037","3,017","3,006","2,996","3,009","3,009","3,004","3,008","2,997","2,989"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,057","2,056","2,084","2,075","2,078","2,077","2,077","2,076","2,071","2,068"
"COUNTY JAILS","2,122","1,574","1,562","1,562","1,618","1,611","1,609","1,609","1,600","1,615","1,623"
"COMMUNITY WORK CENTERS","1,320","1,239","1,243","1,245","1,243","1,189","1,187","1,188","1,239","1,241","1,246"
"Alcorn Satellite Facility","75","75","74","74","74","72","72","72","74","72","73"
"Bolivar Satellite Facility","75","74","74","74","74","68","68","68","73","75","73"
"Forrest Satellite Facility","75","71","73","73","73","71","71","71","73","73","74"
"George Satellite Facility","75","71","71","72","71","73","73","73","74","74","74"
"Harrison Satellite Facility","75","74","74","74","74","69","69","69","74","74","74"
"Jackson Satellite Facility","75","72","72","75","75","68","68","68","72","75","75"
"Jefferson Satellite Facility","75","75","75","75","75","72","72","72","75","75","75"
"Leflore Satellite Facility","75","75","75","75","75","73","73","73","75","75","74"
"Madison Satellite Facility","75","71","73","75","75","71","71","71","74","74","74"
"Noxubee Satellite Facility","75","72","72","72","71","70","70","70","71","71","70"
"Pike Satellite Facility","75","50","50","49","48","47","47","47","47","46","46"
"Quitman Satellite Facility","75","53","53","53","54","53","53","53","53","53","53"
"Rankin Satellite Facility","120","112","114","112","112","110","110","110","111","111","118"
"Simpson Satellite Facility","75","74","74","74","74","68","67","67","74","74","75"
"Washington Satellite Facility","75","75","75","75","75","68","67","68","73","73","72"
"Wilikinson Satellite Facility","75","70","69","69","69","68","68","68","74","74","73"
"Yazoo Satellite Facility","75","75","75","74","74","68","68","68","72","72","73"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,034","2,031","2,026","2,027","2,027","2,027","2,027","2,022","2,020","2,032"
"Bolivar County","250","206","206","206","206","206","206","206","205","205","207"
"Carroll County","250","200","200","199","199","199","199","199","199","198","199"
"Holmes County","250","198","198","198","198","199","199","199","199","199","199"
"Issaquena County","250","200","200","198","198","197","197","197","197","196","198"
"Jefferson County","250","212","210","209","208","208","208","208","208","209","212"
"Kemper County","250","225","224","222","222","222","222","222","220","220","220"
"Leake County","250","198","198","200","199","199","199","199","199","198","198"
"Marion County","250","200","200","200","200","200","200","200","199","199","199"
"Stone County","250","195","195","194","197","197","197","197","196","196","200"
"Winston County","250","200","200","200","200","200","200","200","200","200","200"
"PRIVATE PRISONS","3,900","3,486","3,494","3,493","3,479","3,479","3,479","3,478","3,477","3,474","3,483"
"Delta","1,000","837","842","842","841","840","840","840","840","839","843"
"East MS","500","493","492","491","491","490","490","489","489","489","489"
"Marshall County","1,000","870","869","869","867","867","867","867","867","865","869"
"Walnut Grove","500","405","410","410","399","401","401","401","400","400","396"
"Wilkinson County","900","881","881","881","881","881","881","881","881","881","886"
"RESITITUTION CENTERS","24","17","15","15","15","13","13","13","14","14","15"
"Greenwood","6","6","6","6","6","5","5","5","6","6","6"
"Hinds","12","11","9","9","9","8","8","8","8","8","9"
"Pascagoula","6","0","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,747","18,674","18,668","18,676","18,721","18,666","18,659","18,652","18,683","18,708","18,733"
